location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus
WG,0-10m,2014-02-14,21.0925,1.944153389,9.0625,7.5825,5.909544282,0.781427343,,,,,,
WG,10-30m,2014-02-14,20.513964285,2.5301793200000002,9.0563214285,6.7253214285,5.909544282,0.781427343,,,,,,
WG,30m+,2014-02-14,20.38545152,0.901680296,8.677467792,3.6716111,5.909544282,0.781427343,,,,,,
SA,0-10m,2014-02-18,20.81633111,3.254407566,9.285470689,7.609047521,6.098287049,1.463503876,,,,,,
SA,10-30m,2014-02-18,20.5415,4.1970332545,8.9510416665,7.042,6.098287049,1.463503876,,,,,,
SA,30m+,2014-02-18,20.44155174,3.158719954,8.484700718,6.439069707,6.098287049,1.463503876,,,,,,
WG,0-10m,2014-02-19,20.7,4.042377,9.455,7.606,5.0,0.6,,,,,,
WG,10-30m,2014-02-19,20.619875,4.099896786,9.269,6.806,5.0,0.6,,,,,,
WG,30m+,2014-02-19,20.38692346,1.451694503,8.800041909,3.348913851,5.0,0.6,,,,,,
WP,0-10m,2014-02-26,21.82,1.303714286,8.586553146,7.922,7.0,0.6,,,,,,
WP,10-30m,2014-02-26,20.745,3.5590607135,8.286712536,5.987,7.0,0.6,,,,,,
WP,30m+,2014-02-26,20.65474182,1.815235553,7.858827659,4.343876465,7.0,0.6,,,,,,
SA,0-10m,2014-03-26,22.4,0.575085714,8.553,7.466,7.0,1.0,,,,,,
SA,10-30m,2014-03-26,21.744999999999997,2.89227362,8.18425,6.491,7.0,1.0,,,,,,
SA,30m+,2014-03-26,21.01063809,0.838735004,7.779074,4.264765374,7.0,1.0,,,,,,
WG,0-10m,2014-03-26,22.39,2.8564,8.667,7.318,9.1,1.0,,,,,,
WG,10-30m,2014-03-26,21.685000000000002,1.3559296335,8.59675,6.438000000000001,9.1,1.0,,,,,,
WG,30m+,2014-03-26,20.46064778,0.963166572,8.157616756,2.653875935,9.1,1.0,,,,,,
WP,0-10m,2014-03-26,23.16,0.308530187,8.556,7.3225,7.1,2.038156359,,,,,,
WP,10-30m,2014-03-26,22.119999999999997,0.8125375765,8.541,7.08425,7.1,2.038156359,,,,,,
