,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
0.0,1.702532812341762,0.296,0.76,0.685,0.33,0.52,0.77,0.8,1.34,1.51,1.83,2.39,1.55,1.17,0.64,0.58,0.84,0.83,0.88,0.91,1.41,1.5187686250733137,1.85,1.04,0.53,0.35,0.84,0.58,0.45,0.44,0.96,1.01,1.1,2.05,0.63,0.39,0.96,0.47,0.68,0.81,0.49,0.69,1.37,2.21666752320316,2.32434810611157,6.90327831511639,2.7602313181999,1.67518279309999,2.4315777461333,1.99839965,0.477651023512644,2.01805707235691,1.47525791598453,1.33098930095946,0.87639244410848,1.82915565159936,3.98357089583829,2.04256564652089,1.45726326039622,0.974589176838661,2.352355957,1.28503418,0.895887055027261,1.50893460155957,1.754760742,1.67735317541106,2.961853027,1.67401123,1.403198242,1.127563477,9.163879395,2.277770996,1.54962235462478,1.96821193035361,2.84086014851514,1.62369324275345,0.926400103568937,0.720408253363974,1.953125,0.519193643243125,0.44913948469605,1.236022949,1.74997816793094,1.54907978872242,1.05928739656953,0.979100556514036,1.0911429788913165,1.25023738399349,1.0823676124796,1.69124626916642,0.975624004372767,1.37017879869354,0.784739475923722,1.15327945366444,1.227209628785,1.0129428336575,1.57967469406605,0.998591489541077,1.42742035856676,0.86370132411159,0.701195132,0.834986180074791,0.93788518175802,1.28292991554747,1.55316032725911,16.0361631822911,1.74415872829866,2.34050170948276
1.0,1.6164338854800497,0.33828571428571425,1.29,0.66,0.82,0.51,0.76,0.89,1.35,1.29,1.64,2.04,1.48,1.16,0.67,0.61,0.78,0.72,0.88,1.05,1.43,2.16,2.32,1.0,1.01,0.41,0.77,0.58,0.5,0.44,0.93,1.0,1.06,1.67,0.64,0.43,0.92,0.49,0.74,0.82,0.49,0.75,1.73,1.01881825154493,3.02061244251793,6.94053104400226,2.88373214931461,1.68632055212087,2.42425305559044,2.20164502,1.39198469460848,2.02075597063942,1.5247616210493,1.94254721556723,1.30707289195659,2.16831808698167,4.06457487744169,2.39912152601345,1.78751067287069,1.08932862876049,2.352355957,1.28503418,1.04034675172125,1.76355011716345,1.754760742,1.67845492257916,2.961853027,1.67401123,1.403198242,1.12756754315686,9.163879395,2.277770996,1.65367443905157,2.11683084517024,3.19805264369278,1.92278546455507,0.973024342932688,1.01655828610692,1.953125,0.548766589934011,0.723100253341226,1.22220807908337,2.02769106241217,1.63318485527796,1.04726566553604,1.40330476394944,1.3843207341240646,1.31972506331484,1.12880723797455,1.77976468152486,1.25217296405455,1.46967366795364,1.14565722229436,1.44391989371876,1.48388870355358,1.25237491703864,1.83724705646751,1.32849283924689,2.02283703104376,0.93884664989773,0.701195132,0.988712958613025,1.31548376098925,1.38012009080824,1.52201728461216,12.7517206309165,1.95714971628412,2.16795352084762
2.0,1.962227779718548,0.38057142857142856,1.34,0.67,1.02,0.5,0.82,0.88,1.87,1.78,1.8,1.92,1.51,1.89,0.66,0.62,0.82,0.84,0.86,1.05,1.38,2.99,2.53,0.98,0.57,0.41,0.79,0.57,0.47,0.44,0.96,1.0,1.55,1.82,0.63,0.47,0.92,0.51,0.85,0.85,0.37,0.8,1.66,31.2439653137264,2.30315668597575,6.99104582286488,2.86386488862783,1.77593515988785,2.28162873507596,2.48023833,1.56052826300115,2.16628469325293,1.55562209061642,1.95328283473085,1.50785511892045,2.27282767723282,18.8416349900246,3.09541895789998,1.84527146005431,1.26762706205061,2.352355957,1.28503418,1.12317540484185,2.02416976012884,1.754760742,1.79932967230075,2.961853027,1.67401123,1.403198242,1.1238795982425,9.163879395,2.277770996,1.81487852258651,2.44863055075189,3.30230225693431,2.66956817315236,1.07847783932714,1.19191182127515,1.953125,0.816914794386968,1.13563393443293,1.47308817328664,2.77386446488596,1.79386885117977,1.32073515251666,1.69427426413395,1.8898213754237785,1.58572151723244,1.3598920453953,1.82163725450502,1.40101357810379,1.58142396666731,1.38066994731104,1.96176062743481,1.81153250331261,1.37121764719368,2.06708193037919,1.60731048720398,2.74104799378002,1.69318478725621,0.683586050128007,1.13988599826921,1.58532955667489,1.47446914796399,1.60297289547197,13.5435209261031,2.00872379807126,2.1199799913653
3.0,2.3002145175803164,0.4228571428571428,1.38,0.68,1.06,0.5,0.88,0.9,1.93,2.82,1.82,1.98,3.16,1.91,0.66,0.62,0.84,0.87,1.37,1.07,1.7,2.9,3.3999999999999995,1.47,0.65,0.41,0.8,0.59,0.45,0.43,1.03,1.05,1.21,1.84,0.64,0.44,0.92,0.52,0.9,1.33,0.41,0.9,1.65,11.0606366274759,25.1661547623779,7.05755484759098,3.087250385169,1.89098655565649,2.21490246527977,2.57266387,1.63817652783101,2.08225894449699,1.77225975686802,2.28840033308859,1.66821815458078,3.04901028836271,16.561252174742,3.53005256524928,1.88029194569738,1.28751002536178,2.352355957,1.28719037482342,1.27388076256738,2.38714053407152,1.7557720219717,2.03484760494059,2.961853027,1.67401123,1.403198242,1.19680558101016,9.163879395,2.277770996,2.04753942383261,3.09630227655755,3.37434090878752,3.12218223436465,1.20387938242042,1.33661537903113,1.953125,1.04849242721433,1.45381453027812,2.03998898268267,3.25033682106601,1.95196564639125,1.87943896071345,2.18400967603995,2.911098270336448,1.8922402213908,1.56587262460089,1.8572482594064,1.55727399720165,1.79752927305411,1.70660033663136,2.76312761386689,2.10413359062594,1.54469913615115,2.2692024213264,1.85794210427593,3.35990725210787,1.80062644889918,0.952364911596185,1.38434751591327,1.71048828096638,1.48558262878403,1.62851855979579,14.6750638893226,2.2200282558251,2.10388232021499
4.0,3.256,0.4651428571428571,1.4,0.71,1.08,0.55,1.01,0.94,2.06,3.24,2.59,3.23,3.87,2.8,0.67,0.65,0.86,1.53,1.44,1.97,1.73,3.4299999999999997,4.27,1.89,0.68,0.42,0.84,0.67,0.44,0.51,1.69,1.56,1.46,1.86,0.66,0.49,1.44,0.54,1.08,1.54,0.45,0.96,1.7,7.01663305838971,17.4859366352102,7.13989787805945,3.08143131310026,1.86976971479615,2.31676265010441,2.64827663,1.6715201980565,2.12644972211808,2.23070069306715,2.7448581927591,1.93150066532298,1.94219619625928,5.60160869864723,3.96673659951312,2.05975744146561,1.15275131529743,2.35359558574874,1.28643791570871,1.61356741500238,3.0380620755946,1.72389909585206,2.50356824853594,2.95790506533095,1.67405184616168,1.40351310236532,1.23866967084748,9.16144556525239,2.27747965749328,2.51390925849822,3.55160950594828,3.36314633568856,3.41053928677774,1.31258842232232,1.45763762118104,1.953125,1.10570910038665,1.64093123175854,2.30212535349914,4.53111215677005,2.47577865589067,2.24578103134121,2.36454741064719,3.8374599117384736,2.40745178970621,1.70964592848971,1.88481598516688,1.75593446109623,2.10001717109136,1.84889378257415,2.97259310230017,2.40120697322963,1.86669209528753,2.44335097706765,2.13254315830183,3.35350038268433,1.90912030901397,1.17252663995699,1.58465281848313,1.793429276049,1.58769667712421,1.6637669997575,16.4072983883524,2.40304612335708,2.2018653602975
5.0,3.6177777777777775,0.5074285714285713,1.42,0.73,1.61,0.56,1.12,1.0,2.42,3.6566666666666667,3.1550000000000002,3.6,3.63,2.84,0.69,0.68,1.49,1.63,1.52,2.0,2.19,3.96,4.17,2.34,0.76,0.45,0.85,0.71,0.44,0.58,1.89,1.36,1.23,1.84,0.67,1.09,1.55,1.1,1.28,1.53,0.57,1.05,2.24,6.86570001654243,6.91332083448768,7.23747423873454,2.99565821648258,1.90442485777723,2.19554363788494,2.68940534,1.70767872659708,2.15407851111725,2.49525011155662,3.23730363545138,2.08385836187816,24.6587715681836,5.52757079009542,4.5253614878663,1.98250893903318,1.3263246020965,2.29095369399819,1.31230461639827,1.91539613701892,3.5059780840646,2.21922349917013,2.75317952484598,3.20749745527481,1.67460436601034,1.39693953930609,1.43623249523134,9.14933090245521,2.29015195933526,2.86805884524064,3.80952133386299,3.26162898246598,3.76621209839942,1.45249983880067,1.61175928121958,1.95185975699795,1.25895901879265,1.81139827273605,2.56477486821011,26.2594666844734,2.76107903614135,2.4663226247565,2.71819009231315,3.943056240853025,2.58294317715721,1.78050001330992,1.97657702474235,1.73924695777651,2.1403053214201,1.9557878292155,3.2758421708231,2.92743387333541,2.2237739928759,2.5898139172453,2.65549008916897,3.18738265253364,2.22442887141092,1.42873721254305,1.88387197367435,2.30946119730335,2.09069714692348,1.99937298699606,18.1010349443932,2.5154581278725,2.72392894170199
6.0,3.9795555555555553,0.5497142857142856,1.43,1.32,1.95,0.65,1.22,1.39,2.8333333333333335,4.073333333333333,3.72,3.9699999999999998,4.37,3.46,0.7,0.72,1.78,1.95,2.09,2.75,2.19,3.55,4.25,1.96,0.77,0.48,0.88,1.14,0.48,0.7,1.73,1.52,1.28,1.78,1.16,0.98,1.99,1.06,1.32,1.55,0.64,1.16,2.2,6.7939528360803,5.4448997416156,7.35265093533734,2.94286426628724,1.94097722875151,2.33619479911911,2.66487382,1.70379009008636,2.21467255703945,2.41301902543515,3.40563861399567,2.15694832042345,7.50661049646806,5.96115981925838,4.39949638390901,1.74798064617541,1.44883326605425,2.2720396055806,1.31404040193345,2.08815409138709,4.2953609007946,2.27708950294712,3.79364700578582,3.75492828767386,1.65157851414355,1.51794829916206,1.44074435006442,10.0052594166138,2.38922446616185,3.2671754556451,4.13775699947666,3.06754572243729,3.71346389080098,1.6026096734585,1.62640398083856,1.97518621609876,1.36582624059106,2.06920826156526,3.16164329371708,7.05388348684642,3.14139449977667,2.77062972852524,3.40239001855089,3.5194460841356143,2.50912583526401,1.958751300618,2.03995507798602,1.77361594734294,1.99808544003282,2.11030813917769,3.76001390663761,2.92661344257885,2.53510055527025,2.70851376450943,2.84778806689453,3.8933712388888,2.29408345087643,1.68730048468175,1.92719829689459,2.54836498537172,2.82421216651675,2.38821935919756,21.5364916191803,2.68189542509252,3.4324651729378
7.0,4.341333333333333,0.592,1.43,1.64,1.95,0.72,1.27,1.77,3.2466666666666666,4.49,4.03,4.34,4.13,4.08,0.7,0.81,1.67,1.75,2.37,2.58,2.19,3.47,4.17,2.32,0.9,0.55,0.91,0.99,0.51,0.75,1.87,1.52,2.03,1.75,1.01,0.92,1.53,1.02,1.3,1.55,0.79,1.36,2.16,6.84747056190744,5.50154862541772,7.48382569670171,2.78826377199504,2.06593163722526,2.32205995010361,2.76974335,1.5701990759561,2.18289577273117,2.22202840490961,3.24106499933674,2.19915759083122,4.90475711207543,6.04168355618064,4.1325987238273,1.64450964321431,1.51301469879665,2.42898506495275,1.30680824181725,2.25812151008985,3.29328429729057,2.46068650628542,4.58735921789104,3.95443983375619,1.62784423415893,1.6235413449841,1.42999509626274,10.8014463125164,2.43258327588192,3.68678377497097,4.30435077917658,3.06536374705464,3.81240528469647,1.70822674693081,1.66095056963489,2.16147523950823,1.47835213970054,2.25580889682941,3.03333619480648,6.00428362153697,3.68212124373606,3.08079006903045,3.04780171939128,2.8433796743192263,2.60691892393492,2.04285375123075,2.00055634270176,1.85336413596929,2.16674695313668,2.15895002630147,3.8348934548259,3.10711819805907,2.51852376860745,2.79879691019083,3.21783255095553,3.89776523523759,2.40381798128195,1.76706039761407,2.0810493750997,2.99741578340759,3.58038894592869,2.65897897312578,25.4755080115887,2.80774676009435,3.7973275871715
8.0,4.703111111111111,0.9302857142857144,1.46,1.51,2.0,0.8,1.29,2.18,3.66,3.51,3.84,4.26,3.93,5.37,1.24,0.89,1.71,1.74,2.23,2.5,2.18,3.47,4.37,2.31,1.03,0.6,1.07,1.01,0.6,0.78,1.83,1.54,1.36,1.76,1.25,1.05,1.99,1.03,1.28,1.58,0.86,1.93,2.17,7.38533355996077,5.43228138714094,7.65578900773211,2.73095039245034,2.48374933702068,2.47000430420615,2.56662595,1.73857457610175,2.29484462786099,1.98517661600094,3.42889233549572,2.23099642991807,5.54684154211069,5.93864866256448,2.90924283680155,1.62868083011988,1.69188293561489,2.41315706369987,1.33012971423677,2.4280929022384,26.2218255279433,2.55546423149396,4.67680997921296,4.06293925523791,1.69475911112292,1.64050145485342,1.63065158747594,10.4255280710426,2.53758158395411,3.7774716879438,4.14722744317634,2.9781576718572,3.72379914562476,1.86952807338574,1.71449184019924,1.95846110681337,1.57392536665824,2.51617243172049,2.84038175562464,6.42652109624621,4.20847342682901,3.09839958551146,3.21124265921163,2.456681668659738,2.64825330021177,2.09815869803281,2.06976666412084,1.93890880421084,2.21192045383099,2.17913242240242,4.16400320171752,3.1280379459608,2.60088714091893,2.86041832865573,3.19726684902186,2.81623731710798,2.68580209590217,1.86040788092803,2.25298621127456,3.33532310352888,3.86815848331981,2.95707791801698,26.6328264256508,3.13159720539273,3.7064975658043
9.0,5.0648888888888886,1.2685714285714287,1.49,1.55,1.89,0.83,1.34,2.36,3.45,4.13,3.73,4.25,3.73,4.92,1.13,0.93,1.73,1.71,2.3,2.48,2.16,3.36,4.2,2.28,1.07,0.71,1.11,1.08,0.63,1.32,1.81,1.56,1.55,2.06,1.3,1.03,1.55,1.03,1.25,1.56,0.89,1.75,2.19,7.07369251545694,5.19477315812166,7.857319201311,2.64064769511593,2.59764470796114,2.29534374546665,2.54678305,1.83197938980276,2.28362455247731,1.82573905399503,3.57509348991355,2.1381334908928,2.99483863492417,5.61877481710187,2.41742144295706,1.57022131138773,1.61414570470208,2.31575751205733,1.31672746925469,2.43351317869578,20.1394448946763,2.48880429633163,2.18058366992287,3.81696098473453,1.72941008398353,1.6266953293926,1.87520244799548,8.94808229774296,2.42349200173355,3.66166231140433,4.21387902318558,2.90349673755539,3.6997834433527,2.17935294121414,1.72813694628608,1.98113682276633,1.65694690920311,2.88186850259204,2.95830096357396,7.16672392697928,3.21519877562157,3.19533435623092,3.52900204702859,2.2860200269350823,2.41055639779929,2.21806287320166,1.93457727019879,1.87285944363926,2.12215850611881,2.21409801269599,4.37028547704836,3.02675260381256,2.61302287621284,2.88906625803427,3.3558049813955,21.2089756520696,2.66877949287618,1.91708920949934,2.11962926163634,3.50207764276823,4.03773767887245,2.99803273280678,27.9045983751458,2.98652438003118,3.8593656482549
