date,depth_group,mean_chlorophyll,std_chlorophyll,measurement_count
2014-02-19,Surface,4.042377,0.24659924920584997,10
2014-02-19,Mid-Depth,4.6726295504782245,0.5052036848231332,10
2014-02-19,Lower Photic,3.5055901225763515,0.34644754813099354,10
2014-02-19,Deep,0.7404514376245722,0.8096762149008797,23
2014-03-26,Surface,2.8564000000000003,1.6629201367083024,10
2014-03-26,Mid-Depth,0.9003333333333334,0.2837917598574049,10
2014-03-26,Lower Photic,1.8115259338105907,0.24760524157529554,10
2014-03-26,Deep,0.6346431480269273,0.3904374286987154,23
2014-04-23,Surface,0.550778,0.1498927303700142,10
2014-04-23,Mid-Depth,0.7449999999999999,0.038369548110737804,10
2014-04-23,Lower Photic,0.8109999999999999,0.02424412872795755,10
2014-04-23,Deep,0.18785425865548042,0.24100408627606773,23
2014-04-27,Surface,0.7299364654939083,0.0911075853204157,10
2014-04-27,Mid-Depth,0.9470000000000001,0.35437111745864514,10
2014-04-27,Lower Photic,1.074,0.04141926551202414,10
2014-04-27,Deep,0.21716803326194836,0.25882596984369416,23
2014-06-25,Surface,0.359,0.05363456596884762,10
2014-06-25,Mid-Depth,0.5690000000000001,0.05952590472502987,10
2014-06-25,Lower Photic,0.7990000000000002,0.07202622979011032,10
2014-06-25,Deep,0.14088509409700825,0.09632262529020366,23
2014-07-23,Surface,0.5650000000000001,0.06096447052723961,10
2014-07-23,Mid-Depth,0.712,0.014757295747452423,10
2014-07-23,Lower Photic,0.7150000000000001,0.020138409955990973,10
2014-07-23,Deep,0.1629571620144972,0.17245390547758305,23
2014-08-13,Surface,0.47400000000000003,0.09535897091167318,10
2014-08-13,Mid-Depth,1.048,0.27911765738961525,10
2014-08-13,Lower Photic,1.269,0.05685263601823778,10
2014-08-13,Deep,0.19918054350168754,0.2410315051398919,23
2014-09-09,Surface,1.1949999999999998,0.5567215541802643,10
2014-09-09,Mid-Depth,2.1220000000000003,0.02347575581554538,10
2014-09-09,Lower Photic,2.2159999999999997,0.4645475696249464,10
2014-09-09,Deep,0.32489647561166335,0.20031074342126445,23
2014-09-25,Surface,1.585,0.803122378940816,10
2014-09-25,Mid-Depth,2.908333333333333,0.2618134761548692,10
2014-09-25,Lower Photic,2.6536666666666666,0.7126276363909473,10
2014-09-25,Deep,0.269649416194594,0.18918140529595429,23
2014-10-08,Surface,2.211,0.3800131576669419,10
2014-10-08,Mid-Depth,3.1979999999999995,0.4180058479123095,10
2014-10-08,Lower Photic,3.321125,0.6767375912132494,10
2014-10-08,Deep,0.25420476156907557,0.14582002293169902,23
2014-11-12,Surface,1.8090000000000004,0.3382454729926182,10
2014-11-12,Mid-Depth,2.3025,0.30313638294778583,10
2014-11-12,Lower Photic,2.907,0.05417051268397268,10
2014-11-12,Deep,0.3192603298387106,0.31640821494043986,23
2014-12-09,Surface,2.5694999999999997,0.46176262540641194,10
2014-12-09,Mid-Depth,3.0355000000000003,0.21884101281270132,10
2014-12-09,Lower Photic,3.382,0.12044362443345293,10
2014-12-09,Deep,0.72032606833957,1.0803516481262287,23
2015-01-14,Surface,1.9629999999999999,0.1929334945864335,10
2015-01-14,Mid-Depth,2.3369999999999997,0.0573585215987999,10
2015-01-14,Lower Photic,2.437,0.22141213456658904,10
2015-01-14,Deep,1.1856330458848128,1.099088546151047,23
2015-02-11,Surface,5.936,0.31113412613283753,10
2015-02-11,Mid-Depth,6.584999999999999,0.2368426575692066,10
2015-02-11,Lower Photic,4.25,1.1998611030726292,10
2015-02-11,Deep,0.7900000672360525,0.24659203888629372,23
2015-03-11,Surface,1.9279999999999997,0.6273542327372418,10
2015-03-11,Mid-Depth,3.211,0.38466291159345684,10
2015-03-11,Lower Photic,5.943999999999999,0.965185071487444,10
2015-03-11,Deep,1.4554478496971346,1.0967529491519152,23
2015-04-14,Surface,0.29000000000000004,0.06306962642808167,10
2015-04-14,Mid-Depth,0.642,0.13036700332352338,10
2015-04-14,Lower Photic,0.8020000000000002,0.013984117975601992,10
2015-04-14,Deep,0.23037172661657057,0.21773300230723255,23
2015-05-05,Surface,0.535,0.11404190263037335,10
2015-05-05,Mid-Depth,0.729,0.0369534241384416,10
2015-05-05,Lower Photic,0.9530000000000001,0.19872090982078358,10
2015-05-05,Deep,0.22966614865621668,0.2770059126121686,23
2015-06-09,Surface,0.29800000000000004,0.03765338999051449,10
2015-06-09,Mid-Depth,0.501,0.06154492487425571,10
2015-06-09,Lower Photic,0.679,0.056852636018237736,10
2015-06-09,Deep,0.18931133814651277,0.17824390514028657,23
2015-07-15,Surface,0.445,0.0724568837309472,10
2015-07-15,Mid-Depth,0.631,0.051088159097779196,10
2015-07-15,Lower Photic,0.8959999999999999,0.0875848794662133,10
2015-07-15,Deep,0.27758944364992383,0.33293595408304494,23
2015-08-11,Surface,1.0030000000000001,0.41878262725295673,10
2015-08-11,Mid-Depth,1.8060000000000003,0.046475800154489,10
2015-08-11,Lower Photic,1.41,0.3060864075533066,10
2015-08-11,Deep,0.3503615108116419,0.29053908943809886,23
2015-09-09,Surface,2.314,0.4228001892147164,10
2015-09-09,Mid-Depth,2.8245,0.29533831824235435,10
2015-09-09,Lower Photic,2.2199999999999998,0.8594069157934326,10
2015-09-09,Deep,0.34017128259604634,0.24264445144584001,23
2015-10-07,Surface,1.2129999999999999,0.26398863611905726,10
2015-10-07,Mid-Depth,1.65,0.021602468994692852,10
2015-10-07,Lower Photic,1.4120000000000001,0.3688661304893988,10
2015-10-07,Deep,0.28606401409525434,0.1456165590909379,23
2015-12-08,Surface,2.0599999999999996,0.32873494895837685,10
2015-12-08,Mid-Depth,2.203,0.11690927156465297,10
2015-12-08,Lower Photic,2.2059999999999995,0.14841383583300666,10
2015-12-08,Deep,0.38430474394595693,0.43407605231889107,23
2016-01-20,Surface,1.983,0.20981738091333935,10
2016-01-20,Mid-Depth,2.3775000000000004,0.42259285633127097,10
2016-01-20,Lower Photic,2.313,0.47925984601257804,10
2016-01-20,Deep,0.44468115942028974,0.516221239845167,23
2016-02-17,Surface,4.132,0.2181640565160897,10
2016-02-17,Mid-Depth,4.01,0.32304110505561906,10
2016-02-17,Lower Photic,2.9563333333333337,0.25330845123636125,10
2016-02-17,Deep,0.518231884057971,0.6742071170752915,23
2016-03-01,Surface,3.272,0.5343166860464441,10
2016-03-01,Mid-Depth,3.8590000000000004,0.03381321240777544,10
2016-03-01,Lower Photic,4.151999999999999,0.1796787256311789,10
2016-03-01,Deep,0.8041408837721299,1.055631877732469,23
2016-03-09,Surface,3.1439999999999997,0.15093780912091642,10
2016-03-09,Mid-Depth,3.8810000000000002,0.3000907270217533,10
2016-03-09,Lower Photic,2.8819999999999997,1.3066479590497544,10
2016-03-09,Deep,0.43602898550724634,0.42746176996103047,23
2016-04-13,Surface,2.1990000000000003,0.5105215198424277,10
2016-04-13,Mid-Depth,2.5679999999999996,0.18316962387664362,10
2016-04-13,Lower Photic,1.7860000000000003,0.5663960137963936,10
2016-04-13,Deep,0.23859399676733298,0.1607004003302147,23
2016-05-18,Surface,0.45199999999999996,0.06545566777937908,10
2016-05-18,Mid-Depth,0.74,0.17403703309608817,10
2016-05-18,Lower Photic,1.094,0.12321616055624447,10
2016-05-18,Deep,0.12208695652173915,0.11750431831270877,23
2016-06-15,Surface,0.558,0.15732485852881326,10
2016-06-15,Mid-Depth,0.8619999999999999,0.080938934457473,10
2016-06-15,Lower Photic,1.3619999999999999,0.34889667365695665,10
2016-06-15,Deep,0.22999999999999995,0.2572448230575282,23
2016-07-13,Surface,0.398,0.10358034991681044,10
2016-07-13,Mid-Depth,0.666,0.024129281427805127,10
2016-07-13,Lower Photic,0.8350000000000002,0.1040566085252531,10
2016-07-13,Deep,0.14272463768115937,0.20890845832888777,23
2016-08-10,Surface,0.374,0.13566298111291983,10
2016-08-10,Mid-Depth,0.8029999999999999,0.09381423725166192,10
2016-08-10,Lower Photic,1.066,0.06380525927469545,10
2016-08-10,Deep,0.14795652173913043,0.2193645161666042,23
2016-09-07,Surface,0.42699999999999994,0.12737084962161996,10
2016-09-07,Mid-Depth,0.777,0.032335051500740765,10
2016-09-07,Lower Photic,0.9030000000000001,0.1022035007010795,10
2016-09-07,Deep,0.14355072463768118,0.1471457948305684,23
2016-10-12,Surface,0.626,0.0295145914949049,10
2016-10-12,Mid-Depth,0.771,0.18734697459230265,10
2016-10-12,Lower Photic,0.7610000000000001,0.017288403306519935,10
2016-10-12,Deep,0.10908695652173908,0.128257876966495,23
2016-11-09,Surface,0.728,0.114968594745599,10
2016-11-09,Mid-Depth,1.0050000000000001,0.019002923751652315,10
2016-11-09,Lower Photic,1.03,0.024494897427831803,10
2016-11-09,Deep,0.14757971014492752,0.24260256015935147,23
2016-12-05,Surface,1.411,0.12529520696694219,10
2016-12-05,Mid-Depth,1.573,0.14150382798120104,10
2016-12-05,Lower Photic,2.066,0.4409635913416082,10
2016-12-05,Deep,0.3197275106385751,0.45484529783532124,23
2017-02-08,Surface,1.04,0.04082482904638634,10
2017-02-08,Mid-Depth,1.0859999999999999,0.04623610902506582,10
2017-02-08,Lower Photic,1.1219999999999999,0.015491933384829583,10
