date,depth_group,mean_chlorophyll,std_chlorophyll,measurement_count
2014-02-18,Surface,3.638854063543339,0.8426224702253443,10
2014-02-18,Mid-Depth,5.220058655434911,0.704019914122694,10
2014-02-18,Lower Photic,4.284549746076578,0.17664978494488284,10
2014-02-18,Deep,0.985780747911323,1.069576208021606,23
2014-02-19,Surface,4.042377,0.24659924920584997,10
2014-02-19,Mid-Depth,4.551093494728597,0.6467885089288358,10
2014-02-19,Lower Photic,2.9091618466030993,0.4470809566725295,10
2014-02-19,Deep,0.64420228566961,0.5706508982187091,23
2014-02-26,Surface,1.3037142857142858,0.6201898985021295,10
2014-02-26,Mid-Depth,3.678857142857143,0.7681581469824493,10
2014-02-26,Lower Photic,4.901994585847263,1.6043802220151284,10
2014-02-26,Deep,0.7625941090124937,0.42294832856178494,23
2014-03-26,Surface,0.37592,0.04785950868352674,10
2014-03-26,Mid-Depth,1.700766666666667,0.7244158080570599,10
2014-03-26,Lower Photic,2.5513498496244043,0.492426029292255,10
2014-03-26,Deep,0.4172284375867985,0.24457151887547535,23
2014-04-22,Surface,1.34,0.21176506899024786,10
2014-04-22,Mid-Depth,1.855,0.27318085177731216,10
2014-04-22,Lower Photic,2.182,0.46525500773470696,10
2014-04-22,Deep,0.42827131012872643,0.13866160937538582,23
2014-04-23,Surface,0.550778,0.1498927303700142,10
2014-04-23,Mid-Depth,0.7449999999999999,0.038369548110737804,10
2014-04-23,Lower Photic,0.8109999999999999,0.02424412872795755,10
2014-04-23,Deep,0.18760465412166075,0.2414590901973926,23
2014-04-27,Surface,0.7375636244448021,0.06931679289219127,10
2014-04-27,Mid-Depth,0.9470000000000001,0.35437111745864514,10
2014-04-27,Lower Photic,1.074,0.04141926551202414,10
2014-04-27,Deep,0.22553485055220995,0.2547164635299243,23
2014-05-19,Surface,1.0155,0.42886445670190737,10
2014-05-19,Mid-Depth,1.433,0.21468581695119032,10
2014-05-19,Lower Photic,1.073,0.2543859709618874,10
2014-05-19,Deep,0.3010050340563025,0.11150739596562285,23
2014-06-24,Surface,1.371,0.5854238730280061,10
2014-06-24,Mid-Depth,1.363,0.3364207022299444,10
2014-06-24,Lower Photic,1.326,0.31833595112361684,10
2014-06-24,Deep,0.33439455839163273,0.12766026402623384,23
2014-06-25,Surface,0.359,0.05363456596884762,10
2014-06-25,Mid-Depth,0.5690000000000001,0.05952590472502987,10
2014-06-25,Lower Photic,0.7990000000000002,0.07202622979011032,10
2014-06-25,Deep,0.13767038948618934,0.09797434591884635,23
2014-07-22,Surface,0.6140000000000001,0.127558265553868,10
2014-07-22,Mid-Depth,1.215,0.20940391591371924,10
2014-07-22,Lower Photic,1.209,0.31490562960283125,10
2014-07-22,Deep,0.19695982562251788,0.13950644753468736,23
2014-07-23,Surface,0.5650000000000001,0.06096447052723961,10
2014-07-23,Mid-Depth,0.712,0.014757295747452423,10
2014-07-23,Lower Photic,0.7150000000000001,0.020138409955990973,10
2014-07-23,Deep,0.1623981177194908,0.172718261834348,23
2014-08-12,Surface,1.048,0.22846346656644156,10
2014-08-12,Mid-Depth,1.393,0.031640339933558054,10
2014-08-12,Lower Photic,1.438,0.010327955589886454,10
2014-08-12,Deep,0.3044011846351324,0.1591726113555987,23
2014-08-13,Surface,0.47400000000000003,0.09535897091167318,10
2014-08-13,Mid-Depth,1.048,0.27911765738961525,10
2014-08-13,Lower Photic,1.269,0.05685263601823778,10
2014-08-13,Deep,0.19918054350168754,0.2410315051398919,23
2014-09-08,Surface,1.311,0.586883482662634,10
2014-09-08,Mid-Depth,1.6329999999999998,0.355373043434642,10
2014-09-08,Lower Photic,1.012,0.28924422590990856,10
2014-09-08,Deep,0.34397217454833395,0.13526693496929412,23
2014-09-09,Surface,1.1949999999999998,0.5567215541802643,10
2014-09-09,Mid-Depth,2.1220000000000003,0.02347575581554538,10
2014-09-09,Lower Photic,2.2159999999999997,0.4645475696249464,10
2014-09-09,Deep,0.31206399273743285,0.19354786590986542,23
2014-09-25,Surface,1.585,0.803122378940816,10
2014-09-25,Mid-Depth,2.908333333333333,0.2618134761548692,10
2014-09-25,Lower Photic,2.6536666666666666,0.7126276363909473,10
2014-09-25,Deep,0.2708042385744846,0.190524700904474,23
2014-10-07,Surface,2.423,0.8508825483644091,10
2014-10-07,Mid-Depth,3.4549999999999996,0.1967090349842743,10
2014-10-07,Lower Photic,1.625,0.8615006287480779,10
2014-10-07,Deep,0.3887348388081924,0.1366222015796453,23
2014-10-08,Surface,2.211,0.3800131576669419,10
2014-10-08,Mid-Depth,3.1979999999999995,0.4180058479123095,10
2014-10-08,Lower Photic,3.321125,0.6767375912132494,10
2014-10-08,Deep,0.25413535432769035,0.14572460327400472,23
2014-11-11,Surface,2.546,1.2440007145407024,10
2014-11-11,Mid-Depth,3.532,0.43204423641824236,10
2014-11-11,Lower Photic,2.098,0.37484218901648025,10
2014-11-11,Deep,0.48716663155541445,0.3596790391659042,23
2014-11-12,Surface,1.8090000000000004,0.3382454729926182,10
2014-11-12,Mid-Depth,2.3025,0.30313638294778583,10
2014-11-12,Lower Photic,2.907,0.05417051268397268,10
2014-11-12,Deep,0.3221476766151058,0.3186862724279242,23
2014-12-08,Surface,2.69,1.0157536884282308,10
2014-12-08,Mid-Depth,3.351,0.1239578781504247,10
2014-12-08,Lower Photic,3.567,0.14989255411052865,10
2014-12-08,Deep,0.8482680642114294,1.2337964173790552,23
2014-12-09,Surface,2.5694999999999997,0.46176262540641194,10
2014-12-09,Mid-Depth,3.0355000000000003,0.21884101281270132,10
2014-12-09,Lower Photic,3.382,0.12044362443345293,10
2014-12-09,Deep,0.7161017344445711,1.0816316549833433,23
2015-01-13,Surface,3.1979999999999995,1.0224132671717874,10
2015-01-13,Mid-Depth,4.276000000000001,0.12375603240066956,10
2015-01-13,Lower Photic,4.405,0.25074333933770265,10
2015-01-13,Deep,1.2431121436075903,1.5510732880815754,23
2015-01-14,Surface,1.9629999999999999,0.1929334945864335,10
2015-01-14,Mid-Depth,2.3369999999999997,0.0573585215987999,10
2015-01-14,Lower Photic,2.437,0.22141213456658904,10
2015-01-14,Deep,1.1813250965029283,1.1020036764931982,23
2015-02-10,Surface,3.136,1.1632827114105437,10
2015-02-10,Mid-Depth,2.473,1.5226734529912986,10
2015-02-10,Lower Photic,1.593,0.06992853494818832,10
2015-02-10,Deep,0.7885947361804896,0.4844310241280004,23
2015-02-11,Surface,5.936,0.31113412613283753,10
2015-02-11,Mid-Depth,6.584999999999999,0.2368426575692066,10
2015-02-11,Lower Photic,4.25,1.1998611030726292,10
2015-02-11,Deep,0.7558530913284578,0.2898827781163444,23
2015-03-10,Surface,2.8590000000000004,1.4830033340788173,10
2015-03-10,Mid-Depth,4.984,0.07574812062208397,10
2015-03-10,Lower Photic,4.583,0.10944811048569494,10
2015-03-10,Deep,1.6859128644504562,1.788197341815474,23
2015-03-11,Surface,1.9279999999999997,0.6273542327372418,10
2015-03-11,Mid-Depth,3.211,0.38466291159345684,10
2015-03-11,Lower Photic,5.943999999999999,0.965185071487444,10
2015-03-11,Deep,1.454762511133158,1.0973969365997966,23
2015-04-14,Surface,0.776,0.21792965225809297,10
2015-04-14,Mid-Depth,1.168,0.030110906108363263,10
2015-04-14,Lower Photic,1.0720000000000003,0.05006662228138294,10
2015-04-14,Deep,0.22045434595701768,0.1584953020907539,23
2015-05-05,Surface,0.535,0.11404190263037335,10
2015-05-05,Mid-Depth,0.729,0.0369534241384416,10
2015-05-05,Lower Photic,0.9530000000000001,0.19872090982078358,10
2015-05-05,Deep,0.2293650099554637,0.2771463057457038,23
2015-06-09,Surface,0.711,0.12404748194855784,10
2015-06-09,Mid-Depth,0.929,0.01728840330651989,10
2015-06-09,Lower Photic,0.937,0.0429599296502631,10
2015-06-09,Deep,0.18873094768252824,0.16439237288707473,23
2015-07-14,Surface,1.2520000000000002,0.4534999693740036,10
2015-07-14,Mid-Depth,1.988,0.21164960561162294,10
2015-07-14,Lower Photic,1.437,0.07273238618387279,10
2015-07-14,Deep,0.3603807440010437,0.22079370107269536,23
2015-07-15,Surface,0.445,0.0724568837309472,10
2015-07-15,Mid-Depth,0.631,0.051088159097779196,10
2015-07-15,Lower Photic,0.8959999999999999,0.0875848794662133,10
2015-07-15,Deep,0.27758944364992383,0.33293595408304494,23
2015-08-10,Surface,1.357,0.47956114197137456,10
2015-08-10,Mid-Depth,1.645,0.11257096527178855,10
2015-08-10,Lower Photic,1.19,0.09153020145163988,10
2015-08-10,Deep,0.40230562023792477,0.17866373163364307,23
2015-08-11,Surface,1.0030000000000001,0.41878262725295673,10
2015-08-11,Mid-Depth,1.8060000000000003,0.046475800154489,10
2015-08-11,Lower Photic,1.41,0.3060864075533066,10
2015-08-11,Deep,0.3465516561436145,0.2892891957280605,23
2015-09-09,Surface,1.594,0.6136267414135222,10
2015-09-09,Mid-Depth,2.521,0.23848829461142673,10
2015-09-09,Lower Photic,2.2600000000000002,0.6739930761266518,10
2015-09-09,Deep,0.32382605547067145,0.191181904871217,23
2015-10-06,Surface,1.8359999999999999,0.743059740382816,10
2015-10-06,Mid-Depth,2.045,0.4770336582581057,10
2015-10-06,Lower Photic,1.287,0.4131733561378592,10
2015-10-06,Deep,0.42411495007705097,0.11944418068151852,23
2015-10-07,Surface,1.2129999999999999,0.26398863611905726,10
2015-10-07,Mid-Depth,1.65,0.021602468994692852,10
2015-10-07,Lower Photic,1.4120000000000001,0.3688661304893988,10
2015-10-07,Deep,0.28507232309769276,0.1444827188355762,23
2015-12-08,Surface,2.0599999999999996,0.32873494895837685,10
2015-12-08,Mid-Depth,2.203,0.11690927156465297,10
2015-12-08,Lower Photic,2.2059999999999995,0.14841383583300666,10
2015-12-08,Deep,0.3867475125633432,0.43474690966337165,23
2016-01-19,Surface,1.8560000000000003,0.36197605814012995,10
2016-01-19,Mid-Depth,2.1239999999999997,0.13801771222886178,10
2016-01-19,Lower Photic,2.3470000000000004,0.11709919821340467,10
2016-01-19,Deep,0.532139527588779,0.45049563362444667,23
2016-01-20,Surface,1.983,0.20981738091333935,10
2016-01-20,Mid-Depth,2.3775000000000004,0.42259285633127097,10
2016-01-20,Lower Photic,2.313,0.47925984601257804,10
2016-01-20,Deep,0.44468115942028974,0.516221239845167,23
2016-02-16,Surface,3.135473928575416,0.5272469791572997,10
2016-02-16,Mid-Depth,3.3880000000000003,1.2831281221210051,10
2016-02-16,Lower Photic,2.985,0.8251498180465304,10
2016-02-16,Deep,0.783531984453354,0.7410330596297816,23
2016-02-17,Surface,4.132,0.2181640565160897,10
2016-02-17,Mid-Depth,4.01,0.32304110505561906,10
2016-02-17,Lower Photic,2.9563333333333337,0.25330845123636125,10
2016-02-17,Deep,0.518231884057971,0.6742071170752915,23
2016-03-01,Surface,3.4840000000000004,0.9987458802585037,10
2016-03-01,Mid-Depth,3.4550000000000005,0.6477353712057966,10
2016-03-01,Lower Photic,1.972,0.04848825745591514,10
2016-03-01,Deep,0.6076989333069931,0.6188988083170046,23
2016-03-08,Surface,1.9140000000000001,1.1693807583608906,10
2016-03-08,Mid-Depth,4.2780000000000005,0.19555050498528512,10
2016-03-08,Lower Photic,3.6319999999999992,0.352666036546381,10
2016-03-08,Deep,0.7671927411610328,0.5660624392271878,23
2016-03-09,Surface,3.1439999999999997,0.15093780912091642,10
2016-03-09,Mid-Depth,3.8810000000000002,0.3000907270217533,10
2016-03-09,Lower Photic,2.8819999999999997,1.3066479590497544,10
2016-03-09,Deep,0.43602898550724634,0.42746176996103047,23
2016-04-12,Surface,1.759,0.583884501516448,10
2016-04-12,Mid-Depth,2.3070000000000004,0.2593603242166731,10
2016-04-12,Lower Photic,1.2349999999999999,0.7550312723471936,10
2016-04-12,Deep,0.43881009526790626,0.0661837466759216,23
2016-04-13,Surface,2.1990000000000003,0.5105215198424277,10
2016-04-13,Mid-Depth,2.5679999999999996,0.18316962387664362,10
2016-04-13,Lower Photic,1.7860000000000003,0.5663960137963936,10
2016-04-13,Deep,0.24431905571250798,0.16923812659950221,23
2016-05-17,Surface,0.7969999999999999,0.19579183957571994,10
2016-05-17,Mid-Depth,1.2429999999999999,0.07439384681843288,10
2016-05-17,Lower Photic,0.759,0.34167723560889063,10
2016-05-17,Deep,0.1287633530215372,0.057217312155071455,23
2016-05-18,Surface,0.45199999999999996,0.06545566777937908,10
2016-05-18,Mid-Depth,0.74,0.17403703309608817,10
2016-05-18,Lower Photic,1.094,0.12321616055624447,10
2016-05-18,Deep,0.12208695652173915,0.11750431831270877,23
2016-06-14,Surface,0.479,0.10969148655306948,10
2016-06-14,Mid-Depth,1.038,0.10570398920255249,10
2016-06-14,Lower Photic,0.9959999999999999,0.13825901618178674,10
2016-06-14,Deep,0.1290936082493543,0.09258408515240313,23
2016-06-15,Surface,0.558,0.15732485852881326,10
2016-06-15,Mid-Depth,0.8619999999999999,0.080938934457473,10
2016-06-15,Lower Photic,1.3619999999999999,0.34889667365695665,10
2016-06-15,Deep,0.22999999999999995,0.2572448230575282,23
2016-07-12,Surface,0.8859999999999999,0.11558546621439915,10
2016-07-12,Mid-Depth,1.249,0.053218626647276675,10
2016-07-12,Lower Photic,0.9629999999999999,0.3213184643862776,10
2016-07-12,Deep,0.15839786359638758,0.08946568801891099,23
2016-07-13,Surface,0.398,0.10358034991681044,10
2016-07-13,Mid-Depth,0.666,0.024129281427805127,10
2016-07-13,Lower Photic,0.8350000000000002,0.1040566085252531,10
2016-07-13,Deep,0.14272463768115937,0.20890845832888777,23
2016-08-09,Surface,0.792,0.2338945631404601,10
2016-08-09,Mid-Depth,1.28,0.29097537123726924,10
2016-08-09,Lower Photic,1.5390000000000001,0.03142893217686181,10
2016-08-09,Deep,0.3003235004350467,0.17263067798022763,23
2016-08-10,Surface,0.374,0.13566298111291983,10
2016-08-10,Mid-Depth,0.8029999999999999,0.09381423725166192,10
2016-08-10,Lower Photic,1.066,0.06380525927469545,10
2016-08-10,Deep,0.14795652173913043,0.2193645161666042,23
2016-09-06,Surface,0.497,0.0670074622710038,10
2016-09-06,Mid-Depth,0.8400000000000001,0.04944132324730443,10
2016-09-06,Lower Photic,0.844,0.0362705880232945,10
2016-09-06,Deep,0.11891421215617251,0.12476299319970646,23
2016-09-07,Surface,0.42699999999999994,0.12737084962161996,10
2016-09-07,Mid-Depth,0.777,0.032335051500740765,10
2016-09-07,Lower Photic,0.9030000000000001,0.1022035007010795,10
2016-09-07,Deep,0.14355072463768118,0.1471457948305684,23
2016-10-11,Surface,0.639,0.2753361581775993,10
2016-10-11,Mid-Depth,1.5379999999999998,0.28232369129541124,10
2016-10-11,Lower Photic,1.8350000000000002,0.021730674684008848,10
2016-10-11,Deep,0.3178077873612271,0.25534665404080975,23
2016-10-12,Surface,0.626,0.0295145914949049,10
2016-10-12,Mid-Depth,0.771,0.18734697459230265,10
2016-10-12,Lower Photic,0.7610000000000001,0.017288403306519935,10
2016-10-12,Deep,0.10908695652173908,0.128257876966495,23
2016-11-08,Surface,1.47,0.43499680714026195,10
2016-11-08,Mid-Depth,1.8040000000000003,0.17462340431148782,10
2016-11-08,Lower Photic,2.2,0.19573224341204265,10
2016-11-08,Deep,0.43961317906318187,0.5137870862539815,23
2016-11-09,Surface,0.728,0.114968594745599,10
2016-11-09,Mid-Depth,1.0050000000000001,0.019002923751652315,10
2016-11-09,Lower Photic,1.03,0.024494897427831803,10
2016-11-09,Deep,0.14757971014492752,0.24260256015935147,23
2016-12-05,Surface,1.3119999999999998,0.262119565593007,10
2016-12-05,Mid-Depth,1.611,0.049988887654046514,10
2016-12-05,Lower Photic,1.0710000000000002,0.311214466958791,10
2016-12-05,Deep,0.25583485561611524,0.24530100276161032,23
2017-02-07,Surface,1.383,0.2846459789516326,10
2017-02-07,Mid-Depth,1.5060000000000002,0.2691220293225114,10
2017-02-07,Lower Photic,1.5100000000000002,0.4150501977672902,10
2017-02-07,Deep,0.5460858511413711,0.3252299184285866,23
2017-02-08,Surface,1.04,0.04082482904638634,10
2017-02-08,Mid-Depth,1.0859999999999999,0.04623610902506582,10
2017-02-08,Lower Photic,1.1219999999999999,0.015491933384829583,10
2017-02-08,Deep,0.5954021454974413,0.3002622982533715,23
2017-03-13,Surface,1.843,0.12481541927537992,10
2017-03-13,Mid-Depth,1.6260000000000001,0.23429326352529503,10
2017-03-13,Lower Photic,1.225,0.26030964467555007,10
2017-03-13,Deep,0.46480770443674935,0.09387183531463268,23
2017-03-14,Surface,1.3920000000000001,0.09235198367598221,10
2017-03-14,Mid-Depth,1.7719999999999998,0.19645751590498026,10
2017-03-14,Lower Photic,1.47,0.3552463933666322,10
2017-03-14,Deep,0.29980115125195955,0.21632521270985025,23
2017-04-18,Surface,0.859,0.28614099088852446,10
2017-04-18,Mid-Depth,1.117,0.05143496432929209,10
2017-04-18,Lower Photic,0.9610000000000001,0.0417532433869913,10
2017-04-18,Deep,0.21376074569243214,0.16638587536921773,23
2017-04-19,Surface,0.324,0.03470510689285432,10
