Sitio,Fecha,Profuidad (m),Depth Group,Temp. (°C),Chl a (µg/l),Ph (Unidad),Turbidity (NTU),DO (mg/L),TDS (mg/l),DBO (mg/l),Sechi  (m),NO3 (µg/L),PO4 (µg/L),NH4 (µg/L),NT (µg/l),PT (µg/l)
SA,2018-01-11,4.5,0-10 m,20.5202380383076,1.696450113732785,8.676007784020172,0.707747682766781,1.630856186391675,276.3871421116891,0.3497746781811677,6.623698823068181,10.55987776585865,1.700277926096302,5.54146124675118,51.05,25.84620505992011
WG,2018-01-11,4.5,0-10 m,20.50254019936034,1.696450113732785,8.676007784020172,0.379124134378984,1.630856186391675,276.3871421116891,0.3497746781811677,9.513495268261263,21.20463620919067,15.61940097570771,5.800848021829992,55.0,23.48946537360216
WG,2018-01-11,22.25,30+ m,20.39692361415647,1.696450113732785,8.676007784020172,0.1411638541132299,1.630856186391675,276.3871421116891,0.0,7.542302147162722,27.88939860460746,30.93297168966998,36.6879632815924,51.21666666666667,48.07156960172409
SA,2018-01-11,40.0,30+ m,20.55432604028629,1.696450113732785,8.676007784020172,0.3890227441462986,6.169966384865949,276.3871421116891,0.2276857881466847,5.571109026064183,7.590265039969768,2.384824961323092,35.22683661688171,47.43333333333334,23.98045280825173
WP,2018-01-11,4.5,0-10 m,20.71172846641611,1.696450113732785,8.676007784020172,0.6368816341793672,6.832807484017147,276.3871421116891,0.4553715762933694,6.758213534419512,5.373225402148617,1.472095581020705,4.936225438233958,40.8,25.55161259913037
WP,2018-01-11,19.5,10-30 m,20.51002949680247,1.696450113732785,8.676007784020172,0.3780441496835749,6.55714801130365,276.3871421116891,0.6830573644400542,9.782298534771309,14.77021909639973,2.613007306398689,1.47773510384982,53.85,23.48946537360216
SA,2018-01-11,19.5,10-30 m,20.38456305411153,1.696450113732785,8.676007784020172,0.3544150671664475,6.281488538590153,276.3871421116891,0.5500428202651951,7.119490420621584,11.2310916011623,2.841189651474286,20.84528097640099,54.05,22.60568799123293
WP,2018-01-11,19.5,30+ m,20.46942664556846,1.696450113732785,8.676007784020172,0.3307859846493201,6.089362695171345,276.3871421116891,0.417028276090336,10.46902089718136,35.2524109797566,7.709079679753684,17.06976236136498,72.1,27.90835228544831
WG,2018-01-11,19.5,10-30 m,20.50473874417835,1.696450113732785,8.676007784020172,0.3887818495931181,5.897236851752536,276.3871421116891,0.284013731915477,10.07056643391223,15.07531629426503,1.319974017636974,6.290800819201078,50.06666666666666,25.35521762527053
WP,2018-02-07,12.0,30+ m,20.44682318378361,1.696450113732785,8.676007784020172,0.2582325737674864,2.970123681725913,276.3871421116891,0.8271930800220679,10.65419553733716,60.60316640568399,33.70880921551994,1.130721266288909,74.66666666666667,40.34529383539157
SA,2018-02-07,4.5,0-10 m,20.33826735312335,2.102454635984295,8.891050279925883,0.5521538270332653,6.588030780925165,276.3871421116891,0.7431546422898532,5.36184941153409,19.63763176863403,9.66608906485731,0.9954987115994992,41.675,23.76662190272198
WG,2018-02-07,163.0711610486891,30+ m,20.26510479206695,2.508459158235806,8.861265596094256,0.2723030214777477,1.846650615410353,276.3871421116891,1.037687650366778,9.377796214123496,53.03911824985416,32.61739320246264,1.262080319415765,53.97083333333333,45.56454445202078
SA,2018-02-07,40.0,30+ m,20.24460823791991,2.914463680487316,8.83148091226263,1.156349003215116,5.036349917588719,276.3871421116891,0.7718469211146126,6.640381699371743,33.58432502147238,30.28573172002203,40.5075291918451,66.26666666666667,44.89109275955249
SA,2018-02-07,19.5,10-30 m,20.22411168377286,3.948254495638737,8.801696228431004,0.6275241097153943,5.933678595236806,276.3871421116891,0.5060061918624472,8.536962193951569,34.34379841642893,27.4579720498281,4.727641221027216,63.3,27.82166852203179
WP,2018-02-07,4.5,0-10 m,20.38326224079072,3.030501003038601,8.851125147044062,0.497491460211324,6.664762338324192,276.3871421116891,0.5734649041562755,5.941958581275944,35.17231484729061,29.91365807920704,4.078572958518047,56.65000000000001,25.80198966777169
WP,2018-02-07,19.5,10-30 m,20.26649061752869,2.112747510438464,8.700226959074874,0.2407789951835789,5.428151344819563,276.3871421116891,0.6409236164501038,10.82248996515545,59.19929134227947,33.26232084654195,3.104970564754296,71.75,33.21855709650569
WG,2018-02-07,19.5,10-30 m,20.28715829842978,4.411847790972148,8.80697944712588,0.2861800399260091,5.778873499705538,276.3871421116891,0.8317572243777609,4.96744600641828,39.38394003750417,29.54158443839205,2.293635236617835,46.33333333333333,37.63685426616858
WG,2018-02-07,4.5,0-10 m,20.61464858410054,3.609093195534769,8.806040040315121,0.3188319290291216,6.137795346168387,276.3871421116891,0.5309369439044787,9.251005164610854,10.60231810459534,29.24392552574006,2.780436433499712,56.74864258431553,24.84952170942914
