location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus
SA,Surface,18/02/2014,20.81633111,3.254407566,9.285470689,7.609047521,6.098287049,1.463503876,,,,,,
SA,Mid-Depth,18/02/2014,20.603,4.886576399,9.093333333,7.266,,,,,,,,
SA,Lower Photic,18/02/2014,20.48,3.50749011,8.80875,6.818,,,,,,,,
SA,Deep,18/02/2014,20.44155174,3.158719954,8.484700718,6.439069707,,,,,,,,
SA,Surface,26/03/2014,22.4,0.575085714,8.553,7.466,7,1,,,,,,
SA,Mid-Depth,26/03/2014,21.97,3.129142857,8.398,7.033,,,,,,,,
SA,Lower Photic,26/03/2014,21.52,2.655404383,7.9705,5.949,,,,,,,,
SA,Deep,26/03/2014,21.01063809,0.838735004,7.779074,4.264765374,,,,,,,,
SA,Surface,22/04/2014,22.303,1.34,8.728,6.988,5.1,2.2,,,,,,
SA,Mid-Depth,22/04/2014,22.048,1.855,8.647,6.727,,,,,,,,
SA,Lower Photic,22/04/2014,21.842,2.182,8.331,5.93,,,,,,,,
SA,Deep,22/04/2014,20.66855098,0.591757516,8.000584568,2.991327751,,,,,,,,
SA,Surface,19/05/2014,22.9155,1.0155,8.92,7.1495,5.3,1.7841813,,,,,,
SA,Mid-Depth,19/05/2014,22.599,1.433,8.997,7.039,,,,,,,,
SA,Lower Photic,19/05/2014,22.4,1.073,8.86,6.697,,,,,,,,
SA,Deep,19/05/2014,20.99924242,0.497575758,8.328409091,4.114545455,,,,,,,,
SA,Surface,24/06/2014,23.541,1.371,8.754,7.42,5.5,1.703334232,,,,,,
SA,Mid-Depth,24/06/2014,23.133,1.363,9.084,7.303,,,,,,,,
SA,Lower Photic,24/06/2014,22.654,1.326,8.817,6.265,,,,,,,,
SA,Deep,24/06/2014,21.05348485,0.463181818,7.906742424,3.262424242,,,,,,,,
SA,Surface,22/07/2014,23.356,0.614,9.098,6.969,5.3,1.567861745,,,,,,
SA,Mid-Depth,22/07/2014,23.296,1.215,9.376,6.919,,,,,,,,
SA,Lower Photic,22/07/2014,22.997,1.209,9.204,6.459,,,,,,,,
SA,Deep,22/07/2014,21.07992424,0.4875,8.390530303,3.060378788,,,,,,,,
SA,Surface,12/08/2014,23.23,1.048,9.01,7.288,5.1,1.497876002,,,,,,
SA,Mid-Depth,12/08/2014,22.876,1.393,9.01,7.108,,,,,,,,
SA,Lower Photic,12/08/2014,22.722,1.438,9.01,6.7,,,,,,,,
SA,Deep,12/08/2014,21.24153784,0.601052095,8.986852167,3.13130106,,,,,,,,
SA,Surface,08/09/2014,23.408,1.311,8.229076923,8.089,6.5,1.460983607,,,,,,
SA,Mid-Depth,08/09/2014,23.258,1.633,7.260923077,7.796,,,,,,,,
SA,Lower Photic,08/09/2014,22.981,1.012,9.321,7.256,,,,,,,,
SA,Deep,08/09/2014,21.29742424,0.530984848,7.415909091,3.097954545,,,,,,,,
SA,Surface,07/10/2014,23.492,2.416,7.71,8.476,5.05,1.7,,,,,,
SA,Mid-Depth,07/10/2014,23.29,3.455,10.271,8.123,,,,,,,,
SA,Lower Photic,07/10/2014,23.025,1.847,9.731,7.345,,,,,,,,
SA,Deep,07/10/2014,21.42108675,0.454297703,8.680652559,3.045806948,,,,,,,,
SA,Surface,11/11/2014,22.344,3.05,9.517,7.858,5.8,0.6,,,,,,
SA,Mid-Depth,11/11/2014,22.249,3.532,9.562,7.644,,,,,,,,
SA,Lower Photic,11/11/2014,22.201,2.274,9.599,7.152,,,,,,,,
SA,Deep,11/11/2014,21.46710037,1.545463327,8.542768856,4.664413695,,,,,,,,
SA,Surface,08/12/2014,21.139,2.8155,8.495,6.933,4,1.036129032,,,,,,
SA,Mid-Depth,08/12/2014,21.133,3.351,8.515,6.929,,,,,,,,
SA,Lower Photic,08/12/2014,21.131,3.567,8.479,6.961,,,,,,,,
SA,Deep,08/12/2014,21.12462121,3.967727273,8.427575758,6.955681818,,,,,,,,
SA,Surface,13/01/2015,20.436,3.198,8.51,7.272234069,5.5,1.180347795,,,,,,
SA,Mid-Depth,13/01/2015,20.357,4.276,8.509,6.941262519,,,,,,,,
SA,Lower Photic,13/01/2015,20.237,4.405,8.47,5.994193201,,,,,,,,
SA,Deep,13/01/2015,20.19439394,4.475227273,8.429166667,3.644518915,,,,,,,,
SA,Surface,10/02/2015,20.545,3.136,8.278,6.417,5.29,1.236374838,,,,,,
SA,Mid-Depth,10/02/2015,20.323,2.059,8.143,4.615,,,,,,,,
SA,Lower Photic,10/02/2015,20.225,1.593,8.139,4.786,,,,,,,,
SA,Deep,10/02/2015,20.17689394,1.875833333,8.123712121,5.863484848,,,,,,,,
SA,Surface,10/03/2015,20.569,2.96,8.599,7.138,5.2,1.27392134,,,,,,
SA,Mid-Depth,10/03/2015,20.451,4.984,8.534,6.872,,,,,,,,
SA,Lower Photic,10/03/2015,20.369,4.583,8.439,6.272,,,,,,,,
SA,Deep,10/03/2015,20.30590909,5.040530303,8.359090909,6.674242424,,,,,,,,
SA,Surface,14/04/2015,22.049,0.776,8.673,7.633,7.1,1.307106433,,,,,,
SA,Mid-Depth,14/04/2015,21.45,1.168,8.675,7.189,,,,,,,,
SA,Lower Photic,14/04/2015,21.24,1.072,8.57,6.586,,,,,,,,
SA,Deep,14/04/2015,20.53113636,0.558787879,8.10469697,4.053484848,,,,,,,,
SA,Surface,09/06/2015,23.843,0.711,8.737,7.373,5.1,1.342994724,,,,,,
SA,Mid-Depth,09/06/2015,23.772,0.929,8.724,7.392,,,,,,,,
SA,Lower Photic,09/06/2015,22.211,0.937,8.316,6.139,,,,,,,,
SA,Deep,09/06/2015,20.6980303,0.539393939,7.950227273,3.639924242,,,,,,,,
SA,Surface,14/07/2015,22.84,1.252,8.614,7.168,5.4,1.359122679,,,,,,
SA,Mid-Depth,14/07/2015,22.804,1.988,8.647,7.209,,,,,,,,
SA,Lower Photic,14/07/2015,22.655,1.437,8.641,7.083,,,,,,,,
