date,depth_group,mean_chlorophyll_a,std_chlorophyll_a,measurement_count
2014-02-18,Surface,3.2544075661787337,1.286137985602841,10
2014-02-18,Mid-Depth,4.886576399017274,0.9736879162903663,10
2014-02-18,Lower Photic,3.507490110101724,0.298005612513054,10
2014-02-18,Deep,3.158719954306929,0.28795404105318845,22
2014-03-26,Surface,0.5750857142857143,0.3017829647662858,10
2014-03-26,Mid-Depth,3.1291428571428574,1.024210862643266,10
2014-03-26,Lower Photic,2.6554043834081824,1.369699490969858,10
2014-03-26,Deep,0.8387350037130111,0.19283631538002657,22
2014-04-22,Surface,1.34,0.21176506899024786,10
2014-04-22,Mid-Depth,1.855,0.27318085177731216,10
2014-04-22,Lower Photic,2.182,0.46525500773470696,10
2014-04-22,Deep,0.5917575158163477,0.35950678954275056,22
2014-05-19,Surface,1.0155,0.42886445670190737,10
2014-05-19,Mid-Depth,1.433,0.21468581695119032,10
2014-05-19,Lower Photic,1.073,0.2543859709618874,10
2014-05-19,Deep,0.4975757575757576,0.14481216375209222,22
2014-06-24,Surface,1.371,0.5854238730280061,10
2014-06-24,Mid-Depth,1.363,0.3364207022299444,10
2014-06-24,Lower Photic,1.326,0.31833595112361684,10
2014-06-24,Deep,0.46318181818181814,0.21972680794538962,22
2014-07-22,Surface,0.6140000000000001,0.127558265553868,10
2014-07-22,Mid-Depth,1.215,0.20940391591371924,10
2014-07-22,Lower Photic,1.209,0.31490562960283125,10
2014-07-22,Deep,0.4874999999999999,0.18891765653951184,22
2014-08-12,Surface,1.048,0.22846346656644156,10
2014-08-12,Mid-Depth,1.393,0.031640339933558054,10
2014-08-12,Lower Photic,1.438,0.010327955589886454,10
2014-08-12,Deep,0.6010520953957537,0.2669420435013921,22
2014-09-08,Surface,1.311,0.586883482662634,10
2014-09-08,Mid-Depth,1.6329999999999998,0.355373043434642,10
2014-09-08,Lower Photic,1.012,0.28924422590990856,10
2014-09-08,Deep,0.5309848484848486,0.18791015744958353,22
2014-10-07,Surface,2.416,0.8456465128476307,10
2014-10-07,Mid-Depth,3.4549999999999996,0.1967090349842743,10
2014-10-07,Lower Photic,1.8470000000000002,0.8633050188407083,10
