date,depth_group,mean_dissolved_oxygen,std_dissolved_oxygen,measurement_count
2014-02-18,Surface,7.60904752055894,0.09331663642890477,10
2014-02-18,Mid-Depth,7.266,0.19939909728983243,10
2014-02-18,Lower Photic,6.8180000000000005,0.1359248158194653,10
2014-02-18,Deep,6.439069707308709,0.17491869987380587,22
2014-03-26,Surface,7.465999999999999,0.07604092465391389,10
2014-03-26,Mid-Depth,7.0329999999999995,0.2467139594303042,10
2014-03-26,Lower Photic,5.949,0.5808317790510052,10
2014-03-26,Deep,4.264765373738981,0.46733711439656017,22
2014-04-22,Surface,6.9879999999999995,0.07192588778272628,10
2014-04-22,Mid-Depth,6.726999999999999,0.0780384520605068,10
2014-04-22,Lower Photic,5.93,1.0225241100118645,10
2014-04-22,Deep,2.9913277507402953,0.21844618148887168,22
2014-05-19,Surface,7.149499999999999,0.06413743923100709,10
2014-05-19,Mid-Depth,7.039,0.13601062050034496,10
2014-05-19,Lower Photic,6.697,0.08882567196480988,10
2014-05-19,Deep,4.114545454545454,1.157245656037433,22
2014-06-24,Surface,7.42,0.16172679294277595,10
2014-06-24,Mid-Depth,7.303,0.20688429401747982,10
2014-06-24,Lower Photic,6.265,0.4503887209955417,10
2014-06-24,Deep,3.2624242424242422,1.2664553632517757,22
2014-07-22,Surface,6.968999999999999,0.02514402955419484,10
2014-07-22,Mid-Depth,6.919,0.013703203194063046,10
2014-07-22,Lower Photic,6.4590000000000005,0.5405439647038691,10
2014-07-22,Deep,3.060378787878788,0.9642934650428711,22
2014-08-12,Surface,7.287999999999999,0.03293090409394258,10
2014-08-12,Mid-Depth,7.108,0.20536146993370827,10
2014-08-12,Lower Photic,6.7,0.10488088481701528,10
2014-08-12,Deep,3.1313010598131386,1.6055108995447236,22
2014-09-08,Surface,8.089,0.04748099034818539,10
2014-09-08,Mid-Depth,7.796000000000001,0.19161303597499704,10
2014-09-08,Lower Photic,7.256,0.3833826055290227,10
2014-09-08,Deep,3.0979545454545456,1.7544519284563111,22
2014-10-07,Surface,8.476,0.03627058802329446,10
2014-10-07,Mid-Depth,8.123,0.24931238771201625,10
2014-10-07,Lower Photic,7.344999999999999,0.221120881972835,10
2014-10-07,Deep,3.045806948316232,2.0150242672927465,22
2014-11-11,Surface,7.858,0.019888578520234994,10
2014-11-11,Mid-Depth,7.644,0.1760176758800725,10
