,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
0.0,20.67331114433734,22.5,22.52,23.035,23.7,23.37,23.24,23.55,23.5,22.42,21.14,20.43,20.72,20.6,22.28,23.85,22.84,23.67,23.81,23.99,23.5,21.54,20.9,21.21,22.53,23.76,24.02,23.89,23.61,23.7,23.46,22.69,21.64,20.47,21.04,21.62,23.05,23.52,23.54,23.71,23.69,23.23,22.93,22.696545856618897,20.6188327878193,20.4268111059586,20.7000771738189,21.5260259114503,22.7749353605536,23.2659967806043,22.5888153,23.2589584194642,23.6177294356645,23.8036198428322,22.659335296644,21.5283401666904,20.792313329645,21.3061727478947,21.6159373799943,23.41889213714,23.784285301256,23.44760132,23.87783813,23.826275860701,21.4166356558483,23.58056641,23.5141070352619,23.74224854,24.00314331,23.57543945,23.68768311,22.6874777742493,21.89862061,21.3456122736715,21.0664031569753,21.4283608121523,21.9586629104142,22.827200231931,24.0672157064362,23.64285278,23.5019848388124,23.695597010545,24.00079346,23.408461405458,21.7994630114449,21.00772095,20.9726877816648,19.7490862867092,22.3093397324,24.0093051982733,23.1516134868464,23.1520199379487,23.1379693865748,23.6285561283281,23.1440885088872,23.1499969544078,21.7676666685599,20.9741828743543,21.0035104964519,21.5638809791889,22.0514602482589,23.5116054,24.510796211126,24.0123833517994,24.210214800527,24.2878017600365,23.7093767362398,22.9914106691043,22.4214088292034
1.0,20.87,22.6,22.43,23.18,23.57,23.35,23.26,23.54,23.52,22.4,21.14,20.45,20.72,20.63,22.29,23.85,22.86,23.69,23.81,24.0,23.5,21.54,20.92,21.22,22.54,23.73,24.0,23.87,23.61,23.7,23.46,22.7,21.66,20.51,21.06,21.62,23.0,23.52,23.53,23.71,23.7,23.24,22.91,22.690390787234833,20.6041506868627,20.3856548233712,20.7013209581653,21.5219227897804,22.7707360004555,23.2623317645322,22.5937866,23.2833720166494,23.6177198376979,23.8053688133081,22.6599796002072,21.5282527595112,20.756488657336,21.2533576293316,21.5995726722405,23.4134031412742,23.7412619179111,23.44760132,23.87783813,23.8028212493866,21.3907574733017,23.58056641,23.5131999765071,23.74224854,24.00314331,23.57543945,23.68768311,22.6873384417187,21.89862061,21.344593536384,21.0620427593994,21.4110790548215,21.9118162173556,22.7911988587547,24.0667732354125,23.64285278,23.4974096604603,23.7269771545505,24.0010784119277,23.3255347409966,21.7822359571547,21.0077248628558,20.9491641703039,21.0993440170663,22.2951240979934,23.8069496640786,23.1521707985316,23.1904166938815,23.1556995652625,23.6404657218227,23.1176714199674,23.1033077592055,21.7599692971049,20.9840897419523,20.9113581764907,21.5335940064833,22.0514412764574,23.5116054,24.5088379649863,24.0277146245325,24.2043295579749,24.269905064173,24.2253509566571,22.9502845328229,22.4261545939914
2.0,20.87,22.6,22.37,23.09,23.57,23.38,23.26,23.49,23.51,22.38,21.14,20.45,20.65,20.59,22.28,23.85,22.88,23.65,23.82,23.98,23.5,21.56,20.91,21.19,22.52,23.75,24.0,23.89,23.61,23.7,23.46,22.71,21.67,20.51,21.07,21.62,23.01,23.52,23.54,23.71,23.71,23.24,22.91,22.672374629731372,20.5369470015349,20.3624537222419,20.700559148931,21.5202887732927,22.7639615565074,23.2614949526841,22.5952679,23.2789687824807,23.6159854050639,23.7802555408561,22.6557137043777,21.5098531492768,20.7267401533546,21.2295243428413,21.5860586269762,23.3973951027222,23.7088022750519,23.44760132,23.87783813,23.7906563563622,21.361299510967,23.58056641,23.5033383769155,23.74224854,24.00314331,23.57543945,23.6877161909776,22.6873405735844,21.89862061,21.3429657654246,21.0557480035826,21.395417810427,21.8152940965327,22.7609647277378,24.0526417995935,23.64285278,23.4918668655985,23.6852245887426,23.9962879155002,23.2422390338161,21.7775091816079,21.0079162870261,20.9078449633128,20.9994114784356,22.1589488438537,23.6897910568761,23.1534767423696,23.1651012602205,23.1634161712305,23.63594370987,23.0043184326206,23.0472216412012,21.7525945357936,20.9408423779728,20.8519927825722,21.4313062014723,22.0383075514528,23.5119803443489,24.4758032440294,24.0275800495046,24.1992395473909,24.2185468990453,24.139971128918,22.9044264679351,22.4253868079719
3.0,20.86,22.6,22.33,22.97,23.57,23.37,23.26,23.41,23.51,22.36,21.14,20.45,20.6,20.58,22.21,23.85,22.85,23.63,23.73,23.95,23.5,21.55,20.91,21.18,22.51,23.75,23.98,23.89,23.61,23.7,23.47,22.72,21.67,20.51,21.06,21.62,22.99,23.52,23.52,23.7,23.69,23.24,22.91,22.65431273269656,20.521646698245,20.3385363710928,20.6977460545284,21.5218607421194,22.7596729961441,23.2613461781898,22.5944162,23.2783668924503,23.6157068573237,23.6575451756477,22.6558138361557,21.4916364208844,20.7043447006613,21.2171537967434,21.579256972046,23.389350526515,23.6834015770443,23.44760132,23.8779822384064,23.7752641419146,21.3466044280033,23.5810105788672,23.4181713046613,23.7422509693559,24.00314331,23.57543945,23.6864415206577,22.6874935067972,21.89862061,21.3341108326971,21.0519118760993,21.3655857339528,21.6494027334431,22.7368426460141,24.0085416255007,23.64285278,23.4855965620365,23.6686404595969,23.9780569548339,23.1985991917074,21.7516578669679,20.9963875007915,20.8933578523937,20.9807436909318,22.0619497405587,23.627489509222,23.1555069966445,23.1532864262084,23.1618131446097,23.6198519945773,22.9706696453656,23.0286366753298,21.7375597509938,20.9362644197456,20.8355234088333,21.398370896754,22.0299653739374,23.5052575474938,24.4176904352073,24.0229566575508,24.2005814780491,24.1828727579831,24.1228741585216,22.8973480265561,22.4191924056652
4.0,20.85,22.5,22.29,22.9,23.54,23.37,23.25,23.39,23.49,22.34,21.14,20.44,20.58,20.56,22.21,23.86,22.84,23.6,23.71,23.91,23.6,21.55,20.9,21.17,22.48,23.75,23.96,23.89,23.61,23.7,23.47,22.72,21.67,20.52,21.05,21.62,22.97,23.52,23.51,23.68,23.69,23.23,22.9,22.63952019121398,20.5088159342818,20.3321376137879,20.6914673501182,21.5210429072245,22.7547804322891,23.260126075373,22.600019,23.2862141083647,23.6152273624994,23.621088248981,22.6589409339585,21.4786627527453,20.6900968245391,21.2130569534222,21.5743909859905,23.3679484108643,23.6552154230361,23.4476252604653,23.875605851843,23.7686703344767,21.3370350548103,23.5741295941298,23.3292827192097,23.7424157408167,24.00314331,23.5756423129967,23.6834604782423,22.6878445883143,21.8987058423694,21.3138319458986,21.0473666338891,21.2132646817206,21.4470411994529,22.7189443796837,23.9822578251975,23.6428715461169,23.4784722270958,23.6570714562999,23.9566980789475,23.1785878178843,21.7241584709509,20.9809676842652,20.881471564553,20.9411316796508,22.0345502443667,23.5888575652096,23.1538835760526,23.1477824222261,23.1604480246759,23.6033480328908,22.9567277836328,23.0163153879901,21.7187196315074,20.9333253274819,20.8147658704172,21.3795874085845,22.0197436537705,23.4893164497157,24.3921904402645,24.024412900086,24.2031274546214,24.1669258097532,24.1163632203428,22.8851692541975,22.4156905965662
5.0,20.82,22.3,22.27,22.88,23.51,23.37,23.25,23.36,23.49,22.32,21.14,20.44,20.57,20.56,22.11,23.86,22.83,23.59,23.69,23.9,23.6,21.55,20.9,21.17,22.47,23.73,23.95,23.89,23.61,23.7,23.47,22.72,21.67,20.52,21.04,21.62,22.97,23.52,23.5,23.68,23.68,23.23,22.89,22.62556860762573,20.4947168127985,20.3255593193457,20.6908610869413,21.5212542628832,22.7470199728119,23.259525659948,22.6001095,23.2876853017317,23.6112436997746,23.6022743454377,22.6601063730905,21.4734405630573,20.6817075474041,21.2039640882329,21.5683388122929,23.3484980326995,23.6335870826784,23.4464555676063,23.8678152051768,23.7603481627516,21.3275755518132,23.5402161700349,23.2025984216388,23.7376438835534,24.0031858089659,23.5708907519556,23.6829907742515,22.6891197140658,21.8985835876648,21.3112779489877,21.0414555901196,21.0840297268898,21.3284551053531,22.708781191982,23.9706894693684,23.6429025934781,23.4704109500098,23.6453081041585,23.9382350697054,23.169340736711,21.7194641791867,20.9703983688621,20.8782062525979,20.9386429497551,22.0066779264505,23.5731961165165,23.1500185818796,23.1449133907365,23.1589352904556,23.5981723865297,22.9484331357943,23.001651657003,21.7050543444888,20.9282745116204,20.8034980688145,21.3620929835554,22.0031751862404,23.4774147397167,24.3775508602014,24.0099582727136,24.1585884997494,24.1534346048738,24.1133557084329,22.8770213925855,22.4150776674483
6.0,20.81,22.3,22.23,22.83,23.5,23.36,23.25,23.35,23.48,22.31,21.14,20.43,20.51,20.55,21.91,23.84,22.83,23.56,23.69,23.87,23.6,21.55,20.9,21.16,22.44,23.72,23.95,23.89,23.57,23.7,23.47,22.72,21.67,20.52,21.0,21.63,22.96,23.51,23.48,23.68,23.68,23.22,22.88,22.612327225178827,20.4874561300812,20.3145696982146,20.6888814322048,21.5220157458795,22.7416544651921,23.2593297515374,22.5994547,23.2869882986162,23.5901899841027,23.5868107474767,22.6607587107577,21.4682621665625,20.6765996488163,21.1988258377833,21.5533826288151,23.2982562734113,23.5881278925228,23.4444606040967,23.8473769874151,23.7553751274984,21.3183583608611,23.4994736170922,23.1438338465088,23.7276925267626,24.0018329346014,23.5623368023618,23.6854180184115,22.6888206132883,21.8948051762206,21.3075751995647,21.0370296070298,21.0794045146858,21.2609850315285,22.7017363875053,23.9565520300949,23.6368888310127,23.4616826848476,23.6334217596157,23.9207221733882,23.1627795126528,21.7075094197486,20.9620973812007,20.871785148806,20.9213784282477,21.9806226753917,23.546430774348,23.1498660312803,23.1431309077651,23.1554701832167,23.5905883154208,22.9402970718839,22.993884413552,21.6983752284622,20.9256124884056,20.7922501365851,21.35310784582,21.9857960986804,23.4671263564078,24.3697114249663,24.0093072309675,24.1245320639268,24.1453936701637,24.1093842594885,22.8724542612701,22.4151020442892
7.0,20.81,22.2,22.21,22.77,23.5,23.34,23.22,23.34,23.48,22.31,21.14,20.43,20.4,20.55,21.91,23.83,22.83,23.55,23.68,23.85,23.5,21.55,20.89,21.14,22.41,23.72,23.95,23.89,23.46,23.69,23.47,22.72,21.66,20.52,20.94,21.62,22.94,23.51,23.46,23.68,23.68,23.22,22.88,22.596361729185404,20.481632452325,20.3058121178459,20.6890950596949,21.5151918784899,22.7184692782985,23.2589652502732,22.599009,23.2865415982654,23.4806124578451,23.5786150015934,22.663313946096,21.4648260737808,20.6717901669199,21.1958740907932,21.5054137875183,23.2541800451343,23.5085696300284,23.4432497718564,23.8346671267647,23.7499066743257,21.3097866690695,23.465272906176,23.1230555786131,23.7211648993203,24.0029579006387,23.5585504819346,23.6856136371535,22.6865811615882,21.8911433708739,21.2989730069781,21.0344502325023,21.0766231739687,21.2265238005677,22.6839633458753,23.9403452552542,23.6311692952567,23.4529103074295,23.6082078047779,23.8679225773885,23.1572013121376,21.6971806655455,20.9571080253716,20.8662742557245,20.8383165791739,21.9189792161779,23.4977590516022,23.1475422597065,23.1315521955907,23.1548416945023,23.5843305395408,22.9348889847173,22.9886921155018,21.6944260157128,20.9232493470758,20.77792332599,21.3497182168344,21.9851946655004,23.4625266643085,24.3594939680571,24.0042422744162,24.1187159377406,24.1411245661661,24.1082745395433,22.8715686428847,22.4149908792857
8.0,20.8,22.2,22.2,22.76,23.49,23.33,23.18,23.33,23.47,22.3,21.14,20.42,20.36,20.54,21.72,23.82,22.82,23.54,23.68,23.83,23.5,21.55,20.89,21.08,22.4,23.7,23.95,23.89,23.44,23.69,23.47,22.72,21.67,20.52,20.87,21.62,22.84,23.51,23.45,23.67,23.68,23.22,22.87,22.57934100026975,20.4760974251037,20.2988572249672,20.6805608329997,21.4953064724357,22.6511183093891,23.2584230158886,22.5996926,23.2855912417331,23.4334928011979,23.5713042503621,22.6638628634007,21.4648199118764,20.6659965471414,21.1919725216752,21.3674023441086,23.1674070679339,23.4838756498904,23.4411926495448,23.8289119198475,23.7485031775225,21.3007877391033,23.4572570298795,23.0748746096573,23.7146794082482,24.001480039784,23.5556005577792,23.6834472089688,22.6793819815473,21.8886083433869,21.2956616097942,21.0297822921402,21.0658958507365,21.2030344167314,22.6414012004154,23.8807804328024,23.625921884646,23.4451619391174,23.5893785235596,23.79884939551,23.1527081071637,21.6951108815039,20.9528160715523,20.8666702792517,20.7881719068156,21.858829183057,23.3825620108115,23.141357959542,23.1208416426746,23.1518129226267,23.5724904163938,22.9284354040559,22.985461055752,21.6873596005964,20.9202676186598,20.7612988942729,21.3447868197473,21.9815052803812,23.4533083956971,24.3378302024563,24.0075070231487,24.1135753177147,24.1376024381045,24.1061495679391,22.8682537531707,22.4157419852178
9.0,20.8,22.2,22.18,22.74,23.46,23.32,23.13,23.32,23.47,22.3,21.13,20.42,20.34,20.53,21.57,23.82,22.82,23.52,23.67,23.75,23.5,21.55,20.88,20.95,22.39,23.7,23.93,23.89,23.42,23.69,23.45,22.72,21.67,20.52,20.77,21.62,22.77,23.5,23.45,23.67,23.68,23.21,22.87,22.557357474679723,20.4720844540239,20.2922815344077,20.6678339545439,21.4490834983141,22.427206342898,23.2579902786251,22.5996091,23.2177862389006,23.4262309412836,23.5622166030143,22.660718801859,21.4634506198883,20.6588243511278,21.1778351769107,21.3363695600633,22.9493516610822,23.4608105078798,23.4392750003961,23.8236876140067,23.7471265310716,21.2813743916946,23.4445201787876,23.0302685128911,23.7042370809496,24.0006712290996,23.5533800373786,23.6747719677992,22.6699241191477,21.8872118454245,21.2863307751192,21.0168325325878,21.0490654404769,21.1825612314676,22.5865511249455,23.7956530551909,23.6197229972996,23.4382471453582,23.5766943842859,23.7256761994117,23.1506456080606,21.6865058967444,20.9513370549625,20.8656382204964,20.6919378077332,21.7892863952739,23.2889834826153,23.1351444090009,23.1098559001536,23.1482549082784,23.5652170894907,22.9244856978511,22.9816943559183,21.684371743879,20.9182869615827,20.7539948510634,21.3325881163976,21.9719949281244,23.4475115163542,24.2603503861007,24.0092415950241,24.1110235343911,24.1344400973134,24.1002026338094,22.8638119593302,22.4143350958481
