depth,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,depth_group
0.0,305.0,305.0,321.0,319.0,245.0,244.625730117891,230.186909924737,247.0,244.0,243.0,243.0,242.0,239.0,240.600626317118,234.152897002457,166.295407964278,246.003731651272,248.0,248.0,246.0,248.0,243.0,234.243973689355,242.0,242.0,242.481018894777,245.0,247.0,248.514038928044,129.508302836525,249.535324365013,248.0,245.0,244.960069057473,246.0,244.0,242.0,243.0,245.0,248.001447013497,248.0,249.0,250.0,250.0,249.0,247.0,114.280846247284,300.0,221.730627563089,243.455923690934,Surface
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface
0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface
1.0,305.0,305.0,321.0,319.0,245.0,245.012495768229,245.705275001359,247.0,244.0,243.0,243.0,242.0,239.0,242.069812025632,243.95992083504,232.959748764532,246.049943941129,248.0,248.0,246.0,245.0,243.0,236.266887060052,242.0,242.0,242.145551551601,245.0,247.0,247.943181135577,254.794316466994,250.020302318787,248.0,245.0,245.061341610159,246.0,244.0,242.0,243.001561008319,245.0,248.035971948575,248.0,249.0,250.0,250.0,249.0,247.0,257.723377747626,300.0,245.601187158818,245.152578456602,Surface
1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface
2.0,305.0,305.0,321.0,319.0,245.0,245.0,244.977271576095,247.0,244.0,243.0,243.0,242.0,238.95161041251,242.0,244.023329700331,231.585426675192,245.551777947907,248.0,248.0,246.0,245.0,243.0,238.903017589858,242.0,242.0,241.975720496514,245.0,247.0,248.0,248.0,250.0,248.0,245.0,246.022160011455,246.0,244.0,242.0,242.997317073684,245.0,247.491157346021,248.0,249.0,250.0,250.0,249.0,247.0,245.855692114881,300.0,245.0,245.976293309323,Surface
3.0,305.0,305.0,321.0,319.0,245.0,245.0,245.0,247.0,244.0,243.0,243.0,242.0,239.685472764666,242.0,244.002192748119,232.60636189011,245.929799538455,248.0,248.0,246.0,245.0,243.0,241.18115064418,242.0,242.0,241.983054692571,245.0,247.0,248.0,248.0,249.993087871553,248.0,245.0,246.0,246.0,244.0,242.0,242.15540813641,245.0,246.972297602216,248.0,249.0,250.0,250.0,249.0,247.0,245.041081044839,300.0,245.0,246.00033333032,Surface
3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface
3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface
4.0,305.0,305.0,321.0,319.0,245.0,245.0,245.0,247.0,244.0,243.0,243.0,242.0,240.013738926014,241.997663052718,243.965003927909,236.983969301401,246.0,248.0,248.0,246.0,245.0,243.0,241.66462541364,242.0,242.0,242.0,245.0,247.0,248.004013724152,248.0,249.002607981067,248.0,245.0,246.0,246.0,244.0,242.0,241.99115741848,245.0,247.0,248.0,249.0,250.0,250.0,249.0,247.0,244.994777574405,300.0,245.00164788492,246.0,Surface
4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface
5.0,305.0,305.0,321.0,318.0,245.0,245.0,245.0,247.0,244.0,243.0,243.0,242.0,240.0,242.215217565042,244.281648537981,237.939304932501,246.0,248.0,248.0,246.0,245.0,243.0,242.028357167679,242.0,242.0,242.0,245.0,247.0,248.01857422684,248.0,249.0,248.0,245.0,246.0,246.0,244.031958015943,242.0,242.0,245.0,247.0,248.0,249.0,250.0,250.002255219579,249.0,247.0,245.0,300.0,244.915678178534,246.0,Surface
5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface
5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface
