depth,2014-02-14,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.83260060073684,4.5131718635512,6.24862627753782,6.78573736341789,6.54724206300835,7.24424526114556,7.09376155035871,6.66003187535373,7.3830733231937,7.11444373997315,7.31475279841761,6.92788443872904,7.09002575141521,6.49599166015839,9.72440942340172,7.52,7.59,7.28750377212538,7.49530059025412,6.84811100082217,7.02633266422482,7.20625492290557,6.08759827634833,7.66914764359626,6.62781145980892,7.34092654426114,7.20560153124635,7.29799234185367,7.17954994538022,7.02107138051344,7.1712248698294,7.09935003430199,6.87930459757437,6.79711766343963,6.87750335665278,7.41191251733855,7.09490997765786,7.58687379923184,7.26317354552102,7.29722127837695,7.19453252259861,7.32230536662403,7.3489273304429,7.45758477752235,6.95836502323848,6.98303608064826,6.97849110716759,6.50420760167993,7.48169578445088,7.17854599961697,7.28951745901996,7.51291275015087,7.25273390193053,7.05777372962572,7.54026015184884,7.26731821234484,7.24839831913778,6.60004300967417,6.64030287851747,6.14104597562294,7.327283304,7.04928263809817,7.5318353882622,7.32510647167818,7.22530891712511,7.26210666382061,7.47768929993589,7.21706617796071,6.91495860423802,7.19278941249649
0.1,7.63,7.72,7.42,N/A,N/A,6.98,6.91,7.48,8.15,7.94,8.49,7.83,6.6,0.0,5.91,7.13,7.14,7.21,7.42,7.24,7.7,8.0,8.13,7.4,7.15,7.18,7.42,7.52,8.34,8.27,7.89,8.01,7.57,7.7,7.72,7.29,7.42,7.93,6.96,7.52,7.64,7.28,6.7,8.5,8.03,7.2,6.07,7.53,7.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.4,7.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.0,7.65,7.69,7.38,7.23,7.02,7.2,6.88,7.43,8.11,7.99,7.74,7.81,6.56,0.0,5.82,7.05,7.15,7.23,7.42,7.22,7.85,8.03,8.14,7.4,6.98,7.1,7.2,7.25,8.39,8.24,7.89,8.01,7.56,7.62,7.72,7.27,7.38,7.92,6.53,7.53,7.64,6.99,6.7,8.49,8.19,7.29,6.09,7.49,5.83,5.83663430293823,4.45323512219946,6.24181953856968,6.78548481567888,6.61512197485943,7.24342554951947,7.101764615944,6.66147037982209,7.25016995701438,7.11478696509403,7.60116166466299,6.9253354065595,7.03757302226514,6.45485911508671,7.44,7.54,7.59,7.26448441638252,7.49107940438021,6.84950782818851,7.02741702084412,7.16761019887321,6.05542394687173,7.65637599822544,6.6316789740746,7.34203354114742,7.20594255579129,7.29575108042712,7.17987500892131,7.02100329291455,7.16257139190942,7.09079602618195,6.88139978081445,6.79630769548332,6.87665258716761,7.39894438969049,7.0884319509365,7.574397227811,7.25018308568549,7.28483797824507,7.18972606162474,7.31002092797634,7.31509895632259,7.39841620876626,6.86331203774007,6.95124537200897,6.93818749520245,6.48398027130292,7.47692401602456,7.17302811086753,7.34092697958031,7.41511798387011,7.23548271114407,7.0571560130801,7.50184310858295,7.25335760293267,7.24005455849729,6.58089618794348,6.62853286261598,6.09729517366817,7.326323288,7.04450575275686,7.49243409544703,7.31384359075764,7.19579270358397,7.26500115343757,7.44148712784553,7.22777635373707,6.78994674969277,7.0895876815395
2.0,N/A,N/A,7.35,7.12,7.17,7.22,6.87,7.42,8.1,8.03,8.21,7.81,6.5,0.0,5.8,7.04,7.17,7.25,7.44,7.22,7.84,8.03,8.14,7.42,6.98,7.11,7.28,7.24,8.4,8.28,7.88,7.99,7.54,7.68,7.7,7.28,7.38,7.92,6.51,7.52,7.64,7.04,6.73,8.48,8.22,7.29,6.08,7.48,5.81,5.84152296403158,4.40197900930124,6.23492209643757,6.78486074001781,6.67250568190174,7.24261701994004,7.10772637702268,6.66266175197359,7.1446876768613,7.11462977086141,7.81930326996982,6.92289953606578,6.9948444451428,6.42136796299952,7.37,7.54,7.62,7.24554836144913,7.48691136113055,6.85006600337328,7.0268638282562,7.13410756979273,6.03004607023753,7.64344736367112,6.63341838300435,7.34274907022418,7.20606218523799,7.29334379554016,7.17924848067679,7.01964663702294,7.15248275901468,7.08353448023251,6.88197338830301,6.79223573380841,6.8737647655704,7.38742707634172,7.08186067070932,7.56628627731074,7.23914842730402,7.27292484306052,7.18444616801788,7.29903347367688,7.28369430537676,7.34943572579491,6.78880105528187,6.92657798931234,6.90577533502844,6.46616974594994,7.45302643601014,7.16753465324651,7.38214931382649,7.33659026118008,7.22031128384935,7.05576351607533,7.46760867245018,7.24068556365569,7.23184095213774,6.56131645138428,6.61706169423247,6.06204026529327,7.324101091,7.04032866403612,7.46009969999388,7.30409736346086,7.16948422612306,7.26831129974584,7.41168509089597,7.23917780440563,6.69161147511109,7.00367247659214
2.01,N/A,7.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3.0,7.69,N/A,7.34,7.15,7.14,7.22,6.87,7.43,8.11,8.05,8.25,7.8,6.49,0.0,5.8,7.05,7.19,7.26,7.44,7.21,7.85,8.04,8.14,7.4,6.99,7.12,7.28,7.25,8.39,8.3,7.89,7.99,7.57,7.71,7.7,7.31,7.38,7.92,6.52,7.54,7.62,7.21,6.73,8.47,8.22,7.27,6.08,7.5,5.81,5.8467894055603296,4.3595580348109,6.22797676251693,6.78385559875669,6.71947999501258,7.24182686501592,7.11167424017826,6.66357800322642,7.06465727152387,7.11399914084033,7.9717842281581,6.92057005061585,6.961751635078,6.39489428509848,7.33,7.54,7.69,7.23053718647239,7.48281631938622,6.84975985768205,7.02468140266176,7.10561372105353,6.01079237229114,7.63045643906364,6.63293418466064,7.34304069949196,7.20595741788592,7.29083342262688,7.17765474598363,7.01705408016197,7.14106214840963,7.07750822429154,6.88100446756677,6.78500555170467,6.86890150054648,7.377311320042,7.07526140695418,7.56245973332316,7.23008017808917,7.26152769568766,7.17870414984974,7.2893750575359,7.25491146199812,7.31028073893207,6.73329125889613,6.90900032939627,6.88086815618975,6.45067972624385,7.42899677983957,7.16213384720456,7.41357857521905,7.27622581866806,7.20702332613934,7.05361303490629,7.43777990704456,7.22916886891532,7.22357838140581,6.54142741452085,6.60583510586432,6.03480465386504,7.320639209,7.03659765544489,7.4345157511113,7.29571547844187,7.14624823152239,7.2717266630505,7.38796797224407,7.25139368188074,6.61749913182152,6.93385513516474
3.01,N/A,7.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3.99,N/A,7.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4.0,7.72,N/A,7.32,7.15,7.15,7.23,6.87,7.44,8.12,8.05,8.3,7.81,6.49,0.0,5.8,7.06,7.2,7.25,7.44,7.21,7.87,8.05,8.13,7.37,7.0,7.12,7.29,7.26,8.39,8.29,7.93,8.01,7.58,7.74,7.71,7.3,7.39,7.93,6.54,7.53,7.63,7.24,6.74,8.49,8.24,7.27,6.09,7.51,5.81,5.85193760203722,4.32512895340811,6.22063951050247,6.78243298594905,6.75677429291599,7.24116465715092,7.11394235103252,6.66427807518106,7.00423429273054,7.11311568365849,8.07470865274413,6.91808215165372,6.93611596522152,6.37381769560734,7.28,7.54,7.69,7.21869581929946,7.47879808370287,6.84865749670584,7.02126355463096,7.08157228498783,5.99792112150985,7.61787629604368,6.63055317866208,7.34289725791531,7.205668658136,7.28865137557802,7.17538682369823,7.01355684735978,7.12860609227457,7.07192849466841,6.87869448752802,6.7754730800051,6.86261841624259,7.36835723305916,7.06837067038927,7.56146870799484,7.22235657561367,7.25069388384117,7.17264227485419,7.2809746212537,7.22905350118896,7.27901025002236,6.69217751415015,6.89730585968913,6.8615873445925,6.43727461513052,7.42107692803293,7.15710448686901,7.43769717480169,7.22997159104376,7.19539119251398,7.05087228003541,7.41359616177938,7.21849703695699,7.21499076680571,6.52169298499046,6.59531190366603,6.01344628316217,7.316228068,7.03319431002465,7.4141772704429,7.2882895611894,7.12571385989505,7.27419437926818,7.36894425507754,7.26436816016543,6.5619926446614,6.87650888733389
