,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
0.0,7.83,7.42,,7.02,6.74,7.4,8.03,8.61,7.77,6.42,,6.15,6.63,7.02,7.12,7.37,7.15,7.68,8.01,7.99,7.26,7.47,7.43,7.45,8.09,7.97,7.95,7.94,7.49,7.59,7.65,7.22,7.47,7.93,6.48,7.4,7.65,7.67,7.97,7.93,8.03,6.92,6.03,7.64,4.92,7.1659065335828,5.3001241047731,5.90697940361645,7.2510778600168,6.85754026377613,7.32856479041897,7.26097197549311,6.65010597512084,7.10586719111363,7.2340292818871,5.796999143,7.22,7.45,7.38,7.64281488967436,7.05351104991903,6.83801403257135,7.22296189175567,7.14738013844294,6.34,7.52097305448624,6.54399555,7.0485234447866,7.2578047626885,7.159940737,6.922328841,6.440212813,6.55432528907402,7.52017402007873,7.33051576850727,7.41447577905212,7.23531704609372,7.329404746,7.441442106,7.51510254264902,7.35132954929995,7.34721262239998,6.82466201386772,7.09770466573517,7.01106084853166,6.60772176464387,7.8408384382122,7.14325751094215,7.4188246548827,7.41129478998604,7.50263432735654,7.0851812791349,7.54918916490826,7.08979908753817,7.33821961897108,6.62256508395192,6.59213083735887,5.93975066811377,7.52219171065106,7.16416162294999,7.23725385114681,7.36639629002916,7.19441225405461,7.39253407249572,7.54959110237227,7.05193590058171,6.93633679358598,7.34040060049803
1.0,7.9,7.37,6.94,6.74,6.75,7.41,8.13,8.6,7.49,6.38,,7.2,6.67,7.0,1.21,7.4,7.21,7.68,8.1,8.0,7.25,7.25,7.3,7.35,8.14,8.18,7.94,7.93,7.48,7.61,7.72,7.2,7.45,7.9,6.37,7.39,7.56,7.75,8.0,8.45,8.06,7.26,6.01,7.7,4.67,7.19417990224599,4.95651502760777,5.92848958349927,7.28670655238297,6.84756276184572,7.34684959069206,7.21281845185642,6.64406529812336,7.02770085338753,7.23252067376544,5.796999143,7.16,7.42,7.42,7.64075639936053,7.0745098719957,6.83801407272584,7.22245236604439,7.17041467885974,6.34,7.54675252979633,6.54399555,7.04852875513593,7.26593638130062,7.159940737,6.922328841,6.440212813,6.53494660730666,7.51481159006968,7.37679943714759,7.42293891715522,7.25817366028163,7.32940474600001,7.44144210600001,7.49347730348013,7.3505051756828,7.34843268398973,6.76476556028043,6.98955508000717,6.88161733770882,6.58867153340119,7.6657868648209,7.0389125011746,7.36790627916647,7.34751770170246,7.37744053332062,7.07667888439908,7.55299216149469,7.12715323577657,7.33438128740939,6.45129490117006,6.48683405755443,5.84168950994823,7.4612882143828,7.13090069625988,7.25104948562565,7.39679179628801,7.19304580165045,7.52599642358347,7.58755606839919,7.0592620888831,6.67427344028186,6.77171951699707
2.0,7.9,7.35,6.94,7.03,6.75,7.42,8.14,8.7,7.58,6.4,,6.6,6.66,7.16,7.4,7.4,7.32,7.71,8.11,8.06,7.23,7.23,7.3,7.41,8.15,8.22,7.99,8.0,7.49,7.65,7.73,7.23,7.55,7.93,6.37,7.41,7.58,7.76,8.0,8.45,8.1,7.29,6.01,7.68,4.5,7.18740017446434,4.64066402179544,5.94825601332051,7.18023248434817,6.83959906071792,7.36141767272562,7.11832643816158,6.63509695042618,6.97961827688102,7.23523606356586,5.796999143,7.14,7.36,7.52,7.64020541493704,7.07932920700942,6.83801655397794,7.22245102052008,7.19452936513138,6.34,7.57055699496736,6.54399555,7.04856705469147,7.27126271019426,7.159940737,6.922328841,6.440212813,6.51546347066252,7.51909181217252,7.38869735702891,7.44598748281782,7.27492886446676,7.329404746,7.441442106,7.48057800006497,7.35189987374424,7.34772906217338,6.74202906190486,6.94804555208362,6.81818128277038,6.56828263177865,7.60263928382855,7.01840075524511,7.36740852066324,7.32747352389312,7.30685725297429,7.08053058350453,7.56405867313819,7.18276072521527,7.34915545091885,6.38765170991348,6.44266788373025,5.74613466194392,7.44749891119088,7.12268916514767,7.30018754398822,7.43610277391014,7.18810715791792,7.57686960266962,7.61712299616153,7.06666036699603,6.59404861283028,6.5319354372556
3.0,7.91,7.33,6.95,7.08,6.75,7.41,8.23,8.72,7.76,6.41,,6.64,6.62,7.26,7.39,7.41,7.34,7.77,8.11,8.09,7.2,7.22,7.3,7.43,8.16,8.32,8.02,8.02,7.49,7.74,7.75,7.22,7.54,7.94,6.36,7.4,7.59,7.8,8.02,8.53,8.12,7.31,6.06,7.68,4.5,7.14564161937437,4.35250987551616,5.94581545972172,6.89899841778351,6.83489177819043,7.36938102703141,7.02765791765801,6.62567660113789,6.98413094367676,7.24480299639091,5.796999143,7.17,7.3,7.6,7.64282332120008,7.0639729663626,6.8382437904035,7.22421644766626,7.2156218324677,6.34000881742295,7.58729475548951,6.54408032972769,7.04892112045766,7.26937464568374,7.15996536687465,6.9223702822925,6.44020861414173,6.49773250778114,7.53096112267263,7.36245204507639,7.48583770907984,7.28292049350846,7.32952426306106,7.441442106,7.48073966133554,7.35751003204899,7.34335217991139,6.75259191908489,6.94623553002053,6.82403304603213,6.54674325755178,7.56535280805851,7.0626602052632,7.42028240991539,7.33827163128822,7.29654912926842,7.09780693669427,7.54247106446843,7.22077038223133,7.38071483687127,6.3652134770429,6.45342895362597,5.70699743723925,7.48069822140525,7.12955200647872,7.43988627485789,7.47734289940394,7.17976155187008,7.57155587882463,7.63494845054257,7.07397090122692,6.64397588937382,6.51603595745805
4.0,7.94,7.32,6.96,7.11,6.79,7.45,8.27,8.76,7.88,6.4,,6.68,6.51,7.26,7.4,7.42,7.31,7.82,8.19,8.13,7.19,7.22,7.29,7.44,8.16,8.39,8.03,8.01,7.5,7.77,7.76,7.25,7.53,7.92,6.35,7.43,7.61,7.84,8.13,8.58,8.12,7.37,6.09,7.72,4.48,7.07050277832791,4.09190426196961,5.80586620590617,6.51160673198149,6.8351015058986,7.3668682090013,6.99768507610435,6.61730675659092,6.99458754850469,7.25520137852936,5.796999143,6.94,7.04,7.65,7.65764804596838,7.0366874409568,6.83820663596906,7.2296989548865,7.22264102914336,6.34061049277398,7.59602268441008,6.54755095859352,7.04769707682225,7.26413853494507,7.16212555953021,6.92312021194437,6.4402333345338,6.48450449447151,7.55221283023022,7.28914553141542,7.52872121002694,7.2797384845825,7.33048521980774,7.44146103489091,7.48331282947725,7.36052705237239,7.33436394272957,6.77523461725409,6.93040640613138,6.84038418048669,6.52764211923741,7.52971028888885,7.08985800936886,7.46558906216542,7.34429338234634,7.31172201567948,7.12189848109986,7.52715124853151,7.21325815556942,7.40216575386535,6.3487034493667,6.46806931641539,5.71542745006467,7.50613507829786,7.12318756677426,7.64664721359732,7.51621737572757,7.17064245245409,7.55673843454434,7.64172162148271,7.0767122807761,6.64592668175968,6.51741675698128
5.0,8.01,7.3,7.04,7.13,6.81,7.47,8.29,8.77,7.89,6.41,,6.7,6.51,7.23,7.4,7.42,7.33,7.84,8.27,8.14,7.11,7.23,7.29,7.45,8.18,8.41,8.04,8.16,7.51,7.8,7.78,7.26,7.56,7.92,6.36,7.48,7.59,7.84,8.14,8.6,8.12,7.38,6.12,7.77,4.49,6.96165788786379,3.85899879811125,5.38801601288082,6.12427440655872,6.83749606428732,7.35905606696849,6.97795656322172,6.60566883325902,7.00164624484848,7.25505940050019,5.796999143,6.68,6.87,7.64,7.67697047929923,7.00583617293649,6.83251413821239,7.24664816955288,7.21527661613516,6.33804510410379,7.58679920627286,6.541395581472,7.04220526958523,7.24848496903399,7.16534024919009,6.92025926404976,6.44106200884584,6.47586770375123,7.58811116480553,7.21107282133615,7.56460059810523,7.27258342160755,7.32970717121309,7.44230268161197,7.50134968654005,7.33762892056416,7.32646833698148,6.78921899900186,6.92732137552187,6.80748403092013,6.51483594169934,7.49393699061833,7.10208322525237,7.48373622734944,7.34164187423594,7.3268768960603,7.14139392572311,7.60178138883722,7.19879946455322,7.40352578123682,6.3378716957345,6.4770708420823,5.7184091358646,7.51306930758605,7.11581059954416,7.78061025809701,7.5654917798151,7.17304131043424,7.5270368329286,7.64028035643318,7.07010949046206,6.61891658665936,6.51468295830666
6.0,8.18,7.29,7.05,7.14,6.79,7.51,8.29,8.89,7.87,6.39,,6.71,6.54,7.22,7.38,7.42,7.35,7.85,8.29,8.16,7.06,7.23,7.31,7.48,8.2,8.42,8.05,8.16,7.5,7.82,7.78,7.26,7.56,7.92,6.43,7.47,7.59,7.85,8.17,8.63,8.13,7.39,6.13,7.83,4.49,6.78733664759907,3.6560805903799,4.86657168017223,5.8081355460708,6.83823726060516,7.34149717685909,6.95691678941466,6.59054917482391,7.00698507261878,7.24675577578145,5.796999143,6.66,6.79,7.61,7.68434709652507,6.99396768103063,6.82830493073139,7.27420364278837,7.20728603413937,6.33148152730424,7.55951886110098,6.49264317627952,7.03218096241182,7.20916682353492,7.12800553359022,6.90939307400389,6.44021689102017,6.47074511002609,7.56248744890085,7.16149558608601,7.58525636368368,7.28332376272751,7.3157292791931,7.43969633784808,7.52644628436183,7.29818883507886,7.31386931557287,6.79054084788876,6.9371697686975,6.70390806644732,6.49873450242132,7.45478665137781,7.11829939354107,7.49770126027004,7.32989328062314,7.32453024689594,7.15134813852363,7.72507852653665,7.19695188192751,7.36519114391681,6.33409031755495,6.47659349087309,5.71149165396637,7.51678314563121,7.11781239427212,7.83334614207062,7.60405499096227,7.19562481639362,7.4373138100623,7.63414381756222,7.04978909554326,6.58181056887922,6.5130299961227
7.0,8.12,7.285,7.04,7.15,6.78,7.55,8.29,8.98,7.79,6.38,,6.72,6.57,7.2,7.38,7.42,7.35,7.87,8.3,8.18,7.01,7.25,7.32,7.46,8.22,8.43,8.05,8.15,7.55,7.84,7.8,7.27,7.57,7.93,6.44,7.39,7.62,7.85,8.2,8.67,8.15,7.41,6.13,7.81,4.65,6.55916436975803,3.48324462341775,4.46187606403147,5.59865641578722,6.83901097186319,7.28769956621118,6.94047343596694,6.58967977279423,7.0076838166741,7.2326449485364,5.796999143,6.64,6.75,7.56,7.68387233951174,7.00669828325619,6.82584723778647,7.28620623745445,7.21187578923571,6.32953700725305,7.51438196287105,6.44031252744011,7.02015578660683,7.16242708073369,6.97145763370439,6.89633625507234,6.43038727897431,6.46306092142703,7.41801476458271,7.13241922270719,7.56453992270182,7.2781387824434,7.28098297158443,7.42541804587034,7.52078859727781,7.26673251839214,7.29948492906982,6.79326042997714,6.94372838553665,6.56105435542894,6.48197766112934,7.37196347766639,7.14050232527329,7.50316675768017,7.25206329986572,7.32311730761479,7.15417960466233,7.78498897592071,7.16329020115188,7.22500945600108,6.33713250215531,6.46787751942878,5.69903915329014,7.51705034906125,7.11548787938978,7.8942110911324,7.59573815457426,7.22095263836897,7.38844003112284,7.61333371481345,7.0174578168912,6.54782381095327,6.50375388871514
8.0,7.76,7.27,7.05,7.15,6.72,7.54,8.29,8.98,7.51,6.39,,6.72,6.6,7.2,7.38,7.44,7.36,7.89,8.24,8.21,6.95,7.25,7.33,7.43,8.26,8.44,8.05,8.17,7.55,7.84,7.83,7.27,7.57,7.95,6.45,7.36,7.61,7.92,8.15,8.79,8.16,7.43,6.13,7.8,4.66,6.27664110019049,3.33566722733581,4.15636960468908,5.39274434275307,6.84243786202991,7.23527750937843,6.93382080533481,6.5993273918676,6.99916504950503,7.21674547832259,5.796999143,6.61,6.73,7.49,7.68120037205809,7.03066551528357,6.81801524160307,7.27206525989592,7.2131331870291,6.33053413935585,7.43930853693681,6.4164510884678,7.01057792032328,7.12848232281836,6.76663025912111,6.8737637836801,6.39762245125719,6.45141600614314,7.26375715874003,7.11055654215894,7.51029126330362,7.22399921200178,7.24188947740513,7.40192531696997,7.48800644654291,7.26896667939985,7.30681962470852,6.80053007263131,6.94213849592262,6.43134527921269,6.46663884712501,7.25076987771365,7.16075296809472,7.49660480113029,7.05527882806356,7.33470304021901,7.153619167846,7.7467569838631,7.06116435708284,7.02909350020814,6.33727648167246,6.45158909130596,5.68457371100456,7.50365599170158,7.10648071128878,7.95160783858578,7.55522155889225,7.22388714379466,7.32031254437282,7.58655379958611,6.97942948541896,6.52245600163463,6.4849878380041
9.0,7.67,7.29,7.07,7.15,6.66,7.53,8.31,8.95,7.41,6.38,,6.72,6.6,7.21,7.4,7.44,7.34,7.9,8.16,8.21,6.88,7.25,7.34,7.4,8.24,8.51,8.07,8.17,7.54,7.83,7.85,7.26,7.58,7.96,6.44,7.23,7.61,7.95,8.13,8.75,8.17,7.42,6.13,7.73,4.66,5.97964382676467,3.21417722341524,4.02029717942476,5.23428771170008,6.84903893300741,7.25448112850089,6.92970383896136,6.58551052871294,6.98201353005048,7.2058202127931,5.79699630713986,6.61,6.73,7.02,7.68324804548047,7.05977678548712,6.80663039695322,7.25496345319292,7.21060404256428,6.32826384277479,7.36142388896827,6.38950149000152,7.00411648403388,7.09206214503084,6.711145671711,6.83808525033118,6.35131599988212,6.44129466970308,7.2200306762173,7.08625940026738,7.44230186304335,7.16376848618905,7.20660085202028,7.37307375437831,7.44698695246171,7.31580870730852,7.32840450661402,6.80119796363383,6.93712515990346,6.33045434800316,6.44256692238352,7.16108955454767,7.17669396429539,7.49003352192391,6.89500733029689,7.35082046050539,7.15171544479619,7.66632196091838,6.94133357017359,6.91588556705425,6.33012766313529,6.43525299766356,5.66861609051038,7.48378941550644,7.10602747827999,7.96377235812583,7.52743594748896,7.2033067821995,7.18262432463794,7.58384219844255,6.94000678954685,6.49855221826026,6.46370339838159
