depth,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,depth_group
0.0,303.0,305.0,320.0,318.0,245.0,246.001277111254,246.0,245.0,208.781007812473,246.0,242.0,242.0,230.953508442268,233.964568206508,241.973412869144,243.972411478065,241.300896601751,248.029838739003,247.0,247.0,246.0,243.0,244.0,242.0,242.027853565201,242.0,244.0,246.497146679673,242.69696217767,134.311878481579,250.004926436461,248.0,242.971372319222,246.001207654546,244.959802655814,244.0,242.04842646047,241.0,244.0,247.0,248.0,249.021144160204,249.0,246.952902148698,249.0,146.135480754243,124.212288890782,300.0,244.0,102.339415750169,Surface
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface
1.0,303.0,305.0,320.0,318.0,245.0,246.013005351396,246.0,245.0,242.910650226556,246.0,242.0,242.0,231.04024665521,233.909903216909,242.066967275613,244.368658532226,243.381686269704,247.689243606237,247.0,247.0,246.0,243.0,244.0,242.0,242.068409048456,242.0,244.0,246.012274985677,243.739106085587,249.280136259824,250.036924710217,248.0,242.834031734553,246.037035887739,245.075752163118,244.0,242.011449181193,241.0,244.0,247.0,248.0,249.083556950529,249.0,247.062069874905,249.0,252.755546735536,244.639167146323,300.0,244.0,235.624599086194,Surface
2.0,303.0,304.0,320.0,318.0,245.0,246.044603699179,246.0,245.0,246.624157725427,246.0,242.0,242.0,231.646467016964,234.276926951821,242.389798708126,244.982232066204,243.994930774692,247.101951811287,247.0,247.0,246.0,243.0,244.0,242.0,241.77592282161,242.0,244.0,245.990836191678,244.235885545885,249.250291651577,250.025283479382,248.0,246.170602007295,246.059420908014,245.612546276848,244.0,241.470594065874,241.002093073674,244.0,247.0,248.0,248.901430939755,249.0,247.589878306074,249.0,247.257429510509,251.673418590807,300.0,244.0,248.981121322957,Surface
3.0,303.0,304.0,320.0,318.0,245.0,245.54977777456,246.022214764222,245.0,244.999889186035,246.0,242.0,242.0,232.294980685504,235.729331367878,242.219869590752,245.001490331667,244.018328921134,246.965567583877,247.0,247.0,246.0,243.0,244.0,242.0,241.174588727956,242.009035253976,244.0,246.0,244.854046487067,248.01455264292,249.697461795388,248.0,246.009996947665,245.746487318363,246.071144287181,244.030494295038,240.945347958669,241.023796596859,244.0,247.00446126538,248.0,248.314370531422,249.0,248.320989872121,249.0,247.008805931855,246.0,300.0,244.0,245.0,Surface
4.0,303.0,304.0,320.0,318.0,245.0,244.963918195223,246.024695773185,245.0,245.0,246.0,242.0,242.0,233.241682803112,237.496672888066,242.235576226133,245.0,244.0,247.0,247.0,247.028077168069,246.0,243.0,244.0,242.0,240.963827889982,242.020946258134,244.0,246.0,245.472938212657,247.952569626902,249.141143738104,248.0,246.0,245.14103816889,245.623726091194,243.835265071351,240.99571613108,240.59099925826,244.0,247.04519274979,248.0,247.968450006655,249.0,248.928183704699,249.0,246.344429613442,246.0,300.0,244.0,245.0,Surface
5.0,303.0,304.0,320.0,318.0,245.0,245.0,245.823342540233,245.0,245.0,246.0,242.0,242.0,233.982976075952,238.190979965788,242.893357007966,245.0,243.998130053446,247.0,247.0,246.984961879222,246.0,243.0,244.0,242.0,241.0,241.681305940209,244.0,246.0,246.396058210955,247.423815299428,248.953110895796,248.0,246.0,244.931188070567,245.041261007864,243.208368730392,241.0,240.024318021427,244.0,246.825502944353,248.0,247.993837419256,249.0,249.049153902518,249.010082130162,245.945838577662,246.0,300.0,244.0,245.0,Surface
6.0,303.0,304.0,320.0,318.0,245.0,245.0,245.343313900827,245.0,245.0,246.0,241.994403919907,242.0,234.67487504312,238.756662269742,243.039214793498,245.0,243.944437092831,247.0,247.0,246.448248808948,246.0,243.0,244.0,242.0,241.0,241.152422445182,244.0,246.0,246.99415655428,246.979943322383,248.997327359691,248.0,246.0,244.94484151196,244.988748237222,242.94949631624,241.0,239.957223260407,244.0,246.260178352669,248.0,248.0,249.0,249.0,249.003570171814,246.0,246.0,300.0,244.0,245.0,Surface
7.0,303.0,304.0,320.0,318.0,245.0,245.0,244.974802803993,245.0,245.0,246.0,241.960837979914,242.0,235.10193382333,239.020505607581,243.0,245.0,244.291460204497,247.0,247.0,245.982568960976,246.0,243.0,244.0,242.0,241.0,240.960486126806,244.0,246.0,247.010854964278,246.989979835516,249.0,248.0,246.0,245.280186538043,245.0,242.998814005443,241.0,240.466424352957,244.0,245.963626629422,248.0,248.0,249.0,249.0,248.495632004826,246.0,246.0,300.0,244.0,245.0,Surface
7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface
