location,depth_group,14/02/2014,18/02/2014,19/02/2014,26/02/2014,26/03/2014,22/04/2014,23/04/2014,27/04/2014,19/05/2014,24/06/2014,25/06/2014,22/07/2014,23/07/2014,12/08/2014,13/08/2014,08/09/2014,09/09/2014,25/09/2014,07/10/2014,08/10/2014,11/11/2014,12/11/2014,08/12/2014,09/12/2014,13/01/2015,14/01/2015,10/02/2015,11/02/2015,10/03/2015,11/03/2015,14/04/2015,05/05/2015,09/06/2015,14/07/2015,15/07/2015,10/08/2015,11/08/2015,09/09/2015,06/10/2015,07/10/2015,11/11/2015,12/11/2015,08/12/2015,19/01/2016,20/01/2016,16/02/2016,17/02/2016,01/03/2016,08/03/2016,09/03/2016,12/04/2016,13/04/2016,17/05/2016,18/05/2016,14/06/2016,15/06/2016,12/07/2016,13/07/2016,09/08/2016,10/08/2016,06/09/2016,07/09/2016,11/10/2016,12/10/2016,08/11/2016,09/11/2016,05/12/2016,07/02/2017,08/02/2017,13/03/2017,14/03/2017,18/04/2017,19/04/2017,16/05/2017,17/05/2017,13/06/2017,21/06/2017,11/07/2017,12/07/2017,08/08/2017,09/08/2017,12/09/2017,13/09/2017,12/10/2017,13/10/2017,07/11/2017,08/11/2017,13/12/2017,14/12/2017,11/01/2018,07/02/2018,28/02/2018,13/03/2018,15/03/2018,10/04/2018,12/04/2018,15/05/2018,16/05/2018,12/06/2018,13/06/2018,17/07/2018,18/07/2018,14/08/2018,16/08/2018,11/09/2018,12/09/2018,24/09/2018,10/10/2018,14/11/2018,12/12/2018,12/02/2019,12/03/2019,09/04/2019,14/05/2019,12/06/2019,12/07/2019,13/08/2019,10/09/2019,23/01/2020,11/02/2020,10/03/2020,14/04/2020,12/05/2020,09/06/2020,14/07/2020,11/08/2020,08/09/2020,13/10/2020,10/11/2020,08/12/2020,19/01/2021,16/02/2021,16/03/2021,13/04/2021,11/05/2021,08/06/2021,13/07/2021,10/08/2021,07/09/2021,12/10/2021,09/11/2021,07/12/2021,18/01/2022,08/02/2022,08/03/2022,05/04/2022,10/05/2022,14/06/2022,12/07/2022,09/08/2022,06/09/2022,18/10/2022,08/11/2022,06/12/2022,17/01/2023,14/02/2023,14/03/2023,11/04/2023,09/05/2023,13/06/2023,18/07/2023,16/08/2023,05/09/2023,18/10/2023,14/11/2023,05/12/2023
SA,Surface,1.47568743,1.463503876,1.460150376,1.432249322,1,2.2,2.11792632,2.005914468,1.7841813,1.703334232,1.702336969,1.567861745,1.563932674,1.497876002,1.495259449,1.460983607,1.461513795,1.510498971,1.7,1.646698113,0.6,0.670566365,1.036129032,1.042574257,1.180347795,1.182847003,1.236374838,1.237961718,1.27392134,1.275044189,1.307106433,1.322445582,1.342994724,1.359122679,1.359533188,1.369402174,1.369753306,1.379155029,1.386740275,1.387002578,1.395462534,1.395685347,1.401157683,1.408864985,1.409033683,1.41336113,1.413513424,1.415445097,1.416449545,1.416591073,1.427395717,1.4281241,1.453252834,1.454002985,1.474509811,1.475278918,1.85281018,1.854176894,1.890508787,1.891833619,2.400413157,2.400413203,2.400413356,2.400413313,2.40041087,2.400410727,2.400405409,2.400373627,2.400372836,2.400339398,2.400338129,2.400281064,2.400279011,2.400211903,2.400208924,2.400111248,2.400074683,2.399963171,2.399956719,2.399741321,2.399731544,2.399287279,2.399270073,2.398611737,2.398582135,2.397611411,2.397560976,2.394778661,2.394656489,2.389178194,2.374273859,2.332,2.2,2.257496136,2.8,2.70632506,2.2,2.139965695,0.8,1,3.1,2.989536878,3.1,2.842433234,0.3,0.557202505,1.168,1.518826406,2,0,2.2,2.5,2.5,4.2,2.5,3.4,3.9,0.8,3.139069675,3.4,3.397771802,3.424144194,3.6,3.1,4.2,2.2,2.8,3.1,3.1,2.2,2.3,1.7,2,1.7,2.1,2.5,2,3.4,2.5,2.2,2,1.1,0.6,3.1,1.4,2.2,2,1.4,2.8,2.8,2.3,3.4,3.9,2.2,2.5,1.7,4.1,0.6,3.1,2.8,2.453661875,2.37262853,2.339565861,2.295501341,2.277804319,2.267094554
SA,Mid-Depth,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
SA,Lower Photic,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
SA,Deep,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
WG,Surface,0.781427343,0.673821388,0.6,0.866211021,1,2.348201439,2.5,2.26196319,1.90730276,1.769148936,1.7,2.214209115,2.2,2.685754584,2.8,1.799895068,1.7,2.096878901,2.212614108,2.2,2.962467192,3.1,1.693944637,1.6,1.516831683,1.5,1.693305439,1.7,1.911971831,1.8,4.2,2.631683168,0.6,2.465060241,2.512043873,4.469387755,4.8,0.8,1.642809365,1.7,1.661971831,1.7,1.1,0.837229709,0.8,1.45454075,1.475372849,1.939666744,2.085446596,2.105970149,3.036680721,3.1,2.103389831,2,2.70292887,2.8,2.132217573,2,3.290322581,3.4,2.836653386,2.829076429,2.646044625,2.641490588,2.510952085,2.5,2.580259484,2.686512828,2.68849634,2.687278107,2.689212167,2.811857708,2.818276816,3.292465753,3.4,2.314537445,2,2.200819672,2.2,2.533790738,2.5,3.454545455,3.6,2.093723849,2,1.972043011,2,1.448434926,1.4,1.660024907,1.931492012,2.126415094,2.213420929,2.279066575,2.445665806,2.5,2.186062718,2.2,1.822984563,1.7,3.491700904,3.6,3.301775148,3.4,2.020779221,2,1.778606615,0.8,2.5,2.2,2.1,3.1,3.1,2.8,2.8,3.9,3.9,0.8,2,2.8,2.5,2.8,3.1,2,2.5,2,1.1,2,2.1,2.2,2.5,0.6,1.4,1.4,1.6,3.4,2.5,1.1,1.4,2,1.4,2.8,1.1,2.2,0.6,2.5,3.6,1.1,2,3.1,1.1,3.4,2.8,2.2,2,2.2,0.3,0.3,1.4,3.1,2.094934976,1.928964518,1.86798224,1.792121133,1.763261991,1.74621651
WG,Mid-Depth,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
WG,Lower Photic,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
WG,Deep,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
WP,Surface,1.162635929,1.036427338,1,0.6,2.038156359,3.1,3.017776038,2.895091456,2.886030792,3.1,2.998541535,2.081081081,2,2.2,2.222543353,2.8,2.745454545,2.564640884,2.5,2.491783073,2,1.964862467,1.1,1.1793361,1.612780083,1.6,2.2,2.144924406,1.9,2.019491525,3.9,2.503660322,0.6,1.625084746,1.643834732,2,2.046178344,2.5,2.5,2.485560166,2.201715266,2.2,2,2,1.923255814,0.8,1.032786885,2.093056808,2.8,2.608879493,2.11,2,3.4,3.400704225,4.5,4.347698745,3.1,3.127530364,2.329315068,2.2,2.564499368,2.5696,2.695749569,2.698962399,2.792117792,2.8,2.74181462,3.660599294,3.667629567,3.954015817,3.956306892,4.101450407,4.109090909,4.8,4.65483871,3.4,3.526789838,3.1,3.117573222,3.1,3.028813559,1.7,1.797266881,2.2,2.17257384,2.2,2.130985915,0.8,0.908345979,1.352950076,1.573315364,1.774,1.7,1.735394127,2.2,2.09959968,1.4,1.457461407,1.7,1.722881356,2.5,2.480617496,2.8,2.803560831,3.1,3.063048017,2.956521739,3.021866522,2.901369863,3.1,2,0.3,3.4,4.2,2.5,3.6,3.6,1.4,1.7,3.1,2.8,2.645529989,2.712727273,2.461818182,2.335525353,2.2,2.5,2.5,2.5,2.8,3.4,1.7,2.2,2.8,3,3.4,2.5,3.6,3.4,3.9,1.7,3.6,1.1,2.8,2,3.9,2.2,2.8,3.1,3.6,3.9,4.5,3.6,1.7,2.5,2.8,3.6,3.238461538,3.1,5.1,4.296159802,4.168548387,4.122904062,4.067290438,4.046509797,4.034339515
WP,Mid-Depth,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
