location,date,depth_group,mean_chlorophyll_a,std_chlorophyll_a,measurement_count
SA,2014-02-18,Surface,3.2544075661787337,1.286137985602841,10
SA,2014-02-18,Mid-Depth,4.886576399017274,0.9736879162903664,10
SA,2014-02-18,Lower Photic,3.507490110101724,0.298005612513054,10
SA,2014-02-18,Deep,3.158719954306929,0.2879540410531884,22
SA,2014-03-26,Surface,0.5750857142857143,0.3017829647662858,10
SA,2014-03-26,Mid-Depth,3.129142857142857,1.024210862643266,10
SA,2014-03-26,Lower Photic,2.6554043834081824,1.369699490969858,10
SA,2014-03-26,Deep,0.8387350037130111,0.1928363153800265,22
SA,2014-04-22,Surface,1.34,0.2117650689902478,10
SA,2014-04-22,Mid-Depth,1.855,0.2731808517773121,10
SA,2014-04-22,Lower Photic,2.182,0.4652550077347069,10
SA,2014-04-22,Deep,0.5917575158163477,0.3595067895427505,22
SA,2014-05-19,Surface,1.0155,0.4288644567019073,10
SA,2014-05-19,Mid-Depth,1.433,0.2146858169511903,10
SA,2014-05-19,Lower Photic,1.073,0.2543859709618874,10
SA,2014-05-19,Deep,0.4975757575757576,0.1448121637520922,22
SA,2014-06-24,Surface,1.371,0.5854238730280061,10
SA,2014-06-24,Mid-Depth,1.363,0.3364207022299444,10
SA,2014-06-24,Lower Photic,1.326,0.3183359511236168,10
SA,2014-06-24,Deep,0.4631818181818181,0.2197268079453896,22
SA,2014-07-22,Surface,0.6140000000000001,0.127558265553868,10
SA,2014-07-22,Mid-Depth,1.215,0.2094039159137192,10
SA,2014-07-22,Lower Photic,1.209,0.3149056296028312,10
SA,2014-07-22,Deep,0.4874999999999999,0.1889176565395118,22
SA,2014-08-12,Surface,1.048,0.2284634665664415,10
SA,2014-08-12,Mid-Depth,1.393,0.031640339933558,10
SA,2014-08-12,Lower Photic,1.438,0.0103279555898864,10
SA,2014-08-12,Deep,0.6010520953957537,0.2669420435013921,22
SA,2014-09-08,Surface,1.311,0.586883482662634,10
SA,2014-09-08,Mid-Depth,1.6329999999999998,0.355373043434642,10
SA,2014-09-08,Lower Photic,1.012,0.2892442259099085,10
SA,2014-09-08,Deep,0.5309848484848486,0.1879101574495835,22
SA,2014-10-07,Surface,2.416,0.8456465128476307,10
SA,2014-10-07,Mid-Depth,3.455,0.1967090349842743,10
SA,2014-10-07,Lower Photic,1.847,0.8633050188407083,10
SA,2014-10-07,Deep,0.4542977025062711,0.1645937044811566,22
SA,2014-11-11,Surface,3.05,1.1565252341751782,10
SA,2014-11-11,Mid-Depth,3.532,0.4320442364182423,10
SA,2014-11-11,Lower Photic,2.274,0.3777607839315023,10
SA,2014-11-11,Deep,1.5454633273469782,0.8833898998551732,22
SA,2014-12-08,Surface,2.8155,0.9843453831523432,10
SA,2014-12-08,Mid-Depth,3.351,0.1239578781504247,10
SA,2014-12-08,Lower Photic,3.567,0.1498925541105286,10
SA,2014-12-08,Deep,3.967727272727273,0.1394865352157459,22
SA,2015-01-13,Surface,3.1979999999999995,1.0224132671717874,10
SA,2015-01-13,Mid-Depth,4.276000000000001,0.1237560324006695,10
SA,2015-01-13,Lower Photic,4.405,0.2507433393377026,10
SA,2015-01-13,Deep,4.475227272727272,0.1294905518958932,22
SA,2015-02-10,Surface,3.136,1.1632827114105435,10
SA,2015-02-10,Mid-Depth,2.059,0.7280483805657729,10
SA,2015-02-10,Lower Photic,1.593,0.0699285349481883,10
SA,2015-02-10,Deep,1.8758333333333328,0.3998113807930437,22
SA,2015-03-10,Surface,2.96,1.4864424345096956,10
SA,2015-03-10,Mid-Depth,4.984,0.0757481206220839,10
SA,2015-03-10,Lower Photic,4.583,0.1094481104856949,10
SA,2015-03-10,Deep,5.040530303030303,0.3268291571751181,22
SA,2015-04-14,Surface,0.776,0.2179296522580929,10
SA,2015-04-14,Mid-Depth,1.168,0.0301109061083632,10
SA,2015-04-14,Lower Photic,1.0720000000000005,0.0500666222813829,10
SA,2015-04-14,Deep,0.5587878787878787,0.1930965859001435,22
SA,2015-06-09,Surface,0.711,0.1240474819485578,10
SA,2015-06-09,Mid-Depth,0.929,0.0172884033065198,10
SA,2015-06-09,Lower Photic,0.937,0.0429599296502631,10
SA,2015-06-09,Deep,0.5393939393939392,0.1928116562252779,22
SA,2015-07-14,Surface,1.2520000000000002,0.4534999693740036,10
SA,2015-07-14,Mid-Depth,1.988,0.2116496056116229,10
SA,2015-07-14,Lower Photic,1.437,0.0727323861838727,10
SA,2015-07-14,Deep,0.7236363636363637,0.3400091954730828,22
SA,2015-08-10,Surface,1.357,0.4795611419713745,10
SA,2015-08-10,Mid-Depth,1.645,0.1125709652717885,10
SA,2015-08-10,Lower Photic,1.19,0.0915302014516398,10
SA,2015-08-10,Deep,0.730378787878788,0.22953710713038,22
SA,2015-09-09,Surface,1.594,0.6136267414135222,10
SA,2015-09-09,Mid-Depth,2.521,0.2384882946114267,10
SA,2015-09-09,Lower Photic,2.26,0.6739930761266518,10
SA,2015-09-09,Deep,0.6046969696969697,0.2204220556928971,22
SA,2015-10-06,Surface,1.836,0.743059740382816,10
SA,2015-10-06,Mid-Depth,2.045,0.4770336582581057,10
SA,2015-10-06,Lower Photic,1.287,0.4131733561378592,10
SA,2015-10-06,Deep,0.4741666666666667,0.1507913429230242,22
SA,2015-11-11,Surface,2.4915392856423737,0.5781790373651308,10
SA,2015-11-11,Mid-Depth,3.0906202603698234,0.1878372813417459,10
SA,2015-11-11,Lower Photic,2.576048265567105,0.3066050959381208,10
SA,2015-11-11,Deep,1.4276198709673351,0.3450553924401789,22
SA,2016-01-19,Surface,1.8560000000000003,0.3619760581401299,10
SA,2016-01-19,Mid-Depth,2.124,0.1380177122288617,10
SA,2016-01-19,Lower Photic,2.3470000000000004,0.1170991982134046,10
SA,2016-01-19,Deep,1.6234848484848483,0.4443861794420214,22
SA,2016-02-16,Surface,3.079947655254644,0.7343813625995163,10
SA,2016-02-16,Mid-Depth,2.7880000000000003,0.3398954087493517,10
SA,2016-02-16,Lower Photic,2.4855,0.1032498169071404,10
SA,2016-02-16,Deep,2.308181818181818,0.068758662928781,22
SA,2016-03-01,Surface,3.553,0.9625088744179628,10
SA,2016-03-01,Mid-Depth,3.173,0.7173845672189711,10
SA,2016-03-01,Lower Photic,1.972,0.0484882574559151,10
SA,2016-03-01,Deep,1.4427272727272726,0.2764966705955224,22
SA,2016-04-12,Surface,1.759,0.583884501516448,10
SA,2016-04-12,Mid-Depth,2.3070000000000004,0.2593603242166731,10
SA,2016-04-12,Lower Photic,1.235,0.7550312723471936,10
SA,2016-04-12,Deep,0.3359090909090909,0.0502999660048252,22
SA,2016-05-17,Surface,0.7969999999999999,0.1957918395757199,10
SA,2016-05-17,Mid-Depth,1.243,0.0743938468184328,10
SA,2016-05-17,Lower Photic,0.759,0.3416772356088906,10
SA,2016-05-17,Deep,0.2252272727272727,0.1014945139583236,22
SA,2016-06-14,Surface,0.479,0.1096914865530694,10
SA,2016-06-14,Mid-Depth,1.038,0.1057039892025524,10
SA,2016-06-14,Lower Photic,0.996,0.1382590161817867,10
SA,2016-06-14,Deep,0.3159848484848485,0.1102194289171492,22
SA,2016-07-12,Surface,0.8859999999999999,0.1155854662143991,10
SA,2016-07-12,Mid-Depth,1.249,0.0532186266472766,10
SA,2016-07-12,Lower Photic,0.963,0.3213184643862776,10
SA,2016-07-12,Deep,0.3241666666666666,0.1289679731376673,22
SA,2016-08-09,Surface,0.792,0.2338945631404601,10
SA,2016-08-09,Mid-Depth,1.28,0.2909753712372692,10
SA,2016-08-09,Lower Photic,1.539,0.0314289321768618,10
SA,2016-08-09,Deep,0.6162121212121213,0.3607451803379847,22
SA,2016-09-06,Surface,0.497,0.0670074622710038,10
SA,2016-09-06,Mid-Depth,0.8400000000000001,0.0494413232473044,10
SA,2016-09-06,Lower Photic,0.844,0.0362705880232945,10
SA,2016-09-06,Deep,0.3584848484848484,0.1925943107741466,22
SA,2016-10-11,Surface,0.639,0.2753361581775993,10
SA,2016-10-11,Mid-Depth,1.5379999999999998,0.2823236912954112,10
SA,2016-10-11,Lower Photic,1.835,0.0217306746840088,10
SA,2016-10-11,Deep,0.5908143719339326,0.5926598521380106,22
SA,2016-11-08,Surface,1.47,0.4349968071402619,10
SA,2016-11-08,Mid-Depth,1.8040000000000005,0.1746234043114878,10
SA,2016-11-08,Lower Photic,2.2,0.1957322434120426,10
SA,2016-11-08,Deep,1.2381060606060603,1.0634905958562808,22
SA,2016-12-05,Surface,1.3119999999999998,0.262119565593007,10
SA,2016-12-05,Mid-Depth,1.611,0.0499888876540465,10
SA,2016-12-05,Lower Photic,1.0710000000000002,0.311214466958791,10
SA,2016-12-05,Deep,0.7399242424242426,0.0925140876913155,22
SA,2017-02-07,Surface,1.383,0.2846459789516326,10
SA,2017-02-07,Mid-Depth,1.5060000000000002,0.2691220293225114,10
SA,2017-02-07,Lower Photic,1.5100000000000002,0.4150501977672902,10
SA,2017-02-07,Deep,1.2718939393939397,0.281274638170458,22
SA,2017-03-13,Surface,1.843,0.1248154192753799,10
SA,2017-03-13,Mid-Depth,1.626,0.234293263525295,10
SA,2017-03-13,Lower Photic,1.225,0.26030964467555,10
SA,2017-03-13,Deep,0.6609090909090909,0.1546011486099477,22
SA,2017-04-18,Surface,0.859,0.2861409908885244,10
SA,2017-04-18,Mid-Depth,1.117,0.051434964329292,10
SA,2017-04-18,Lower Photic,0.961,0.0417532433869913,10
SA,2017-04-18,Deep,0.5663636363636363,0.1641005921043685,22
SA,2017-05-16,Surface,0.729,0.3046838069576758,10
SA,2017-05-16,Mid-Depth,0.902,0.0979569066250846,10
SA,2017-05-16,Lower Photic,0.639,0.0314289321768617,10
SA,2017-05-16,Deep,0.3054545454545455,0.1222206152327781,22
SA,2017-06-13,Surface,1.3770000000000002,0.4267721223843521,10
SA,2017-06-13,Mid-Depth,1.495,0.1943221837853596,10
SA,2017-06-13,Lower Photic,0.8219999999999998,0.0705218642219087,10
SA,2017-06-13,Deep,0.3203787878787879,0.254374391731619,22
SA,2017-07-11,Surface,0.777,0.2870559372511064,10
SA,2017-07-11,Mid-Depth,1.039,0.0574359546703011,10
SA,2017-07-11,Lower Photic,1.06,0.185472369909914,10
SA,2017-07-11,Deep,0.2907575757575757,0.1119130511805081,22
SA,2017-08-08,Surface,1.068,0.2526218078032413,10
SA,2017-08-08,Mid-Depth,1.171,0.0862103370960943,10
SA,2017-08-08,Lower Photic,0.842,0.1296833751017368,10
SA,2017-08-08,Deep,0.2776515151515152,0.1539400170846712,22
SA,2017-09-12,Surface,1.312,0.3422085134339394,10
SA,2017-09-12,Mid-Depth,1.121,0.4116754385030356,10
SA,2017-09-12,Lower Photic,0.85,0.3890444133457715,10
SA,2017-09-12,Deep,0.2089393939393939,0.077797977175022,22
SA,2017-10-12,Surface,0.596,0.1902746552866262,10
SA,2017-10-12,Mid-Depth,1.18,0.2637338725980331,10
SA,2017-10-12,Lower Photic,1.504,0.0660302960768767,10
