location,date,depth_group,value_chlorophyll_a,measurement_count_chlorophyll_a,value_dissolved_oxygen,measurement_count_dissolved_oxygen,value_difference,measurement_count_difference
SA,2014-02-18,Surface,3.2544075661787337,10,7.60904752055894,10,-4.354639954380207,0
SA,2014-02-18,Mid-Depth,4.886576399017274,10,7.266,10,-2.379423600982726,0
SA,2014-02-18,Lower Photic,3.507490110101724,10,6.8180000000000005,10,-3.3105098898982765,0
SA,2014-02-18,Deep,3.158719954306929,22,6.439069707308709,22,-3.28034975300178,0
SA,2014-03-26,Surface,0.5750857142857143,10,7.465999999999999,10,-6.890914285714285,0
SA,2014-03-26,Mid-Depth,3.129142857142857,10,7.033,10,-3.9038571428571434,0
SA,2014-03-26,Lower Photic,2.6554043834081824,10,5.949,10,-3.2935956165918174,0
SA,2014-03-26,Deep,0.8387350037130111,22,4.264765373738981,22,-3.4260303700259698,0
SA,2014-04-22,Surface,1.34,10,6.988,10,-5.648000000000001,0
SA,2014-04-22,Mid-Depth,1.855,10,6.726999999999999,10,-4.872,0
SA,2014-04-22,Lower Photic,2.182,10,5.93,10,-3.7479999999999998,0
SA,2014-04-22,Deep,0.5917575158163477,22,2.991327750740296,22,-2.3995702349239485,0
SA,2014-05-19,Surface,1.0155,10,7.149499999999999,10,-6.133999999999999,0
SA,2014-05-19,Mid-Depth,1.433,10,7.039,10,-5.606,0
SA,2014-05-19,Lower Photic,1.073,10,6.697,10,-5.6240000000000006,0
SA,2014-05-19,Deep,0.4975757575757576,22,4.114545454545454,22,-3.6169696969696967,0
SA,2014-06-24,Surface,1.371,10,7.42,10,-6.0489999999999995,0
SA,2014-06-24,Mid-Depth,1.363,10,7.303,10,-5.9399999999999995,0
SA,2014-06-24,Lower Photic,1.326,10,6.265,10,-4.939,0
SA,2014-06-24,Deep,0.4631818181818181,22,3.2624242424242422,22,-2.7992424242424243,0
SA,2014-07-22,Surface,0.6140000000000001,10,6.968999999999999,10,-6.3549999999999995,0
SA,2014-07-22,Mid-Depth,1.215,10,6.919,10,-5.704,0
SA,2014-07-22,Lower Photic,1.209,10,6.4590000000000005,10,-5.25,0
SA,2014-07-22,Deep,0.4874999999999999,22,3.060378787878788,22,-2.572878787878788,0
SA,2014-08-12,Surface,1.048,10,7.287999999999999,10,-6.239999999999999,0
