location,date,depth_group,value_chlorophyll_a,measurement_count_chlorophyll_a,value_ph,measurement_count_ph,value_difference,measurement_count_difference
SA,2014-02-18,Surface,3.2544075661787337,10,9.285470688503809,10,-6.031063122325075,0
SA,2014-02-18,Mid-Depth,4.886576399017274,10,9.093333333333334,10,-4.20675693431606,0
SA,2014-02-18,Lower Photic,3.507490110101724,10,8.80875,10,-5.301259889898276,0
SA,2014-02-18,Deep,3.158719954306929,22,8.484700718079319,22,-5.32598076377239,0
SA,2014-03-26,Surface,0.5750857142857143,10,8.553,10,-7.977914285714286,0
SA,2014-03-26,Mid-Depth,3.129142857142857,10,8.398,10,-5.268857142857143,0
SA,2014-03-26,Lower Photic,2.6554043834081824,10,7.970499999999999,10,-5.315095616591816,0
SA,2014-03-26,Deep,0.8387350037130111,22,7.779073999520548,22,-6.9403389958075365,0
SA,2014-04-22,Surface,1.34,10,8.728,10,-7.388,0
SA,2014-04-22,Mid-Depth,1.855,10,8.647,10,-6.792,0
SA,2014-04-22,Lower Photic,2.182,10,8.331,10,-6.148999999999999,0
SA,2014-04-22,Deep,0.5917575158163477,22,8.000584567736249,22,-7.408827051919902,0
SA,2014-05-19,Surface,1.0155,10,8.92,10,-7.9045,0
SA,2014-05-19,Mid-Depth,1.433,10,8.997,10,-7.564,0
SA,2014-05-19,Lower Photic,1.073,10,8.860000000000001,10,-7.787000000000001,0
SA,2014-05-19,Deep,0.4975757575757576,22,8.328409090909092,22,-7.830833333333334,0
SA,2014-06-24,Surface,1.371,10,8.754,10,-7.382999999999999,0
SA,2014-06-24,Mid-Depth,1.363,10,9.084,10,-7.721,0
SA,2014-06-24,Lower Photic,1.326,10,8.817,10,-7.491,0
SA,2014-06-24,Deep,0.4631818181818181,22,7.906742424242423,22,-7.443560606060605,0
SA,2014-07-22,Surface,0.6140000000000001,10,9.098,10,-8.484,0
SA,2014-07-22,Mid-Depth,1.215,10,9.376,10,-8.161,0
SA,2014-07-22,Lower Photic,1.209,10,9.204,10,-7.995000000000001,0
SA,2014-07-22,Deep,0.4874999999999999,22,8.390530303030303,22,-7.903030303030303,0
SA,2014-08-12,Surface,1.048,10,9.010000000000002,10,-7.9620000000000015,0
SA,2014-08-12,Mid-Depth,1.393,10,9.010000000000002,10,-7.617000000000002,0
SA,2014-08-12,Lower Photic,1.438,10,9.010000000000002,10,-7.572000000000002,0
SA,2014-08-12,Deep,0.6010520953957537,22,8.986852167271845,22,-8.38580007187609,0
SA,2014-09-08,Surface,1.311,10,8.22907692307692,10,-6.918076923076921,0
SA,2014-09-08,Mid-Depth,1.6329999999999998,10,7.260923076923078,10,-5.627923076923078,0
SA,2014-09-08,Lower Photic,1.012,10,9.321000000000002,10,-8.309000000000001,0
SA,2014-09-08,Deep,0.5309848484848486,22,7.415909090909091,22,-6.884924242424242,0
SA,2014-10-07,Surface,2.416,10,7.710000000000001,10,-5.2940000000000005,0
SA,2014-10-07,Mid-Depth,3.455,10,10.271,10,-6.816000000000001,0
SA,2014-10-07,Lower Photic,1.847,10,9.731000000000002,10,-7.884000000000002,0
SA,2014-10-07,Deep,0.4542977025062711,22,8.680652558504152,22,-8.226354855997881,0
SA,2014-11-11,Surface,3.05,10,9.517,10,-6.467,0
SA,2014-11-11,Mid-Depth,3.532,10,9.562,10,-6.029999999999999,0
SA,2014-11-11,Lower Photic,2.274,10,9.599,10,-7.325,0
