location,date,depth_group,value_chlorophyll_a,measurement_count_chlorophyll_a,value_ph,measurement_count_ph
SA,2014-02-18,Surface,3.2544075661787337,10,9.285470688503809,10
SA,2014-02-18,Mid-Depth,4.886576399017274,10,9.093333333333334,10
SA,2014-02-18,Lower Photic,3.507490110101724,10,8.80875,10
SA,2014-02-18,Deep,3.158719954306929,22,8.484700718079319,22
SA,2014-03-26,Surface,0.5750857142857143,10,8.553,10
SA,2014-03-26,Mid-Depth,3.129142857142857,10,8.398,10
SA,2014-03-26,Lower Photic,2.6554043834081824,10,7.970499999999999,10
SA,2014-03-26,Deep,0.8387350037130111,22,7.779073999520548,22
SA,2014-04-22,Surface,1.34,10,8.728,10
SA,2014-04-22,Mid-Depth,1.855,10,8.647,10
SA,2014-04-22,Lower Photic,2.182,10,8.331,10
SA,2014-04-22,Deep,0.5917575158163477,22,8.000584567736249,22
SA,2014-05-19,Surface,1.0155,10,8.92,10
SA,2014-05-19,Mid-Depth,1.433,10,8.997,10
SA,2014-05-19,Lower Photic,1.073,10,8.860000000000001,10
SA,2014-05-19,Deep,0.4975757575757576,22,8.328409090909092,22
SA,2014-06-24,Surface,1.371,10,8.754,10
SA,2014-06-24,Mid-Depth,1.363,10,9.084,10
SA,2014-06-24,Lower Photic,1.326,10,8.817,10
SA,2014-06-24,Deep,0.4631818181818181,22,7.906742424242423,22
SA,2014-07-22,Surface,0.6140000000000001,10,9.098,10
SA,2014-07-22,Mid-Depth,1.215,10,9.376,10
SA,2014-07-22,Lower Photic,1.209,10,9.204,10
SA,2014-07-22,Deep,0.4874999999999999,22,8.390530303030303,22
SA,2014-08-12,Surface,1.048,10,9.010000000000002,10
SA,2014-08-12,Mid-Depth,1.393,10,9.010000000000002,10
SA,2014-08-12,Lower Photic,1.438,10,9.010000000000002,10
SA,2014-08-12,Deep,0.6010520953957537,22,8.986852167271845,22
SA,2014-09-08,Surface,1.311,10,8.22907692307692,10
SA,2014-09-08,Mid-Depth,1.6329999999999998,10,7.260923076923078,10
SA,2014-09-08,Lower Photic,1.012,10,9.321000000000002,10
SA,2014-09-08,Deep,0.5309848484848486,22,7.415909090909091,22
SA,2014-10-07,Surface,2.416,10,7.710000000000001,10
SA,2014-10-07,Mid-Depth,3.455,10,10.271,10
SA,2014-10-07,Lower Photic,1.847,10,9.731000000000002,10
SA,2014-10-07,Deep,0.4542977025062711,22,8.680652558504152,22
SA,2014-11-11,Surface,3.05,10,9.517,10
SA,2014-11-11,Mid-Depth,3.532,10,9.562,10
SA,2014-11-11,Lower Photic,2.274,10,9.599,10
SA,2014-11-11,Deep,1.5454633273469782,22,8.542768855818862,22
SA,2014-12-08,Surface,2.8155,10,8.495,10
SA,2014-12-08,Mid-Depth,3.351,10,8.515,10
SA,2014-12-08,Lower Photic,3.567,10,8.479000000000001,10
SA,2014-12-08,Deep,3.967727272727273,22,8.427575757575756,22
SA,2015-01-13,Surface,3.1979999999999995,10,8.510000000000002,10
SA,2015-01-13,Mid-Depth,4.276000000000001,10,8.509,10
SA,2015-01-13,Lower Photic,4.405,10,8.470000000000002,10
SA,2015-01-13,Deep,4.475227272727272,22,8.429166666666667,22
SA,2015-02-10,Surface,3.136,10,8.278,10
SA,2015-02-10,Mid-Depth,2.059,10,8.142999999999999,10
SA,2015-02-10,Lower Photic,1.593,10,8.139,10
SA,2015-02-10,Deep,1.8758333333333328,22,8.12371212121212,22
SA,2015-03-10,Surface,2.96,10,8.599,10
SA,2015-03-10,Mid-Depth,4.984,10,8.533999999999999,10
SA,2015-03-10,Lower Photic,4.583,10,8.438999999999998,10
SA,2015-03-10,Deep,5.040530303030303,22,8.359090909090908,22
SA,2015-04-14,Surface,0.776,10,8.673000000000002,10
SA,2015-04-14,Mid-Depth,1.168,10,8.674999999999999,10
SA,2015-04-14,Lower Photic,1.0720000000000005,10,8.57,10
SA,2015-04-14,Deep,0.5587878787878787,22,8.10469696969697,22
SA,2015-06-09,Surface,0.711,10,8.736999999999998,10
SA,2015-06-09,Mid-Depth,0.929,10,8.724,10
SA,2015-06-09,Lower Photic,0.937,10,8.315999999999999,10
SA,2015-06-09,Deep,0.5393939393939392,22,7.950227272727272,22
SA,2015-07-14,Surface,1.2520000000000002,10,8.614,10
SA,2015-07-14,Mid-Depth,1.988,10,8.647000000000002,10
