location,date,depth_group,value_ph,measurement_count_ph,value_dissolved_oxygen,measurement_count_dissolved_oxygen,value_difference,measurement_count_difference
SA,2014-02-18,Surface,9.285470688503809,10,7.60904752055894,10,1.6764231679448685,0
SA,2014-02-18,Mid-Depth,9.093333333333334,10,7.266,10,1.8273333333333337,0
SA,2014-02-18,Lower Photic,8.80875,10,6.8180000000000005,10,1.9907499999999994,0
SA,2014-02-18,Deep,8.484700718079319,22,6.439069707308709,22,2.0456310107706095,0
SA,2014-03-26,Surface,8.553,10,7.465999999999999,10,1.0870000000000015,0
SA,2014-03-26,Mid-Depth,8.398,10,7.033,10,1.3649999999999993,0
SA,2014-03-26,Lower Photic,7.970499999999999,10,5.949,10,2.0214999999999987,0
SA,2014-03-26,Deep,7.779073999520548,22,4.264765373738981,22,3.5143086257815668,0
SA,2014-04-22,Surface,8.728,10,6.988,10,1.7399999999999993,0
SA,2014-04-22,Mid-Depth,8.647,10,6.726999999999999,10,1.9200000000000008,0
SA,2014-04-22,Lower Photic,8.331,10,5.93,10,2.401,0
SA,2014-04-22,Deep,8.000584567736249,22,2.991327750740296,22,5.009256816995952,0
SA,2014-05-19,Surface,8.92,10,7.149499999999999,10,1.770500000000001,0
SA,2014-05-19,Mid-Depth,8.997,10,7.039,10,1.9580000000000002,0
SA,2014-05-19,Lower Photic,8.860000000000001,10,6.697,10,2.163000000000001,0
SA,2014-05-19,Deep,8.328409090909092,22,4.114545454545454,22,4.213863636363638,0
SA,2014-06-24,Surface,8.754,10,7.42,10,1.3339999999999996,0
SA,2014-06-24,Mid-Depth,9.084,10,7.303,10,1.7809999999999997,0
SA,2014-06-24,Lower Photic,8.817,10,6.265,10,2.5520000000000005,0
SA,2014-06-24,Deep,7.906742424242423,22,3.2624242424242422,22,4.64431818181818,0
SA,2014-07-22,Surface,9.098,10,6.968999999999999,10,2.1290000000000013,0
SA,2014-07-22,Mid-Depth,9.376,10,6.919,10,2.457,0
SA,2014-07-22,Lower Photic,9.204,10,6.4590000000000005,10,2.745,0
SA,2014-07-22,Deep,8.390530303030303,22,3.060378787878788,22,5.330151515151515,0
SA,2014-08-12,Surface,9.010000000000002,10,7.287999999999999,10,1.7220000000000022,0
SA,2014-08-12,Mid-Depth,9.010000000000002,10,7.108,10,1.902000000000002,0
SA,2014-08-12,Lower Photic,9.010000000000002,10,6.7,10,2.3100000000000014,0
SA,2014-08-12,Deep,8.986852167271845,22,3.1313010598131386,22,5.855551107458707,0
SA,2014-09-08,Surface,8.22907692307692,10,8.089,10,0.14007692307692032,0
SA,2014-09-08,Mid-Depth,7.260923076923078,10,7.796000000000001,10,-0.5350769230769234,0
SA,2014-09-08,Lower Photic,9.321000000000002,10,7.256,10,2.0650000000000013,0
SA,2014-09-08,Deep,7.415909090909091,22,3.0979545454545456,22,4.317954545454546,0
SA,2014-10-07,Surface,7.710000000000001,10,8.476,10,-0.766,0
SA,2014-10-07,Mid-Depth,10.271,10,8.123,10,2.1480000000000015,0
SA,2014-10-07,Lower Photic,9.731000000000002,10,7.344999999999999,10,2.386000000000003,0
SA,2014-10-07,Deep,8.680652558504152,22,3.045806948316232,22,5.63484561018792,0
SA,2014-11-11,Surface,9.517,10,7.858,10,1.6589999999999998,0
SA,2014-11-11,Mid-Depth,9.562,10,7.644,10,1.9179999999999993,0
SA,2014-11-11,Lower Photic,9.599,10,7.152000000000001,10,2.446999999999999,0
SA,2014-11-11,Deep,8.542768855818862,22,4.6644136947709205,22,3.878355161047941,0
SA,2014-12-08,Surface,8.495,10,6.933,10,1.5619999999999994,0
SA,2014-12-08,Mid-Depth,8.515,10,6.929,10,1.5860000000000003,0
SA,2014-12-08,Lower Photic,8.479000000000001,10,6.961,10,1.5180000000000007,0
SA,2014-12-08,Deep,8.427575757575756,22,6.9556818181818185,22,1.4718939393939374,0
SA,2015-01-13,Surface,8.510000000000002,10,7.27223406870409,10,1.237765931295912,0
SA,2015-01-13,Mid-Depth,8.509,10,6.941262519495123,10,1.567737480504877,0
SA,2015-01-13,Lower Photic,8.470000000000002,10,5.994193200628852,10,2.47580679937115,0
SA,2015-01-13,Deep,8.429166666666667,22,3.644518914539619,22,4.784647752127048,0
SA,2015-02-10,Surface,8.278,10,6.416999999999999,10,1.8610000000000015,0
SA,2015-02-10,Mid-Depth,8.142999999999999,10,4.615,10,3.5279999999999987,0
SA,2015-02-10,Lower Photic,8.139,10,4.786,10,3.3529999999999998,0
SA,2015-02-10,Deep,8.12371212121212,22,5.863484848484847,22,2.260227272727273,0
SA,2015-03-10,Surface,8.599,10,7.138000000000001,10,1.4609999999999994,0
SA,2015-03-10,Mid-Depth,8.533999999999999,10,6.872,10,1.661999999999999,0
SA,2015-03-10,Lower Photic,8.438999999999998,10,6.272,10,2.166999999999998,0
SA,2015-03-10,Deep,8.359090909090908,22,6.674242424242425,22,1.6848484848484828,0
SA,2015-04-14,Surface,8.673000000000002,10,7.633,10,1.0400000000000018,0
SA,2015-04-14,Mid-Depth,8.674999999999999,10,7.189,10,1.4859999999999989,0
SA,2015-04-14,Lower Photic,8.57,10,6.586,10,1.984,0
SA,2015-04-14,Deep,8.10469696969697,22,4.053484848484849,22,4.051212121212122,0
SA,2015-06-09,Surface,8.736999999999998,10,7.372999999999999,10,1.363999999999999,0
SA,2015-06-09,Mid-Depth,8.724,10,7.391999999999999,10,1.3320000000000016,0
SA,2015-06-09,Lower Photic,8.315999999999999,10,6.138999999999999,10,2.1769999999999996,0
SA,2015-06-09,Deep,7.950227272727272,22,3.6399242424242426,22,4.310303030303029,0
SA,2015-07-14,Surface,8.614,10,7.168000000000001,10,1.4459999999999997,0
SA,2015-07-14,Mid-Depth,8.647000000000002,10,7.208999999999999,10,1.4380000000000033,0
SA,2015-07-14,Lower Photic,8.641,10,7.083,10,1.5579999999999998,0
SA,2015-07-14,Deep,8.062424242424242,22,3.436818181818182,22,4.62560606060606,0
SA,2015-08-10,Surface,8.817000000000002,10,7.478999999999999,10,1.3380000000000027,0
SA,2015-08-10,Mid-Depth,8.819999999999999,10,7.390000000000001,10,1.429999999999998,0
SA,2015-08-10,Lower Photic,8.678999999999998,10,6.746,10,1.932999999999998,0
SA,2015-08-10,Deep,8.204166666666666,22,3.538863636363637,22,4.665303030303029,0
SA,2015-09-09,Surface,8.969999999999999,10,7.817,10,1.1529999999999987,0
SA,2015-09-09,Mid-Depth,8.675999999999998,10,7.741,10,0.9349999999999987,0
SA,2015-09-09,Lower Photic,8.338000000000001,10,6.681,10,1.657000000000001,0
SA,2015-09-09,Deep,7.86159090909091,22,2.564469696969697,22,5.297121212121213,0
SA,2015-10-06,Surface,8.957000000000003,10,7.973000000000001,10,0.9840000000000018,0
SA,2015-10-06,Mid-Depth,8.867,10,7.608,10,1.2590000000000012,0
SA,2015-10-06,Lower Photic,8.464,10,5.99,10,2.474,0
SA,2015-10-06,Deep,8.008712121212122,22,2.3795454545454544,22,5.629166666666668,0
SA,2015-11-11,Surface,8.906,10,7.259,10,1.6470000000000002,0
SA,2015-11-11,Mid-Depth,8.842999999999998,10,6.906000000000001,10,1.9369999999999976,0
SA,2015-11-11,Lower Photic,8.625,10,6.0920000000000005,10,2.5329999999999995,0
SA,2015-11-11,Deep,7.890293943110866,22,2.7603388556645028,22,5.129955087446363,0
SA,2016-01-19,Surface,7.980999999999999,10,7.324000000000001,10,0.6569999999999983,0
SA,2016-01-19,Mid-Depth,7.891,10,7.286,10,0.6050000000000004,0
SA,2016-01-19,Lower Photic,7.770999999999999,10,7.079000000000001,10,0.6919999999999984,0
SA,2016-01-19,Deep,7.559772727272726,22,5.8981818181818175,22,1.6615909090909087,0
SA,2016-02-16,Surface,8.143,10,6.662999999999999,10,1.4800000000000013,0
SA,2016-02-16,Mid-Depth,8.11,10,6.82,10,1.2899999999999991,0
SA,2016-02-16,Lower Photic,8.048,10,6.856999999999999,10,1.1910000000000007,0
SA,2016-02-16,Deep,8.067121212121211,22,7.017348484848484,22,1.0497727272727273,0
SA,2016-03-01,Surface,8.652,10,8.027,10,0.625,0
SA,2016-03-01,Mid-Depth,8.559999999999999,10,7.239,10,1.3209999999999988,0
SA,2016-03-01,Lower Photic,8.495000000000001,10,6.491,10,2.0040000000000013,0
SA,2016-03-01,Deep,8.483030303030302,22,6.369545454545456,22,2.1134848484848465,0
SA,2016-04-12,Surface,8.64,10,8.031,10,0.609,0
SA,2016-04-12,Mid-Depth,8.553,10,7.926999999999998,10,0.626000000000003,0
SA,2016-04-12,Lower Photic,8.273,10,6.105,10,2.1679999999999993,0
SA,2016-04-12,Deep,8.24159090909091,22,4.406742424242424,22,3.834848484848486,0
SA,2016-05-17,Surface,8.4,10,7.8809999999999985,10,0.5190000000000019,0
SA,2016-05-17,Mid-Depth,8.364,10,7.712999999999999,10,0.6510000000000016,0
SA,2016-05-17,Lower Photic,7.929,10,5.159,10,2.7700000000000005,0
SA,2016-05-17,Deep,7.803030303030303,22,3.300303030303031,22,4.502727272727272,0
SA,2016-06-14,Surface,8.747,10,7.832000000000001,10,0.9149999999999991,0
SA,2016-06-14,Mid-Depth,8.624,10,7.786000000000001,10,0.8379999999999992,0
SA,2016-06-14,Lower Photic,8.241,10,6.125,10,2.1159999999999997,0
SA,2016-06-14,Deep,7.858712121212122,22,2.6539393939393943,22,5.2047727272727276,0
SA,2016-07-12,Surface,8.743,10,7.536,10,1.2070000000000007,0
SA,2016-07-12,Mid-Depth,8.716000000000001,10,7.499,10,1.2170000000000014,0
SA,2016-07-12,Lower Photic,8.482000000000001,10,6.034000000000001,10,2.4480000000000004,0
SA,2016-07-12,Deep,8.04651515151515,22,2.79939393939394,22,5.247121212121209,0
SA,2016-08-09,Surface,8.651000000000002,10,7.849000000000001,10,0.8020000000000005,0
SA,2016-08-09,Mid-Depth,8.604999999999999,10,7.824,10,0.7809999999999988,0
SA,2016-08-09,Lower Photic,8.393,10,7.100999999999999,10,1.2920000000000016,0
SA,2016-08-09,Deep,7.919469696969698,22,3.031515151515152,22,4.887954545454546,0
SA,2016-09-06,Surface,9.91,10,7.577,10,2.333,0
SA,2016-09-06,Mid-Depth,9.873,10,7.501,10,2.371999999999999,0
SA,2016-09-06,Lower Photic,9.693,10,6.906000000000001,10,2.786999999999999,0
SA,2016-09-06,Deep,9.183939393939394,22,2.3403787878787883,22,6.843560606060605,0
SA,2016-10-11,Surface,8.922,10,7.354999999999999,10,1.567000000000002,0
SA,2016-10-11,Mid-Depth,8.864999999999998,10,7.319,10,1.5459999999999985,0
SA,2016-10-11,Lower Photic,8.818999999999999,10,7.117,10,1.701999999999999,0
SA,2016-10-11,Deep,8.157704831629365,22,2.592860512202623,22,5.564844319426742,0
SA,2016-11-08,Surface,9.003,10,7.607000000000001,10,1.395999999999999,0
SA,2016-11-08,Mid-Depth,8.992999999999999,10,7.51,10,1.4829999999999988,0
SA,2016-11-08,Lower Photic,8.881,10,7.162000000000001,10,1.7189999999999994,0
SA,2016-11-08,Deep,8.39401515151515,22,3.709015151515152,22,4.684999999999999,0
SA,2016-12-05,Surface,8.446000000000002,10,7.794,10,0.6520000000000019,0
SA,2016-12-05,Mid-Depth,8.373000000000001,10,7.624,10,0.7490000000000014,0
SA,2016-12-05,Lower Photic,8.267,10,7.042,10,1.2249999999999996,0
SA,2016-12-05,Deep,8.110530303030302,22,6.141666666666668,22,1.9688636363636336,0
SA,2017-02-07,Surface,8.514000000000001,10,6.282,10,2.232000000000001,0
SA,2017-02-07,Mid-Depth,8.441999999999998,10,6.289,10,2.1529999999999987,0
SA,2017-02-07,Lower Photic,8.409,10,6.161999999999999,10,2.2470000000000017,0
SA,2017-02-07,Deep,8.398787878787878,22,6.657954545454545,22,1.7408333333333337,0
SA,2017-03-13,Surface,8.084,10,7.699,10,0.3849999999999998,0
SA,2017-03-13,Mid-Depth,8.088,10,7.011,10,1.076999999999999,0
SA,2017-03-13,Lower Photic,8.056999999999999,10,6.535000000000001,10,1.5219999999999976,0
SA,2017-03-13,Deep,7.98090909090909,22,5.132651515151514,22,2.848257575757575,0
SA,2017-04-18,Surface,8.206999999999999,10,7.9,10,0.3069999999999986,0
SA,2017-04-18,Mid-Depth,8.247,10,7.802000000000001,10,0.4449999999999985,0
SA,2017-04-18,Lower Photic,8.186,10,7.253,10,0.9329999999999998,0
SA,2017-04-18,Deep,7.957348484848485,22,4.93189393939394,22,3.0254545454545445,0
SA,2017-05-16,Surface,8.174,10,7.943,10,0.23099999999999987,0
SA,2017-05-16,Mid-Depth,8.114,10,7.467,10,0.6470000000000011,0
SA,2017-05-16,Lower Photic,7.939,10,6.654000000000001,10,1.2849999999999993,0
SA,2017-05-16,Deep,7.767803030303028,22,3.893787878787879,22,3.8740151515151493,0
SA,2017-06-13,Surface,9.528000000000002,10,8.169,10,1.3590000000000018,0
SA,2017-06-13,Mid-Depth,9.452,10,7.837000000000001,10,1.6149999999999993,0
SA,2017-06-13,Lower Photic,9.192,10,5.957,10,3.2350000000000003,0
SA,2017-06-13,Deep,9.026818181818182,22,3.3401515151515144,22,5.686666666666667,0
SA,2017-07-11,Surface,8.205000000000002,10,8.393,10,-0.18799999999999883,0
SA,2017-07-11,Mid-Depth,8.149999999999999,10,8.248000000000001,10,-0.09800000000000253,0
SA,2017-07-11,Lower Photic,7.948,10,6.863,10,1.085,0
SA,2017-07-11,Deep,7.730151515151514,22,3.501969696969698,22,4.228181818181816,0
SA,2017-08-08,Surface,9.098,10,8.045999999999998,10,1.0520000000000032,0
SA,2017-08-08,Mid-Depth,9.050999999999998,10,7.901000000000001,10,1.1499999999999977,0
SA,2017-08-08,Lower Photic,8.75,10,5.420999999999999,10,3.3290000000000006,0
SA,2017-08-08,Deep,8.427121212121213,22,2.9421969696969694,22,5.484924242424244,0
SA,2017-09-12,Surface,10.341,10,7.270999999999999,10,3.0700000000000003,0
SA,2017-09-12,Mid-Depth,10.358,10,7.108,10,3.250000000000001,0
SA,2017-09-12,Lower Photic,10.023,10,5.504,10,4.519,0
SA,2017-09-12,Deep,9.413030303030302,22,1.531439393939394,22,7.881590909090908,0
SA,2017-10-12,Surface,9.143,10,5.930000000000001,10,3.213,0
SA,2017-10-12,Mid-Depth,9.157,10,5.885,10,3.2720000000000002,0
SA,2017-10-12,Lower Photic,9.042,10,5.537999999999999,10,3.5040000000000004,0
SA,2017-10-12,Deep,8.085833333333333,22,1.4798484848484852,22,6.605984848484848,0
SA,2017-11-07,Surface,8.918,10,7.529000000000001,10,1.3889999999999985,0
SA,2017-11-07,Mid-Depth,8.849,10,7.305,10,1.5440000000000005,0
SA,2017-11-07,Lower Photic,8.600999999999999,10,6.441,10,2.1599999999999993,0
SA,2017-11-07,Deep,7.86181818181818,22,2.138484848484848,22,5.723333333333331,0
SA,2017-12-13,Surface,8.52,10,3.883,10,4.637,0
SA,2017-12-13,Mid-Depth,8.547,10,3.796,10,4.751000000000001,0
SA,2017-12-13,Lower Photic,8.495000000000001,10,3.705000000000001,10,4.79,0
SA,2017-12-13,Deep,8.367121212121212,22,3.650227272727273,22,4.716893939393939,0
SA,2018-01-11,Surface,9.370496045700428,10,6.560410735436544,10,2.810085310263884,0
SA,2018-01-11,Mid-Depth,9.318117706603932,10,6.320161994352588,10,2.9979557122513434,0
SA,2018-01-11,Lower Photic,9.288681834139968,10,6.242815082827719,10,3.045866751312249,0
SA,2018-01-11,Deep,9.220462929248448,22,6.1620758662859485,22,3.0583870629625,0
SA,2018-02-07,Surface,8.891050279925881,10,5.263232190617337,10,3.627818089308544,0
SA,2018-02-07,Mid-Depth,8.794570680776163,10,4.775561536605177,10,4.019009144170986,0
SA,2018-02-07,Lower Photic,8.808821776085846,10,5.174517277278414,10,3.634304498807432,0
SA,2018-02-07,Deep,8.719200621442546,22,5.025477598355542,22,3.6937230230870037,0
SA,2018-03-13,Surface,8.921379204217654,10,6.615650826413787,10,2.3057283778038675,0
SA,2018-03-13,Mid-Depth,8.779500108991439,10,5.887541883086101,10,2.891958225905338,0
SA,2018-03-13,Lower Photic,8.659646438533736,10,5.284195420680818,10,3.3754510178529182,0
SA,2018-03-13,Deep,8.398874439808028,22,3.624359462475398,22,4.774514977332629,0
SA,2018-04-10,Surface,8.775691837871722,10,6.94987953362254,10,1.8258123042491823,0
SA,2018-04-10,Mid-Depth,8.640576691963883,10,6.239647611958683,10,2.4009290800052003,0
SA,2018-04-10,Lower Photic,8.298800437755183,10,5.431252556990252,10,2.8675478807649313,0
SA,2018-04-10,Deep,8.112837313427859,22,2.7105738590463666,22,5.402263454381492,0
SA,2018-05-15,Surface,8.840345333333152,10,7.315734074903753,10,1.524611258429399,0
SA,2018-05-15,Mid-Depth,8.517717463335956,10,6.195670989729013,10,2.3220464736069424,0
SA,2018-05-15,Lower Photic,8.002166700168837,10,4.263555409425228,10,3.7386112907436093,0
SA,2018-05-15,Deep,7.936285110960304,22,1.6753320028319174,22,6.260953108128387,0
SA,2018-06-12,Surface,8.91840521577439,10,7.080478981907223,10,1.837926233867167,0
SA,2018-06-12,Mid-Depth,8.852357987897685,10,6.880760385833669,10,1.9715976020640165,0
SA,2018-06-12,Lower Photic,8.225453284911206,10,4.491299094397064,10,3.7341541905141415,0
