location,date,depth_group,value_temp,measurement_count_temp,value_chlorophyll_a,measurement_count_chlorophyll_a,value_difference,measurement_count_difference
SA,2014-02-18,Surface,20.816331114433734,10,3.2544075661787337,10,17.561923548255,0
SA,2014-02-18,Mid-Depth,20.603,10,4.886576399017274,10,15.716423600982727,0
SA,2014-02-18,Lower Photic,20.48,10,3.507490110101724,10,16.972509889898276,0
SA,2014-02-18,Deep,20.441551738464373,22,3.158719954306929,22,17.282831784157445,0
SA,2014-03-26,Surface,22.4,10,0.5750857142857143,10,21.824914285714286,0
SA,2014-03-26,Mid-Depth,21.97,10,3.129142857142857,10,18.840857142857143,0
SA,2014-03-26,Lower Photic,21.520000000000003,10,2.6554043834081824,10,18.86459561659182,0
SA,2014-03-26,Deep,21.01063808710936,22,0.8387350037130111,22,20.171903083396348,0
SA,2014-04-22,Surface,22.303,10,1.34,10,20.963,0
SA,2014-04-22,Mid-Depth,22.048,10,1.855,10,20.192999999999998,0
SA,2014-04-22,Lower Photic,21.842,10,2.182,10,19.66,0
SA,2014-04-22,Deep,20.66855098477049,22,0.5917575158163477,22,20.076793468954143,0
SA,2014-05-19,Surface,22.9155,10,1.0155,10,21.900000000000002,0
SA,2014-05-19,Mid-Depth,22.599,10,1.433,10,21.166,0
SA,2014-05-19,Lower Photic,22.4,10,1.073,10,21.326999999999998,0
SA,2014-05-19,Deep,20.99924242424242,22,0.4975757575757576,22,20.501666666666665,0
SA,2014-06-24,Surface,23.541,10,1.371,10,22.17,0
SA,2014-06-24,Mid-Depth,23.133,10,1.363,10,21.77,0
SA,2014-06-24,Lower Photic,22.654000000000003,10,1.326,10,21.328000000000003,0
SA,2014-06-24,Deep,21.05348484848485,22,0.4631818181818181,22,20.59030303030303,0
SA,2014-07-22,Surface,23.356,10,0.6140000000000001,10,22.742,0
SA,2014-07-22,Mid-Depth,23.296,10,1.215,10,22.081,0
SA,2014-07-22,Lower Photic,22.997,10,1.209,10,21.788,0
SA,2014-07-22,Deep,21.07992424242424,22,0.4874999999999999,22,20.59242424242424,0
SA,2014-08-12,Surface,23.23,10,1.048,10,22.182000000000002,0
