location,date,depth_group,value_temp,measurement_count_temp,value_dissolved_oxygen,measurement_count_dissolved_oxygen,value_difference,measurement_count_difference
SA,2014-02-18,Surface,20.816331114433734,10,7.60904752055894,10,13.207283593874793,0
SA,2014-02-18,Mid-Depth,20.603,10,7.266,10,13.337000000000002,0
SA,2014-02-18,Lower Photic,20.48,10,6.8180000000000005,10,13.661999999999999,0
SA,2014-02-18,Deep,20.441551738464373,22,6.439069707308709,22,14.002482031155663,0
SA,2014-03-26,Surface,22.4,10,7.465999999999999,10,14.934,0
SA,2014-03-26,Mid-Depth,21.97,10,7.033,10,14.936999999999998,0
SA,2014-03-26,Lower Photic,21.520000000000003,10,5.949,10,15.571000000000003,0
SA,2014-03-26,Deep,21.01063808710936,22,4.264765373738981,22,16.745872713370378,0
SA,2014-04-22,Surface,22.303,10,6.988,10,15.315000000000001,0
SA,2014-04-22,Mid-Depth,22.048,10,6.726999999999999,10,15.320999999999998,0
SA,2014-04-22,Lower Photic,21.842,10,5.93,10,15.911999999999999,0
SA,2014-04-22,Deep,20.66855098477049,22,2.991327750740296,22,17.677223234030194,0
SA,2014-05-19,Surface,22.9155,10,7.149499999999999,10,15.766000000000002,0
SA,2014-05-19,Mid-Depth,22.599,10,7.039,10,15.56,0
SA,2014-05-19,Lower Photic,22.4,10,6.697,10,15.703,0
SA,2014-05-19,Deep,20.99924242424242,22,4.114545454545454,22,16.884696969696968,0
SA,2014-06-24,Surface,23.541,10,7.42,10,16.121000000000002,0
SA,2014-06-24,Mid-Depth,23.133,10,7.303,10,15.829999999999998,0
SA,2014-06-24,Lower Photic,22.654000000000003,10,6.265,10,16.389000000000003,0
SA,2014-06-24,Deep,21.05348484848485,22,3.2624242424242422,22,17.791060606060608,0
SA,2014-07-22,Surface,23.356,10,6.968999999999999,10,16.387,0
SA,2014-07-22,Mid-Depth,23.296,10,6.919,10,16.377,0
SA,2014-07-22,Lower Photic,22.997,10,6.4590000000000005,10,16.538,0
SA,2014-07-22,Deep,21.07992424242424,22,3.060378787878788,22,18.01954545454545,0
SA,2014-08-12,Surface,23.23,10,7.287999999999999,10,15.942,0
SA,2014-08-12,Mid-Depth,22.876,10,7.108,10,15.768,0
SA,2014-08-12,Lower Photic,22.722,10,6.7,10,16.022000000000002,0
SA,2014-08-12,Deep,21.24153783549198,22,3.1313010598131386,22,18.11023677567884,0
SA,2014-09-08,Surface,23.408,10,8.089,10,15.319,0
SA,2014-09-08,Mid-Depth,23.258,10,7.796000000000001,10,15.461999999999998,0
SA,2014-09-08,Lower Photic,22.981,10,7.256,10,15.725000000000001,0
SA,2014-09-08,Deep,21.29742424242424,22,3.0979545454545456,22,18.199469696969693,0
SA,2014-10-07,Surface,23.492,10,8.476,10,15.016,0
SA,2014-10-07,Mid-Depth,23.29,10,8.123,10,15.167,0
SA,2014-10-07,Lower Photic,23.025,10,7.344999999999999,10,15.68,0
SA,2014-10-07,Deep,21.42108675155601,22,3.045806948316232,22,18.375279803239778,0
SA,2014-11-11,Surface,22.344,10,7.858,10,14.486,0
SA,2014-11-11,Mid-Depth,22.249,10,7.644,10,14.604999999999999,0
SA,2014-11-11,Lower Photic,22.201,10,7.152000000000001,10,15.049,0
SA,2014-11-11,Deep,21.467100365661487,22,4.6644136947709205,22,16.802686670890566,0
SA,2014-12-08,Surface,21.139,10,6.933,10,14.206,0
SA,2014-12-08,Mid-Depth,21.133,10,6.929,10,14.203999999999999,0
SA,2014-12-08,Lower Photic,21.131,10,6.961,10,14.17,0
SA,2014-12-08,Deep,21.12462121212121,22,6.9556818181818185,22,14.16893939393939,0
SA,2015-01-13,Surface,20.436,10,7.27223406870409,10,13.16376593129591,0
SA,2015-01-13,Mid-Depth,20.357,10,6.941262519495123,10,13.415737480504877,0
SA,2015-01-13,Lower Photic,20.237,10,5.994193200628852,10,14.242806799371145,0
SA,2015-01-13,Deep,20.19439393939394,22,3.644518914539619,22,16.549875024854323,0
SA,2015-02-10,Surface,20.545,10,6.416999999999999,10,14.128000000000004,0
SA,2015-02-10,Mid-Depth,20.323,10,4.615,10,15.708,0
SA,2015-02-10,Lower Photic,20.225,10,4.786,10,15.439000000000002,0
SA,2015-02-10,Deep,20.176893939393945,22,5.863484848484847,22,14.313409090909097,0
SA,2015-03-10,Surface,20.569,10,7.138000000000001,10,13.430999999999997,0
SA,2015-03-10,Mid-Depth,20.451,10,6.872,10,13.579,0
SA,2015-03-10,Lower Photic,20.369,10,6.272,10,14.097,0
SA,2015-03-10,Deep,20.305909090909097,22,6.674242424242425,22,13.631666666666671,0
SA,2015-04-14,Surface,22.049,10,7.633,10,14.416,0
SA,2015-04-14,Mid-Depth,21.45,10,7.189,10,14.261,0
SA,2015-04-14,Lower Photic,21.24,10,6.586,10,14.653999999999998,0
SA,2015-04-14,Deep,20.531136363636367,22,4.053484848484849,22,16.477651515151518,0
SA,2015-06-09,Surface,23.843,10,7.372999999999999,10,16.47,0
SA,2015-06-09,Mid-Depth,23.772,10,7.391999999999999,10,16.38,0
SA,2015-06-09,Lower Photic,22.211,10,6.138999999999999,10,16.072,0
SA,2015-06-09,Deep,20.6980303030303,22,3.6399242424242426,22,17.058106060606057,0
SA,2015-07-14,Surface,22.84,10,7.168000000000001,10,15.671999999999999,0
SA,2015-07-14,Mid-Depth,22.804,10,7.208999999999999,10,15.594999999999999,0
SA,2015-07-14,Lower Photic,22.655,10,7.083,10,15.572000000000001,0
SA,2015-07-14,Deep,20.87621212121212,22,3.436818181818182,22,17.439393939393938,0
SA,2015-08-10,Surface,23.6,10,7.478999999999999,10,16.121000000000002,0
SA,2015-08-10,Mid-Depth,23.409,10,7.390000000000001,10,16.019,0
SA,2015-08-10,Lower Photic,22.787,10,6.746,10,16.040999999999997,0
SA,2015-08-10,Deep,21.0689393939394,22,3.538863636363637,22,17.530075757575762,0
SA,2015-09-09,Surface,23.729000000000003,10,7.817,10,15.912000000000003,0
SA,2015-09-09,Mid-Depth,23.603,10,7.741,10,15.862000000000002,0
SA,2015-09-09,Lower Photic,23.267000000000003,10,6.681,10,16.586000000000002,0
SA,2015-09-09,Deep,21.08113636363636,22,2.564469696969697,22,18.516666666666666,0
SA,2015-10-06,Surface,23.903,10,7.973000000000001,10,15.929999999999998,0
SA,2015-10-06,Mid-Depth,23.627,10,7.608,10,16.019,0
SA,2015-10-06,Lower Photic,23.235000000000003,10,5.99,10,17.245000000000005,0
SA,2015-10-06,Deep,21.183636363636364,22,2.3795454545454544,22,18.80409090909091,0
SA,2015-11-11,Surface,23.53,10,7.259,10,16.271,0
SA,2015-11-11,Mid-Depth,23.5,10,6.906000000000001,10,16.594,0
SA,2015-11-11,Lower Photic,23.41,10,6.0920000000000005,10,17.317999999999998,0
SA,2015-11-11,Deep,21.748565435402423,22,2.7603388556645028,22,18.98822657973792,0
SA,2016-01-19,Surface,21.549,10,7.324000000000001,10,14.224999999999998,0
SA,2016-01-19,Mid-Depth,21.534,10,7.286,10,14.248,0
SA,2016-01-19,Lower Photic,21.51,10,7.079000000000001,10,14.431000000000001,0
SA,2016-01-19,Deep,21.36431818181818,22,5.8981818181818175,22,15.466136363636362,0
SA,2016-02-16,Surface,20.9,10,6.662999999999999,10,14.236999999999998,0
SA,2016-02-16,Mid-Depth,20.811,10,6.82,10,13.991,0
SA,2016-02-16,Lower Photic,20.686,10,6.856999999999999,10,13.829,0
SA,2016-02-16,Deep,20.638484848484847,22,7.017348484848484,22,13.621136363636364,0
SA,2016-03-01,Surface,21.147,10,8.027,10,13.12,0
SA,2016-03-01,Mid-Depth,20.798,10,7.239,10,13.558999999999997,0
SA,2016-03-01,Lower Photic,20.732,10,6.491,10,14.241,0
SA,2016-03-01,Deep,20.64598484848485,22,6.369545454545456,22,14.276439393939395,0
SA,2016-04-12,Surface,22.469,10,8.031,10,14.438,0
SA,2016-04-12,Mid-Depth,22.258000000000003,10,7.926999999999998,10,14.331000000000005,0
SA,2016-04-12,Lower Photic,21.311,10,6.105,10,15.206,0
SA,2016-04-12,Deep,20.72515151515152,22,4.406742424242424,22,16.318409090909096,0
SA,2016-05-17,Surface,23.731,10,7.8809999999999985,10,15.850000000000003,0
SA,2016-05-17,Mid-Depth,23.499,10,7.712999999999999,10,15.786,0
SA,2016-05-17,Lower Photic,21.894,10,5.159,10,16.735,0
SA,2016-05-17,Deep,20.83318181818182,22,3.300303030303031,22,17.53287878787879,0
SA,2016-06-14,Surface,23.969,10,7.832000000000001,10,16.137,0
SA,2016-06-14,Mid-Depth,23.884000000000004,10,7.786000000000001,10,16.098000000000003,0
SA,2016-06-14,Lower Photic,23.028,10,6.125,10,16.903,0
SA,2016-06-14,Deep,20.852954545454548,22,2.6539393939393943,22,18.199015151515155,0
SA,2016-07-12,Surface,23.888,10,7.536,10,16.352000000000004,0
SA,2016-07-12,Mid-Depth,23.694,10,7.499,10,16.195,0
SA,2016-07-12,Lower Photic,22.484,10,6.034000000000001,10,16.450000000000003,0
SA,2016-07-12,Deep,20.864469696969703,22,2.79939393939394,22,18.065075757575762,0
SA,2016-08-09,Surface,23.555,10,7.849000000000001,10,15.706,0
SA,2016-08-09,Mid-Depth,23.322,10,7.824,10,15.498,0
SA,2016-08-09,Lower Photic,23.053000000000004,10,7.100999999999999,10,15.952000000000005,0
SA,2016-08-09,Deep,21.07159090909091,22,3.031515151515152,22,18.04007575757576,0
SA,2016-09-06,Surface,23.697,10,7.577,10,16.119999999999997,0
SA,2016-09-06,Mid-Depth,23.622,10,7.501,10,16.121,0
SA,2016-09-06,Lower Photic,23.374,10,6.906000000000001,10,16.467999999999996,0
SA,2016-09-06,Deep,21.13462121212121,22,2.3403787878787883,22,18.794242424242423,0
SA,2016-10-11,Surface,23.465,10,7.354999999999999,10,16.11,0
SA,2016-10-11,Mid-Depth,23.409,10,7.319,10,16.09,0
SA,2016-10-11,Lower Photic,23.364,10,7.117,10,16.247,0
SA,2016-10-11,Deep,21.35894400464632,22,2.592860512202623,22,18.7660834924437,0
