location,depth_group,14/02/2014,18/02/2014,19/02/2014,26/02/2014,26/03/2014,22/04/2014,23/04/2014,27/04/2014,19/05/2014,24/06/2014,25/06/2014,22/07/2014,23/07/2014,12/08/2014,13/08/2014,08/09/2014,09/09/2014,25/09/2014,07/10/2014,08/10/2014,11/11/2014,12/11/2014,08/12/2014,09/12/2014,13/01/2015,14/01/2015,10/02/2015,11/02/2015,10/03/2015,11/03/2015,14/04/2015,05/05/2015,09/06/2015,14/07/2015,15/07/2015,10/08/2015,11/08/2015,09/09/2015,06/10/2015,07/10/2015,11/11/2015,12/11/2015,08/12/2015,19/01/2016,20/01/2016,16/02/2016,17/02/2016,01/03/2016,08/03/2016,09/03/2016,12/04/2016,13/04/2016,17/05/2016,18/05/2016,14/06/2016,15/06/2016,12/07/2016,13/07/2016,09/08/2016,10/08/2016,06/09/2016,07/09/2016,11/10/2016,12/10/2016,08/11/2016,09/11/2016,05/12/2016,07/02/2017,08/02/2017,13/03/2017,14/03/2017,18/04/2017,19/04/2017,16/05/2017,17/05/2017,13/06/2017,21/06/2017,11/07/2017,12/07/2017,08/08/2017,09/08/2017,12/09/2017,13/09/2017,12/10/2017,13/10/2017,07/11/2017,08/11/2017,13/12/2017,14/12/2017,11/01/2018,07/02/2018,28/02/2018,13/03/2018,15/03/2018,10/04/2018,12/04/2018,15/05/2018,16/05/2018,12/06/2018,13/06/2018,17/07/2018,18/07/2018,14/08/2018,16/08/2018,11/09/2018,12/09/2018,24/09/2018,10/10/2018,14/11/2018,12/12/2018,12/02/2019,12/03/2019,09/04/2019,14/05/2019,12/06/2019,12/07/2019,13/08/2019,10/09/2019,23/01/2020,11/02/2020,10/03/2020,14/04/2020,12/05/2020,09/06/2020,14/07/2020,11/08/2020,08/09/2020,13/10/2020,10/11/2020,08/12/2020,19/01/2021,16/02/2021,16/03/2021,13/04/2021,11/05/2021,08/06/2021,13/07/2021,10/08/2021,07/09/2021,12/10/2021,09/11/2021,07/12/2021,18/01/2022,08/02/2022,08/03/2022,05/04/2022,10/05/2022,14/06/2022,12/07/2022,09/08/2022,06/09/2022,18/10/2022,08/11/2022,06/12/2022,17/01/2023,14/02/2023,14/03/2023,11/04/2023,09/05/2023,13/06/2023,18/07/2023,16/08/2023,05/09/2023,18/10/2023,14/11/2023,05/12/2023
SA,Surface,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,1.6242171444044364,111.39778541768987,25.481320413742026,17.397856156528658,19.763984655478517,19.296579377896943,15.822925088069397,17.01583138598362,20.510794632703192,16.045107405571283,57.7304398120033,11.312961499074754,21.360471838350477,13.72886481047503,19.009380778789904,16.19556971526598,15.81098886455008,15.123712275762683,15.32392570204776,13.966666666666669,15.719862102844392,12.699999999999998,11.300000000000002,7.666666666666667,9.166666666666666,3.145833333333333,8.9,12.633333333333336,10.117373280572828,7.721308815575989,9.166666666666666,5.277111700068024,12.129269103135623,2.349322580645161,4.746566666666667,13.442566666666666,9.746766666666666,11.294280645161292,6.666933333333334,4.310517241379311,11.258214285714288,2.5198636363636364,6.269660714285714,21.8487,19.566,10.254033333333334,79.03658817204301,9.295724137931035,17.9355,24.334774193548395,20.407548387096774,25.616966666666663,15.428387096774191,98.91700000000002,25.59709677419356,16.677685714285712,121.54270370370372,29.1316,10.307758620689656,27.13751724137931,17.328058823529414,44.31336666666667,21.17775862068966,30.940678571428577,30.548448275862075,35.996684375,33.370900000000006,37.814424242424245,35.47572727272728,13.394645161290322,17.353178571428572,18.858044944269626,17.820781569015278,26.94238979214519,28.00232308434743,31.63598555337999,26.31958410636982
SA,Mid-Depth,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,4.210283721927867,27.457972049828104,17.96833016936311,15.057415685632035,15.960000288942108,19.59648925497888,16.626520229892957,28.13274043151758,27.56925488660245,18.05283251402705,23.192808647407315,9.965518945042309,11.9133937015682,13.580805366384942,14.05857662493348,15.304648337741169,16.536079722853852,15.765269269025396,15.90282015475217,7.71,15.936872089272688,15.7,18.3,15.0,12.5,2.9375,4.9,7.3,16.122837761447144,8.49902650081125,6.5,7.894875710323897,12.644123546448022,1.998677419354839,6.195900000000001,9.4569,13.3701,21.112345161290325,10.6526,6.184655172413794,8.1525,5.350276946982015,2.387517857142857,15.3267,11.957,19.674700000000005,42.50169999999999,1.7991724137931036,12.5005,17.672516129032257,24.61529032258065,9.6743,11.571290322580646,124.41969230769232,22.09064516129032,27.858257142857145,46.016333333333336,24.783600000000003,12.931551724137933,32.38510344827586,13.81129411764706,47.9367,41.04362068965517,38.31675,34.29672413793104,38.714184375,30.1099,50.002,53.26300000000001,18.30367741935484,16.188535714285717,22.85905053367821,23.59975463484615,29.44914033702062,40.67028059806461,46.6985643312473,28.561479591836733
SA,Lower Photic,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,1.928460271171899,27.01148368085012,30.406610000502997,26.291529945935824,27.607086024180056,39.84040595800962,23.90477641828792,55.1309481135286,52.663822973701336,23.61268666051994,30.691305267646197,8.618076391009863,11.296357173050104,22.90855034406054,21.948675506885188,46.4868965511097,24.00628886817648,30.042428510123827,33.2805459868321,7.71,24.214386157777103,9.7,11.3,16.0,52.5,20.4375,46.9,33.300000000000004,12.889937817976255,26.648296376419687,11.5,16.22594493747057,28.43468421275873,3.0506129032258062,40.9799,46.4149,47.0671,27.42395806451613,21.522600000000004,3.935689655172415,5.823214285714286,82.73277777777778,1.2228750000000002,33.8057,25.001,29.4577,50.1107,32.16020689655173,48.3715,18.724451612903227,41.44625806451613,16.1963,14.727096774193548,140.72469230769232,139.50965625000003,26.926542857142856,60.50966666666666,41.0886,63.533275862068976,70.61751724137932,22.443352941176475,51.19769999999999,25.30086206896552,51.12782142857142,33.17224137931035,38.714184375,34.45790000000001,45.06109090909092,73.780125,54.06948387096775,56.95103571428572,58.62789321115487,57.887338249387255,48.66147604876294,67.04983674661138,70.31483985752408,49.1721289424861
SA,Deep,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,2.613007306398689,31.92285573960799,37.3231505699595,35.185203735342995,35.87725269474316,44.11412170642722,51.53579619254751,52.40843977584682,50.842854105725614,50.94863621410999,36.60448867282698,26.35940335243708,28.07668354890705,45.783734455979264,43.38806794245401,48.93693033930295,51.56133611591891,36.81588090640533,36.571253113472864,57.745000000000005,51.79597909319618,19.7,66.8,57.5,61.0,32.15625,96.4,86.3,49.33284341435839,65.30594916170904,18.5,74.35649754811028,50.82916939675888,17.777709677419356,62.7199,60.5459,61.1981,65.22,90.78203225806452,64.65775862068966,23.292857142857144,25.569787255874974,26.84501785714286,32.7187,39.132000000000005,52.2847,64.2417,53.52537931034483,54.35000000000001,75.63416129032258,65.6407741935484,94.1342,15.779032258064516,143.23315384615387,21.03870967741936,43.6974,68.72255555555556,71.4046551724138,73.73015806451616,66.11958620689656,83.10290322580644,109.2435,106.7434,111.68925,55.09965517241381,44.82855937499999,29.022900000000003,54.9429090909091,98.237625,79.94709677419355,98.917,92.1369208015814,86.81714555769165,70.99860978388892,93.4709760503829,95.9653873044993,72.73724025974026
WG,Surface,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,11.055754074195772,29.39275498206605,16.48978975323473,16.92320607662638,17.085797427075775,5.999921973731394,19.296579377896943,16.29020751997111,15.957078143551817,14.16080821412198,13.26518033232484,15.762600548801164,14.157562446476588,15.104932670813715,14.232266920381331,9.275794869326525,8.771224902559187,8.428538788543575,4.816757925946181,5.776666666666666,11.466471930760273,23.7,6.633333333333333,15.0,2.5,4.916666666666667,10.233333333333334,9.3,15.137535330695307,7.294231115918516,9.166666666666666,2.3843870967741942,14.368781249999998,8.310290322580645,10.181566666666663,14.529566666666668,12.645433333333331,6.034603225806452,11.377266666666666,13.306379310344829,21.74000000000001,2.5198636363636364,8.987160714285714,25.109700000000004,13.406333333333334,17.863033333333334,35.9797,28.03710344827586,13.225166666666668,29.945096774193555,13.044000000000002,35.7623,19.63612903225807,90.18703125,23.14258064516129,15.4354,40.38003703703704,43.60994022988506,9.558103448275864,17.392,16.04923529411765,22.9357,27.175,49.18675,13.306379310344829,10.180434375,35.90723333333333,17.392,25.92330303030303,12.342709677419355,11.14175,13.927060459780291,14.322625355656768,18.16640971678217,20.997010971979936,23.35126948324697,17.75198051948052
WG,Mid-Depth,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,1.0157308908695115,29.46716971022905,29.172491154757807,21.08052314082282,18.099988297797648,23.081150653410585,21.845813333093403,26.41119649081727,20.41896680808585,19.51241556840501,114.42363771990382,16.484856071067384,14.90614164316128,16.512806416248356,15.801697027736274,9.195828691357406,17.75468212593441,20.128793723665076,30.29914490039697,11.73,18.37861109323902,28.700000000000003,5.3,11.5,0.5,3.875,7.9,5.8,14.665517241379312,5.714818820984316,7.0,11.15051612903226,7.744874999999999,4.628516129032258,13.261400000000002,16.5224,22.6096,4.281377419354839,7.3916,13.493793103448276,9.899464285714288,4.002136363636364,20.439482142857145,26.7402,17.392,14.7832,27.827200000000005,15.29296551724138,10.87,28.19187096774194,12.51803225806452,21.0878,24.720483870967744,58.290375,25.246451612903225,13.88254285714286,32.12688888888889,54.11011034482759,39.35689655172415,21.702517241379308,29.15717647058824,25.6532,40.48137931034483,24.923357142857142,12.369310344827587,11.199496875,35.001400000000004,26.285636363636367,32.01709090909091,8.83625806451613,8.618357142857143,12.435462687172452,12.589851554505644,19.485071851950405,23.77460282284464,27.73292138337536,18.80570500927644
WG,Lower Photic,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,1.928460271171899,29.24392552574006,27.97430147429754,26.74331641326228,26.291529945935824,33.699539282665235,33.99216335491185,27.14561140170148,26.090859178256235,28.949263956916635,41.68221263662184,26.31065453996708,26.134829593431668,23.948100124126174,23.35272867633081,8.643235638441569,25.99570486803896,30.382579459440297,45.77334363714805,7.27,26.60941869183521,31.7,17.3,32.0,2.5,3.875,7.9,27.3,27.801187111362356,9.530935640886966,7.5,4.838903225806452,22.52128125,3.0506129032258062,12.7179,17.0659,19.8921,5.333312903225806,8.4786,10.682586206896552,9.31714285714286,12.573561018088936,10.540017857142857,28.370700000000003,11.957,14.239700000000004,29.4577,18.66641379310345,10.3265,134.54254838709682,11.992064516129034,18.3703,26.2983870967742,56.69123076923076,16.830967741935485,23.19968571428572,42.393,40.00160000000001,11.807068965517242,24.513724137931035,43.5439411764706,34.8927,28.67431034482759,28.999607142857148,18.55396551724138,10.180434375,45.3279,52.966545454545454,27.57027272727273,22.51141935483871,9.200678571428572,16.818423063686446,20.62254224294239,30.096190375562976,24.567944961287797,25.86750806670537,28.74298237476809
WG,Deep,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,34.55853561698224,33.03907666205296,36.739071498959376,35.00043713205352,34.35304712346864,45.08631213163012,39.54049608092768,37.95982650627889,37.23297663432428,39.788775841329496,51.87527857185879,35.93031942176003,36.16579082900655,37.444858308902646,37.88229545637152,38.72499627166516,39.8544818517583,42.67838478438271,48.25614418073125,41.31444444444444,39.89355280556059,101.92222222222222,100.63333333333333,109.55555555555556,101.94444444444444,35.09027777777777,114.34444444444446,110.74444444444444,104.88415928647696,83.23750375578392,95.25,85.73931653225806,95.686571875,70.43776436491935,91.4846375,103.6437515625,106.444475,102.5172491935484,106.54440887096776,106.2237952586207,109.18526785714286,150.96014444444444,108.09492118226603,119.97893991935484,106.0570120967742,111.39295483870968,111.30485524193548,105.05573879310346,108.20033064516127,116.34406451612904,113.24085483870968,118.4422375,124.58860887096776,188.69901923076924,98.10777671370968,25.296042857142854,153.56894444444447,121.01214913793106,113.18934627363738,136.69844935344827,113.3174295540797,126.010475,135.68290086206898,144.15366964285715,98.346325,120.014990625,127.586625,147.12395008116886,111.47231321022728,116.84373387096775,118.618875,116.85214586211735,116.32609203428224,129.2272261849329,113.5387465443068,112.56487395326894,128.51014645176252
WP,Surface,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,1.472095581020705,30.88104954532601,21.334503036024163,20.830502180510397,20.96816053254445,22.29567814871631,13.365840702237431,18.225835091619967,18.59675402175958,14.03738229711552,22.84158470409032,14.157562446476588,16.062145859873173,18.318707577267784,18.677222830725977,16.64103040402839,13.263758087500108,17.816984783185752,17.319403442864154,12.390994656683274,12.90214469762665,26.366666666666664,7.966666666666668,4.0,4.833333333333333,2.3125,12.9,8.633333333333333,11.482362916902204,7.758085451595457,8.5,5.540193548387097,6.271174336488047,10.534572124031008,4.049703990775375,3.518547171999314,15.906433333333332,1.8268612903225807,3.405933333333333,5.435000000000001,4.658571428571428,5.355255437223433,1.8051964285714288,4.094366666666667,4.348,6.630700000000001,87.89739139784946,4.797793103448276,9.2395,33.48661290322581,6.031096774193547,13.297633333333332,8.064838709677423,70.61580528846154,25.947741935483872,8.913400000000001,34.74374074074074,14.275933333333334,11.807068965517244,29.0116551724138,16.04923529411765,27.64603333333333,12.556724137931036,49.96317857142858,24.55120689655173,31.580746875,49.31356666666667,37.48503030303031,43.38118181818182,15.849161290322582,11.529964285714286,18.14064028009177,19.47828791566037,27.2931915729194,33.22307691649736,38.05778874925757,26.30613945578231
WP,Mid-Depth,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,3.7539190317766735,33.70880921551994,33.24846420219202,35.65329182952232,34.888078094361845,21.845813333093407,25.12381302042195,19.738339723665405,20.19085382938365,27.78257727038961,25.20541553701465,16.70273171520454,18.3845502438938,16.69005369227681,17.646296197301336,18.42287315907802,24.800933574652465,17.66618658215681,17.742207071496516,16.146953077796013,23.460856010432725,31.7,14.3,4.0,12.5,1.6875,6.9,8.3,14.774053137365744,7.494159004867497,5.5,3.786967741935485,6.531673323533035,4.139400651162791,5.802776944061648,5.764460121106393,3.5870999999999995,0.0736354838709677,3.0436,5.060172413793104,12.811071428571427,5.789355359988912,6.718562065963826,7.717699999999999,6.522,9.8917,44.6757,7.421586206896552,14.6745,10.308967741935485,26.71916129032258,16.1963,9.46741935483871,60.45392307692308,23.14258064516129,14.81425714285714,32.730777777777774,18.2616,16.305,29.0116551724138,11.893058823529412,14.239700000000004,3.935689655172415,44.139964285714285,14.05603448275862,37.69512187499999,49.675900000000006,50.002,55.23936363636364,17.251741935483874,15.023892857142856,22.23616015313112,23.02098120321197,32.91471604829338,41.562217296312106,48.1103755940709,31.768028756957328
