location,depth_group,14/02/2014,18/02/2014,19/02/2014,26/02/2014,26/03/2014,22/04/2014,23/04/2014,27/04/2014,19/05/2014,24/06/2014,25/06/2014,22/07/2014,23/07/2014,12/08/2014,13/08/2014,08/09/2014,09/09/2014,25/09/2014,07/10/2014,08/10/2014,11/11/2014,12/11/2014,08/12/2014,09/12/2014,13/01/2015,14/01/2015,10/02/2015,11/02/2015,10/03/2015,11/03/2015,14/04/2015,05/05/2015,09/06/2015,14/07/2015,15/07/2015,10/08/2015,11/08/2015,09/09/2015,06/10/2015,07/10/2015,11/11/2015,12/11/2015,08/12/2015,19/01/2016,20/01/2016,16/02/2016,17/02/2016,01/03/2016,08/03/2016,09/03/2016,12/04/2016,13/04/2016,17/05/2016,18/05/2016,14/06/2016,15/06/2016,12/07/2016,13/07/2016,09/08/2016,10/08/2016,06/09/2016,07/09/2016,11/10/2016,12/10/2016,08/11/2016,09/11/2016,05/12/2016,07/02/2017,08/02/2017,13/03/2017,14/03/2017,18/04/2017,19/04/2017,16/05/2017,17/05/2017,13/06/2017,21/06/2017,11/07/2017,12/07/2017,08/08/2017,09/08/2017,12/09/2017,13/09/2017,12/10/2017,13/10/2017,07/11/2017,08/11/2017,13/12/2017,14/12/2017,11/01/2018,07/02/2018,28/02/2018,13/03/2018,15/03/2018,10/04/2018,12/04/2018,15/05/2018,16/05/2018,12/06/2018,13/06/2018,17/07/2018,18/07/2018,14/08/2018,16/08/2018,11/09/2018,12/09/2018,24/09/2018,10/10/2018,14/11/2018,12/12/2018,12/02/2019,12/03/2019,09/04/2019,14/05/2019,12/06/2019,12/07/2019,13/08/2019,10/09/2019,23/01/2020,11/02/2020,10/03/2020,14/04/2020,12/05/2020,09/06/2020,14/07/2020,11/08/2020,08/09/2020,13/10/2020,10/11/2020,08/12/2020,19/01/2021,16/02/2021,16/03/2021,13/04/2021,11/05/2021,08/06/2021,13/07/2021,10/08/2021,07/09/2021,12/10/2021,09/11/2021,07/12/2021,18/01/2022,08/02/2022,08/03/2022,05/04/2022,10/05/2022,14/06/2022,12/07/2022,09/08/2022,06/09/2022,18/10/2022,08/11/2022,06/12/2022,17/01/2023,14/02/2023,14/03/2023,11/04/2023,09/05/2023,13/06/2023,18/07/2023,16/08/2023,05/09/2023,18/10/2023,14/11/2023,05/12/2023
SA,Surface,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,25.158822651410706,39.84020506604036,46.14377290218321,48.45791568723112,47.73744933230499,60.56436047329195,21.9831228110209,37.29898537148368,37.53853753536136,17.74849545604724,39.650893752117526,42.063492063492056,40.78458505864623,24.4353363903908,26.76806920253527,34.34201352650103,22.283007812053693,47.96779669105639,49.6525368566269,41.64333333333334,24.094294743430712,23.46376811594203,15.724637681159416,15.15277777777778,14.333333333333334,16.075757575757574,18.18181818181818,14.333333333333336,17.68065216025867,16.68965812093707,12.833333333333334,9.69743780751368,6.914172324982346,14.263888888888893,10.803030303030305,9.892857142857144,24.24691358024691,5.0638297872340425,4.265151515151515,13.786666666666669,4.893939393939394,5.736434108527131,6.398550724637681,7.229166666666668,15.106884057971016,24.68923076923077,14.617283950617283,19.945249597423512,13.318840579710146,11.318181818181818,8.17948717948718,11.515151515151514,9.272727272727272,28.786666666666665,10.603174603174605,12.710144927536234,11.775,13.04761904761905,13.412698412698411,13.653333333333334,11.884615384615383,10.86904761904762,13.909090909090908,17.761904761904763,11.999999999999998,12.77777777777778,13.56521739130435,12.077777777777778,12.787878787878787,14.922222222222222,10.840579710144928,12.587333057191737,13.7391406352672,11.78230740008122,13.174595836820362,12.944888273895051,11.724838446577577
SA,Mid-Depth,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,21.42731814807395,36.30458368058186,28.594638946004437,24.064426531245847,25.485732051118905,37.462249141204126,22.13315591421932,48.76148127067697,47.06468085309231,21.09424990276401,32.721577402954026,7.738095238095236,11.84156486977972,28.99810873086487,27.637589906677466,30.4352010501512,22.226331074316747,33.097182176055185,33.23591113188353,22.7,22.69087331275824,19.26086956521739,14.130434782608695,14.041666666666668,11.909090909090908,13.5,15.0,14.478260869565217,15.553491696774564,14.217250217508877,21.77272727272727,10.011320182094082,8.07984799749638,21.625000000000004,12.318181818181818,12.39285714285714,13.629629629629628,5.0638297872340425,7.749999999999999,11.12,5.5,6.27906976744186,6.326086956521739,5.145833333333334,13.956521739130434,28.423076923076927,15.48148148148148,29.13043478260869,14.043478260869565,13.136363636363637,9.846153846153848,11.363636363636362,10.181818181818182,28.12,8.857142857142858,12.56521739130435,11.060714285714289,11.142857142857144,12.61904761904762,12.72,11.115384615384617,3.25,14.363636363636363,22.782608695652176,22.5,10.833333333333334,18.782608695652176,10.633333333333333,11.727272727272728,13.033333333333331,14.173913043478263,13.38167075028609,13.052221025049068,14.035605276602436,12.294058103853663,12.033970482834944,14.060116694899303
SA,Lower Photic,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,23.784057834391906,41.355471374094,57.562591501179085,56.77387789949884,57.0626661275949,56.14482613150124,28.144176217259115,71.88410230870478,69.64695904509348,26.112881572839164,49.16077908281121,36.30952380952381,36.266784593270245,27.287069103187097,28.828083080657716,46.62056702360049,28.33470166166617,45.33792509614684,48.3027615697737,27.44,29.25157416721116,15.78260869565218,23.26086956521739,16.125000000000004,20.545454545454543,16.227272727272723,21.818181818181817,17.956521739130434,18.024203062403227,20.390152138641334,13.590909090909092,11.860513174230928,21.496035350881908,13.291666666666666,17.77272727272727,42.96551724137932,17.88888888888889,8.893617021276595,10.93181818181818,10.72,6.181818181818181,6.046511627906977,5.239130434782608,4.9375,14.391304347826086,17.959999999999997,15.48148148148148,33.04347826086956,20.13043478260869,9.954545454545451,13.692307692307692,12.727272727272728,12.0,26.52,26.791666666666668,13.869565217391305,15.703571428571427,15.428571428571429,30.217391304347828,21.500000000000004,14.576923076923078,9.678571428571429,15.727272727272728,19.30434782608696,15.636363636363637,13.750000000000002,15.739130434782613,16.966666666666665,17.782608695652172,18.366666666666667,19.40909090909091,18.78247741138312,18.4838104076256,17.902153370163642,18.084378113418087,17.95058004316351,17.996328046130415
SA,Deep,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,24.07865029518165,46.65890345228173,70.15046584970231,66.75303255422008,67.88789504195134,68.19810160911229,201.57916340747795,103.30715141166566,100.43829477717856,234.0724314015784,72.21264330039102,80.6547619047619,75.60999987348931,52.66749024707411,54.661120251205205,64.48028120119972,199.1208597239816,57.50382767421695,58.87409609050837,84.86,185.0606828632094,24.26086956521739,30.869565217391305,25.5,21.863636363636363,46.0,42.27272727272727,62.30434782608695,26.64947034679382,39.90428968120788,19.045454545454543,23.016873591759783,12.072094799775844,17.875000000000004,28.35,15.379310344827587,16.59259259259259,13.574468085106382,16.613636363636363,26.54166666666667,6.181818181818181,6.27906976744186,8.717391304347826,5.145833333333334,20.125,23.038461538461537,18.444444444444443,29.565217391304344,19.910326086956523,23.94782608695652,22.695652173913047,32.30434782608696,12.909090909090908,44.12,10.761904761904765,14.73913043478261,15.703571428571427,17.92857142857143,25.869565217391308,17.919999999999998,20.73076923076924,7.178571428571429,33.041666666666664,29.73913043478261,22.5,13.750000000000002,14.434782608695652,15.3,27.78260869565217,37.77272727272727,30.318181818181813,32.534520040157545,34.613839543056244,22.42942300111825,30.649864322900623,29.19195083356698,22.93310405010009
WG,Surface,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,23.19487291281241,47.24817368319149,42.34359650190504,40.23268149499857,39.40275683387294,36.055785933986726,44.69421442777075,56.43213248562464,57.85242629417508,38.90516370839989,40.75055727722503,37.8588574132466,37.698412698412696,25.026729100005525,22.153950220153764,25.65425169706837,33.96993614780104,32.71474748489197,41.35277523844038,22.9,36.01714820386798,23.60869565217391,13.405797101449275,16.402777777777782,11.757575757575756,9.863636363636362,15.303030303030305,8.681159420289854,17.617179798079103,12.864006538448656,11.318181818181818,12.234567901234565,7.2063492063492065,8.152777777777779,11.106060606060604,8.702380952380953,38.14814814814815,5.0638297872340425,5.7803030303030285,8.986666666666666,5.12121212121212,8.68217054263566,4.876811594202898,6.118055555555556,13.08695652173913,9.826666666666668,13.259259259259258,14.370370370370368,10.855072463768115,7.075757575757575,6.512820512820514,11.06060606060606,9.575757575757576,53.85333333333333,9.333333333333334,11.695652173913045,8.917857142857144,10.309523809523808,12.61904761904762,14.586666666666668,9.705128205128204,8.726190476190476,15.121212121212125,10.142857142857144,9.575757575757576,11.111111111111112,13.130434782608695,9.522222222222224,15.21212121212121,11.92222222222222,7.362318840579711,10.22083230950325,11.530230440808008,9.214832475295948,13.63135004450112,14.341913412109967,9.103093042223476
WG,Mid-Depth,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,26.72998244228934,48.93180291436221,45.03898538882901,45.128462236440406,45.13153080232404,44.0061436936338,59.15814500090399,53.55754921228608,55.28324617883865,46.34926719992353,30.504184284154928,45.29769812356282,46.42857142857142,24.7070733380696,20.728083863755614,34.94814660145486,31.27237515222616,37.70487684826695,49.703942197495,34.84,39.415677324057846,19.47826086956522,15.652173913043477,13.416666666666668,11.227272727272728,12.363636363636363,13.409090909090908,10.130434782608695,15.769193272216349,13.769593434759091,10.636363636363637,10.814814814814817,8.952380952380953,7.25,9.818181818181818,9.0,39.27777777777778,4.425531914893616,5.136363636363636,10.32,3.568181818181818,4.3023255813953485,4.586956521739131,4.9375,13.73913043478261,5.960000000000001,13.444444444444445,14.555555555555554,10.347826086956523,6.3181818181818175,10.23076923076923,7.727272727272727,7.909090909090908,47.32,14.937500000000002,10.391304347826088,12.667857142857144,9.0,12.857142857142858,10.72,7.846153846153847,8.428571428571429,12.772727272727272,10.61904761904762,8.818181818181818,9.791666666666668,12.47826086956522,9.8,10.59090909090909,13.366666666666667,7.217391304347826,9.919297383441334,11.656328594140746,9.09527489945898,11.017526800302871,10.746416412483647,8.980124223602484
WG,Lower Photic,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,24.37324275597139,56.5081344546304,49.87542774038578,52.48004169375504,53.44749301459174,34.667457971882804,62.77412764418731,48.75431070205598,49.94725670852454,52.02415480311666,26.112881572839164,54.01751793789106,55.35714285714285,32.51162235312453,28.42776218830561,33.468938654769495,41.03940634310074,32.33630361761359,37.46851153655452,32.77,46.42325390381361,21.869565217391308,15.43478260869565,10.708333333333334,9.181818181818182,8.954545454545453,13.181818181818182,11.869565217391305,15.2107941930674,12.471663991004643,9.045454545454543,10.999999999999998,4.19047619047619,7.041666666666667,5.954545454545454,10.607142857142858,26.4074074074074,5.0638297872340425,5.931818181818181,12.32,4.136363636363637,4.651162790697675,3.282608695652174,4.104166666666667,13.08695652173913,7.160000000000001,7.333333333333332,8.444444444444445,7.521739130434782,4.954545454545454,7.923076923076923,7.272727272727272,7.0,46.92,6.476190476190477,9.08695652173913,10.346428571428572,9.357142857142856,10.714285714285715,7.919999999999999,6.884615384615385,4.678571428571429,14.363636363636363,9.666666666666666,6.999999999999999,9.166666666666666,16.17391304347826,16.633333333333333,16.27272727272727,9.033333333333331,6.3478260869565215,8.878859020352571,9.671158912637829,11.533804053080422,13.461076794325107,14.78325173401601,11.200715226802185
WG,Deep,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,51.03386045744317,44.19659570169458,49.34221692389372,47.26074979995016,46.425124924232335,68.7655685493888,69.93913028921165,67.69005214325098,70.50069763121593,81.2688629533307,39.91411866554584,56.32363609273873,58.86243386243385,42.36149045466978,40.4684114201122,55.42282717787965,100.94386431379816,61.68243568215807,75.34008262994173,54.99888888888889,88.23062396961227,34.18840579710145,40.26570048309178,38.11574074074075,40.898989898989896,37.84343434343434,45.8080808080808,35.44444444444444,37.598416411102285,41.35764326074012,35.63636363636363,30.2516835016835,101.6082251082251,30.659455128205128,33.43068181818182,26.5631157635468,33.35185185185185,17.09308510638298,17.823747680890538,31.841875,18.463249516441003,16.584124347413383,18.40833333333333,19.49351728723404,36.25611413043478,46.370576923076925,35.06884057971015,36.028985507246375,31.986865942028988,30.809881422924903,35.12959866220736,32.42094861660079,35.90719696969697,88.87,37.16220238095238,12.021739130434783,36.93295454545454,32.73809523809524,40.0388198757764,36.79541666666667,32.53884615384615,36.57232142857143,38.93513257575758,39.6692546583851,35.090909090909086,37.94429347826087,41.35717391304348,41.866123188405794,35.09387351778656,42.48030303030303,37.93280632411067,39.07827771888317,40.341572003797424,39.84731389639482,37.30134010571583,36.19172162693931,39.72369573772736
WP,Surface,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,24.96242767755088,44.89109275955249,56.8252403634295,59.9154636241333,58.96166204969144,43.48888688000964,27.28512500897002,47.180447353546846,47.51531496906691,26.74021053159856,49.81562657437226,61.507936507936506,57.65973191616728,24.81556741876364,28.99816898243245,33.78389745845105,27.330116566982763,36.93685912184021,38.371797105670055,30.458470010620477,27.580889938349213,18.971014492753625,13.840579710144928,18.20833333333333,11.757575757575756,16.530303030303028,13.484848484848484,11.72463768115942,17.20344540844332,14.625753621050729,10.56060606060606,11.864197530864198,8.206153095195564,10.410614292925038,7.764178708356242,6.690976528166341,13.320987654320987,6.127659574468086,5.249999999999999,12.32,5.424242424242425,5.426356589147287,6.326086956521739,7.576388888888889,13.666666666666666,19.775897435897438,12.148148148148149,14.0,10.130434782608695,14.5,9.974358974358976,9.696969696969694,9.272727272727272,26.641290322580645,7.904761904761905,13.434782608695654,14.036904761904765,10.071428571428571,18.96825396825397,18.46333333333333,10.85897435897436,11.94047619047619,19.75757575757576,9.66666666666667,11.545454545454549,10.13888888888889,17.043478260869566,11.411111111111111,8.848484848484848,11.033333333333331,9.681159420289855,10.023592321391378,10.399271875176431,11.730082834449002,9.500795706637971,9.17281110356204,11.609649287910155
WP,Mid-Depth,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,23.19487291281241,49.94198045306462,38.88074466059029,36.81556859005633,37.44571952597791,44.27234978605436,33.112376818970006,43.42549180036285,57.533651843573786,33.14526611902869,165.94884292716122,511.9047619047618,437.0868867871848,27.287069103187097,68.91902345572537,36.01636173065096,33.19406257559622,37.540645662532086,38.86169299557457,33.270136421731664,33.241377669693684,21.869565217391308,12.391304347826086,13.625000000000002,13.272727272727272,19.40909090909091,16.363636363636363,10.56521739130435,15.62872047582766,16.12817525550613,14.954545454545451,9.51851851851852,8.421691935257948,11.593681415924832,6.435277168976553,5.394865598110628,11.77777777777778,2.5106382978723403,5.704545454545453,18.32,7.090909090909091,6.744186046511628,6.978260869565217,4.729166666666667,13.956521739130434,16.759999999999998,8.444444444444445,10.296296296296296,12.739130434782613,11.318181818181817,9.076923076923077,9.999999999999998,9.272727272727272,33.72,5.523809523809524,12.56521739130435,11.775,12.214285714285715,16.904761904761905,11.52,13.807692307692308,6.464285714285715,12.545454545454543,13.952380952380953,10.636363636363637,12.5,17.91304347826087,10.3,14.454545454545457,3.0333333333333328,9.391304347826088,7.9646852336789795,6.20280437415757,11.426778626354194,10.980145857410434,12.718013101790694,11.311010728402032
