location,depth_group,14/02/2014,18/02/2014,19/02/2014,26/02/2014,26/03/2014,22/04/2014,23/04/2014,27/04/2014,19/05/2014,24/06/2014,25/06/2014,22/07/2014,23/07/2014,12/08/2014,13/08/2014,08/09/2014,09/09/2014,25/09/2014,07/10/2014,08/10/2014,11/11/2014,12/11/2014,08/12/2014,09/12/2014,13/01/2015,14/01/2015,10/02/2015,11/02/2015,10/03/2015,11/03/2015,14/04/2015,05/05/2015,09/06/2015,14/07/2015,15/07/2015,10/08/2015,11/08/2015,09/09/2015,06/10/2015,07/10/2015,11/11/2015,12/11/2015,08/12/2015,19/01/2016,20/01/2016,16/02/2016,17/02/2016,01/03/2016,08/03/2016,09/03/2016,12/04/2016,13/04/2016,17/05/2016,18/05/2016,14/06/2016,15/06/2016,12/07/2016,13/07/2016,09/08/2016,10/08/2016,06/09/2016,07/09/2016,11/10/2016,12/10/2016,08/11/2016,09/11/2016,05/12/2016,07/02/2017,08/02/2017,13/03/2017,14/03/2017,18/04/2017,19/04/2017,16/05/2017,17/05/2017,13/06/2017,21/06/2017,11/07/2017,12/07/2017,08/08/2017,09/08/2017,12/09/2017,13/09/2017,12/10/2017,13/10/2017,07/11/2017,08/11/2017,13/12/2017,14/12/2017,11/01/2018,07/02/2018,28/02/2018,13/03/2018,15/03/2018,10/04/2018,12/04/2018,15/05/2018,16/05/2018,12/06/2018,13/06/2018,17/07/2018,18/07/2018,14/08/2018,16/08/2018,11/09/2018,12/09/2018,24/09/2018,10/10/2018,14/11/2018,12/12/2018,12/02/2019,12/03/2019,09/04/2019,14/05/2019,12/06/2019,12/07/2019,13/08/2019,10/09/2019,23/01/2020,11/02/2020,10/03/2020,14/04/2020,12/05/2020,09/06/2020,14/07/2020,11/08/2020,08/09/2020,13/10/2020,10/11/2020,08/12/2020,19/01/2021,16/02/2021,16/03/2021,13/04/2021,11/05/2021,08/06/2021,13/07/2021,10/08/2021,07/09/2021,12/10/2021,09/11/2021,07/12/2021,18/01/2022,08/02/2022,08/03/2022,05/04/2022,10/05/2022,14/06/2022,12/07/2022,09/08/2022,06/09/2022,18/10/2022,08/11/2022,06/12/2022,17/01/2023,14/02/2023,14/03/2023,11/04/2023,09/05/2023,13/06/2023,18/07/2023,16/08/2023,05/09/2023,18/10/2023,14/11/2023,05/12/2023
SA,Surface,6.076306779,6.098287049,6.104347826,6.154960249,7,5.1,5.227597765,5.375616438,5.3,5.5,5.477926421,5.3,5.295081967,5.1,5.204299584,6.5,6.327272727,5.577900552,5.05,5.171610518,5.8,5.645874002,4,4.184497445,5.5,5.416421405,5.29,5.29665272,5.2,5.301949153,7.1,6.12079063,5.1,5.4,5.444720497,6.3,6.21305668,5.75,6.05,6.029131175,6,5.995328849,6.228705637,6.7,6.523404255,6,5.75511811,3.6,4.360509554,4.40369254,5.1,5.16254417,7.5,7.365694683,7.2,7.09832636,5.3,5.474058577,6.3,6.316736402,7.5,7.365254237,6.25,6.237049743,5.1,5.258116883,6.5,7.1,6.95908347,4.8,5.025,7,6.992307692,8.5,8.255230126,6,6.133025404,5.1,5.19665272,5.8,5.788983051,6.4,6.454340836,7.8,7.615189873,6.2,6.321126761,6.6,6.615174507,5.88214826,5.69097035,5.384,4.1,4.613176198,7.55,7.337129704,8.475,8.305231561,6.5,6.582838983,5.825,5.906603774,6.6,6.650593472,7.825,7.688204593,7.251,6.881845966,5.925,6,6.9,6.05,6.93,6.25,5.65,4.625,8.175,7.05,5.941555201,5.75,5.438609297,5.34491407,6.1,3.5,4.9,6.1,6.325,6.8375,4.2,5.45,4.83,6.275,4.75,4.525,6.025,4.8125,5.8,6.4,5.625,5.175,5.2,6.125,6.8,7.05,4.55,5.225,5.775,5.75,5.7125,6.775,6.925,6.025,6.625,6.2,6.375,7.2125,5.1125,7.2375,7.5625,5.833333333,5.975,5.15,6.1125,5.55,6,5.275
SA,Mid-Depth,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
SA,Lower Photic,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
SA,Deep,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
WG,Surface,5.909544282,5.374472978,5,6.393250748,9.1,10.70431655,11,10.63190184,9.930797653,8.855319149,9,6.928150134,6.6,8.620028209,9,6.01875,5.9,5.1,5.226898048,5.2,6.167629046,6.2,6.550346021,6.5,7.688118812,8,4.39748954,4,6.612676056,6.5,12,9.336039604,6.8,10.04659284,10.375,7.953357817,7.9,6,7.378929766,7.55,5.99084507,6,4.65,6.858774373,7.1,4.953206651,5.2,4.05,3.722566372,3.5,4.168867269,4,7.618644068,8,5.208786611,5,5.579916318,5.35,9.178033473,9.65,6.418953688,6.2,6.232627119,6.2,6.675,6.75,6.1,5.470967742,5.5,4.922284123,4.6,10.23168317,10.4,12.00411664,12.4,7.743612335,6.8,5.996721311,5.9,6.361063465,6.3,7.835087719,8.1,5.244351464,5,5.941218638,6,6.154200988,6.2,5.687792684,6.244499199,5.79214876,4.919821971,4.25,9.241939547,9.8,9.038850174,9.2,6.290737564,5.95,8.577156943,8.75,8.377218935,8.225,9.183441558,9.5,7.837948628,5.5,6.25,6.73,8.75,7.475,8.18,7.768751886,6.9,6.975,7.9,9.05,7.825,5.825,5.575,6.825,7.58,5.775,6.975,5.9,6.525,6.65,8.3,6.6875,6,6.15,6.55,6.6,5.35,5.7,6,6.4,7.25,7.35,7.125,6.25,6.55,9.225,6.275,8.0175,7.7,6.425,6.9625,8.2875,7.3625,7.575,8.8,6.9,7.625,8.125,7.5925,9.6,10.35,7.6,5.95,7.025,6.15,5.375,6.7,6.25
WG,Mid-Depth,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
WG,Lower Photic,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
WG,Deep,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
WP,Surface,7.021022592,7.017577052,7.016470588,7,7.1,7,7.006246575,6.776470588,6.020516157,4,4.24527584,6.711891892,7,5.6,5.671098266,5,5.006060606,4.837569061,4.5,4.579704191,5.5,5.49148181,6.1,6.154605809,7.873487157,8,7.598206278,7.585055644,7,7.084442405,8,6.552122987,3.9,7.5,7.360337178,8,7.822874494,5.5,6.6,6.436182573,4.831234991,4.6,6.73,7,6.899476744,5.6,5.614754098,5.286203787,4.8,4.846300211,4.745,4.5,9.1,8.613380282,5,5.258995816,5.3,5.54048583,9.001315789,9.55,4.981389365,4.6,6.005932203,6,7.134375,7.3,5.95,6.238945712,6.3,5.64178273,5.3,10.94531516,11.4,8.9,8.775593952,4.5,5.140184758,4.5,4.612970711,6.3,6.183050847,6.1,6.08585209,5.7,5.836708861,7.4,7.247887324,6.5,6.520637329,6.224281392,6.356603774,6.084,4.55,5.17812983,9.45,8.967934347,8.35,8.082332762,3.3,3.752118644,6.3,6.416123499,10.4,9.947329377,9.05,9.045615866,8.984782609,8.787927292,7.369115816,6.45,7.9,6.525,3.95,5,4.45,4.725,6.525,4.675,7.075,5.55,6.05,6.131818182,5.431818182,4.828636364,4.179455044,4.425,4.1875,3.3875,6.8,6.5875,5.9025,5.95,6.3,5.425,4.7125,3.3125,4.525,4.5,3.625,7.2,6.9625,6.7875,7.3,10.1125,5.525,7.175,4.825,4.05,4.225,6.525,4.325,2.325,4.9,5.825,7.9,7.575,7.25,10.4,7.75,6.12,4.6,4.4375,4.65,4,5.85,6.3625
WP,Mid-Depth,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
