location,depth_group,date,mean_total_dissolved_solids
SA,Surface,2014-02-14,
SA,Mid-Depth,2014-02-14,
SA,Lower Photic,2014-02-14,
SA,Deep,2014-02-14,
WG,Surface,2014-02-14,
WG,Mid-Depth,2014-02-14,
WG,Lower Photic,2014-02-14,
WG,Deep,2014-02-14,
WP,Surface,2014-02-14,
WP,Mid-Depth,2014-02-14,
WP,Lower Photic,2014-02-14,
WP,Deep,2014-02-14,
SA,Surface,2014-02-18,
SA,Mid-Depth,2014-02-18,
SA,Lower Photic,2014-02-18,
SA,Deep,2014-02-18,
WG,Surface,2014-02-18,
WG,Mid-Depth,2014-02-18,
WG,Lower Photic,2014-02-18,
WG,Deep,2014-02-18,
WP,Surface,2014-02-18,
WP,Mid-Depth,2014-02-18,
WP,Lower Photic,2014-02-18,
WP,Deep,2014-02-18,
SA,Surface,2014-02-19,
SA,Mid-Depth,2014-02-19,
SA,Lower Photic,2014-02-19,
SA,Deep,2014-02-19,
WG,Surface,2014-02-19,
WG,Mid-Depth,2014-02-19,
WG,Lower Photic,2014-02-19,
WG,Deep,2014-02-19,
WP,Surface,2014-02-19,
WP,Mid-Depth,2014-02-19,
WP,Lower Photic,2014-02-19,
WP,Deep,2014-02-19,
SA,Surface,2014-02-26,
SA,Mid-Depth,2014-02-26,
SA,Lower Photic,2014-02-26,
SA,Deep,2014-02-26,
WG,Surface,2014-02-26,
WG,Mid-Depth,2014-02-26,
WG,Lower Photic,2014-02-26,
WG,Deep,2014-02-26,
WP,Surface,2014-02-26,
WP,Mid-Depth,2014-02-26,
WP,Lower Photic,2014-02-26,
WP,Deep,2014-02-26,
SA,Surface,2014-03-26,
SA,Mid-Depth,2014-03-26,
SA,Lower Photic,2014-03-26,
SA,Deep,2014-03-26,
WG,Surface,2014-03-26,
WG,Mid-Depth,2014-03-26,
WG,Lower Photic,2014-03-26,
WG,Deep,2014-03-26,
WP,Surface,2014-03-26,
WP,Mid-Depth,2014-03-26,
WP,Lower Photic,2014-03-26,
WP,Deep,2014-03-26,
SA,Surface,2014-04-22,
SA,Mid-Depth,2014-04-22,
SA,Lower Photic,2014-04-22,
SA,Deep,2014-04-22,
WG,Surface,2014-04-22,
WG,Mid-Depth,2014-04-22,
WG,Lower Photic,2014-04-22,
WG,Deep,2014-04-22,
WP,Surface,2014-04-22,
WP,Mid-Depth,2014-04-22,
WP,Lower Photic,2014-04-22,
WP,Deep,2014-04-22,
SA,Surface,2014-04-23,
SA,Mid-Depth,2014-04-23,
SA,Lower Photic,2014-04-23,
SA,Deep,2014-04-23,
WG,Surface,2014-04-23,
WG,Mid-Depth,2014-04-23,
WG,Lower Photic,2014-04-23,
WG,Deep,2014-04-23,
WP,Surface,2014-04-23,
WP,Mid-Depth,2014-04-23,
WP,Lower Photic,2014-04-23,
WP,Deep,2014-04-23,
SA,Surface,2014-04-27,
SA,Mid-Depth,2014-04-27,
SA,Lower Photic,2014-04-27,
SA,Deep,2014-04-27,
WG,Surface,2014-04-27,
WG,Mid-Depth,2014-04-27,
WG,Lower Photic,2014-04-27,
WG,Deep,2014-04-27,
WP,Surface,2014-04-27,
WP,Mid-Depth,2014-04-27,
WP,Lower Photic,2014-04-27,
WP,Deep,2014-04-27,
SA,Surface,2014-05-19,
SA,Mid-Depth,2014-05-19,
SA,Lower Photic,2014-05-19,
SA,Deep,2014-05-19,
WG,Surface,2014-05-19,
WG,Mid-Depth,2014-05-19,
WG,Lower Photic,2014-05-19,
WG,Deep,2014-05-19,
WP,Surface,2014-05-19,
WP,Mid-Depth,2014-05-19,
WP,Lower Photic,2014-05-19,
WP,Deep,2014-05-19,
SA,Surface,2014-06-24,
SA,Mid-Depth,2014-06-24,
SA,Lower Photic,2014-06-24,
SA,Deep,2014-06-24,
WG,Surface,2014-06-24,
WG,Mid-Depth,2014-06-24,
WG,Lower Photic,2014-06-24,
WG,Deep,2014-06-24,
WP,Surface,2014-06-24,
WP,Mid-Depth,2014-06-24,
WP,Lower Photic,2014-06-24,
WP,Deep,2014-06-24,
SA,Surface,2014-06-25,
SA,Mid-Depth,2014-06-25,
SA,Lower Photic,2014-06-25,
SA,Deep,2014-06-25,
WG,Surface,2014-06-25,
WG,Mid-Depth,2014-06-25,
WG,Lower Photic,2014-06-25,
WG,Deep,2014-06-25,
WP,Surface,2014-06-25,
WP,Mid-Depth,2014-06-25,
WP,Lower Photic,2014-06-25,
WP,Deep,2014-06-25,
SA,Surface,2014-07-22,
SA,Mid-Depth,2014-07-22,
SA,Lower Photic,2014-07-22,
SA,Deep,2014-07-22,
WG,Surface,2014-07-22,
WG,Mid-Depth,2014-07-22,
WG,Lower Photic,2014-07-22,
WG,Deep,2014-07-22,
WP,Surface,2014-07-22,
WP,Mid-Depth,2014-07-22,
WP,Lower Photic,2014-07-22,
WP,Deep,2014-07-22,
SA,Surface,2014-07-23,
SA,Mid-Depth,2014-07-23,
SA,Lower Photic,2014-07-23,
SA,Deep,2014-07-23,
WG,Surface,2014-07-23,
WG,Mid-Depth,2014-07-23,
WG,Lower Photic,2014-07-23,
WG,Deep,2014-07-23,
WP,Surface,2014-07-23,
WP,Mid-Depth,2014-07-23,
WP,Lower Photic,2014-07-23,
WP,Deep,2014-07-23,
SA,Surface,2014-08-12,
SA,Mid-Depth,2014-08-12,
SA,Lower Photic,2014-08-12,
SA,Deep,2014-08-12,
WG,Surface,2014-08-12,
WG,Mid-Depth,2014-08-12,
WG,Lower Photic,2014-08-12,
WG,Deep,2014-08-12,
WP,Surface,2014-08-12,
WP,Mid-Depth,2014-08-12,
WP,Lower Photic,2014-08-12,
WP,Deep,2014-08-12,
SA,Surface,2014-08-13,
SA,Mid-Depth,2014-08-13,
SA,Lower Photic,2014-08-13,
SA,Deep,2014-08-13,
WG,Surface,2014-08-13,
WG,Mid-Depth,2014-08-13,
WG,Lower Photic,2014-08-13,
WG,Deep,2014-08-13,
WP,Surface,2014-08-13,
WP,Mid-Depth,2014-08-13,
WP,Lower Photic,2014-08-13,
WP,Deep,2014-08-13,
SA,Surface,2014-09-08,
SA,Mid-Depth,2014-09-08,
SA,Lower Photic,2014-09-08,
SA,Deep,2014-09-08,
WG,Surface,2014-09-08,
WG,Mid-Depth,2014-09-08,
WG,Lower Photic,2014-09-08,
WG,Deep,2014-09-08,
WP,Surface,2014-09-08,
WP,Mid-Depth,2014-09-08,
WP,Lower Photic,2014-09-08,
WP,Deep,2014-09-08,
SA,Surface,2014-09-09,
SA,Mid-Depth,2014-09-09,
SA,Lower Photic,2014-09-09,
SA,Deep,2014-09-09,
WG,Surface,2014-09-09,
WG,Mid-Depth,2014-09-09,
WG,Lower Photic,2014-09-09,
WG,Deep,2014-09-09,
WP,Surface,2014-09-09,
WP,Mid-Depth,2014-09-09,
WP,Lower Photic,2014-09-09,
WP,Deep,2014-09-09,
SA,Surface,2014-09-25,
SA,Mid-Depth,2014-09-25,
SA,Lower Photic,2014-09-25,
SA,Deep,2014-09-25,
WG,Surface,2014-09-25,
WG,Mid-Depth,2014-09-25,
WG,Lower Photic,2014-09-25,
WG,Deep,2014-09-25,
WP,Surface,2014-09-25,
WP,Mid-Depth,2014-09-25,
WP,Lower Photic,2014-09-25,
WP,Deep,2014-09-25,
SA,Surface,2014-10-07,
SA,Mid-Depth,2014-10-07,
SA,Lower Photic,2014-10-07,
SA,Deep,2014-10-07,
WG,Surface,2014-10-07,
WG,Mid-Depth,2014-10-07,
WG,Lower Photic,2014-10-07,
WG,Deep,2014-10-07,
WP,Surface,2014-10-07,
WP,Mid-Depth,2014-10-07,
WP,Lower Photic,2014-10-07,
WP,Deep,2014-10-07,
SA,Surface,2014-10-08,
SA,Mid-Depth,2014-10-08,
SA,Lower Photic,2014-10-08,
SA,Deep,2014-10-08,
WG,Surface,2014-10-08,
WG,Mid-Depth,2014-10-08,
WG,Lower Photic,2014-10-08,
WG,Deep,2014-10-08,
WP,Surface,2014-10-08,
WP,Mid-Depth,2014-10-08,
WP,Lower Photic,2014-10-08,
WP,Deep,2014-10-08,
SA,Surface,2014-11-11,
SA,Mid-Depth,2014-11-11,
SA,Lower Photic,2014-11-11,
SA,Deep,2014-11-11,
WG,Surface,2014-11-11,
WG,Mid-Depth,2014-11-11,
WG,Lower Photic,2014-11-11,
WG,Deep,2014-11-11,
WP,Surface,2014-11-11,
WP,Mid-Depth,2014-11-11,
WP,Lower Photic,2014-11-11,
WP,Deep,2014-11-11,
SA,Surface,2014-11-12,
SA,Mid-Depth,2014-11-12,
SA,Lower Photic,2014-11-12,
SA,Deep,2014-11-12,
WG,Surface,2014-11-12,
WG,Mid-Depth,2014-11-12,
WG,Lower Photic,2014-11-12,
WG,Deep,2014-11-12,
WP,Surface,2014-11-12,
WP,Mid-Depth,2014-11-12,
WP,Lower Photic,2014-11-12,
WP,Deep,2014-11-12,
SA,Surface,2014-12-08,
SA,Mid-Depth,2014-12-08,
SA,Lower Photic,2014-12-08,
SA,Deep,2014-12-08,
WG,Surface,2014-12-08,
WG,Mid-Depth,2014-12-08,
WG,Lower Photic,2014-12-08,
WG,Deep,2014-12-08,
WP,Surface,2014-12-08,
WP,Mid-Depth,2014-12-08,
WP,Lower Photic,2014-12-08,
WP,Deep,2014-12-08,
SA,Surface,2014-12-09,
SA,Mid-Depth,2014-12-09,
SA,Lower Photic,2014-12-09,
SA,Deep,2014-12-09,
WG,Surface,2014-12-09,
WG,Mid-Depth,2014-12-09,
WG,Lower Photic,2014-12-09,
WG,Deep,2014-12-09,
WP,Surface,2014-12-09,
WP,Mid-Depth,2014-12-09,
WP,Lower Photic,2014-12-09,
WP,Deep,2014-12-09,
SA,Surface,2015-01-13,
SA,Mid-Depth,2015-01-13,
SA,Lower Photic,2015-01-13,
SA,Deep,2015-01-13,
WG,Surface,2015-01-13,
WG,Mid-Depth,2015-01-13,
WG,Lower Photic,2015-01-13,
WG,Deep,2015-01-13,
WP,Surface,2015-01-13,
WP,Mid-Depth,2015-01-13,
WP,Lower Photic,2015-01-13,
WP,Deep,2015-01-13,
SA,Surface,2015-01-14,
SA,Mid-Depth,2015-01-14,
SA,Lower Photic,2015-01-14,
SA,Deep,2015-01-14,
WG,Surface,2015-01-14,
WG,Mid-Depth,2015-01-14,
WG,Lower Photic,2015-01-14,
WG,Deep,2015-01-14,
WP,Surface,2015-01-14,
WP,Mid-Depth,2015-01-14,
WP,Lower Photic,2015-01-14,
WP,Deep,2015-01-14,
SA,Surface,2015-02-10,
SA,Mid-Depth,2015-02-10,
SA,Lower Photic,2015-02-10,
SA,Deep,2015-02-10,
WG,Surface,2015-02-10,
WG,Mid-Depth,2015-02-10,
WG,Lower Photic,2015-02-10,
WG,Deep,2015-02-10,
WP,Surface,2015-02-10,
WP,Mid-Depth,2015-02-10,
WP,Lower Photic,2015-02-10,
WP,Deep,2015-02-10,
SA,Surface,2015-02-11,
SA,Mid-Depth,2015-02-11,
SA,Lower Photic,2015-02-11,
SA,Deep,2015-02-11,
WG,Surface,2015-02-11,
WG,Mid-Depth,2015-02-11,
WG,Lower Photic,2015-02-11,
WG,Deep,2015-02-11,
WP,Surface,2015-02-11,
WP,Mid-Depth,2015-02-11,
WP,Lower Photic,2015-02-11,
WP,Deep,2015-02-11,
SA,Surface,2015-03-10,
SA,Mid-Depth,2015-03-10,
SA,Lower Photic,2015-03-10,
SA,Deep,2015-03-10,
WG,Surface,2015-03-10,
WG,Mid-Depth,2015-03-10,
WG,Lower Photic,2015-03-10,
WG,Deep,2015-03-10,
WP,Surface,2015-03-10,
WP,Mid-Depth,2015-03-10,
WP,Lower Photic,2015-03-10,
WP,Deep,2015-03-10,
SA,Surface,2015-03-11,
SA,Mid-Depth,2015-03-11,
SA,Lower Photic,2015-03-11,
SA,Deep,2015-03-11,
WG,Surface,2015-03-11,
WG,Mid-Depth,2015-03-11,
WG,Lower Photic,2015-03-11,
WG,Deep,2015-03-11,
WP,Surface,2015-03-11,
WP,Mid-Depth,2015-03-11,
WP,Lower Photic,2015-03-11,
WP,Deep,2015-03-11,
SA,Surface,2015-04-14,
SA,Mid-Depth,2015-04-14,
SA,Lower Photic,2015-04-14,
SA,Deep,2015-04-14,
WG,Surface,2015-04-14,
WG,Mid-Depth,2015-04-14,
WG,Lower Photic,2015-04-14,
WG,Deep,2015-04-14,
WP,Surface,2015-04-14,
WP,Mid-Depth,2015-04-14,
WP,Lower Photic,2015-04-14,
WP,Deep,2015-04-14,
SA,Surface,2015-05-05,
SA,Mid-Depth,2015-05-05,
SA,Lower Photic,2015-05-05,
SA,Deep,2015-05-05,
WG,Surface,2015-05-05,
WG,Mid-Depth,2015-05-05,
WG,Lower Photic,2015-05-05,
WG,Deep,2015-05-05,
WP,Surface,2015-05-05,
WP,Mid-Depth,2015-05-05,
WP,Lower Photic,2015-05-05,
WP,Deep,2015-05-05,
SA,Surface,2015-06-09,
SA,Mid-Depth,2015-06-09,
SA,Lower Photic,2015-06-09,
SA,Deep,2015-06-09,
WG,Surface,2015-06-09,
WG,Mid-Depth,2015-06-09,
WG,Lower Photic,2015-06-09,
WG,Deep,2015-06-09,
WP,Surface,2015-06-09,
WP,Mid-Depth,2015-06-09,
WP,Lower Photic,2015-06-09,
WP,Deep,2015-06-09,
SA,Surface,2015-07-14,
SA,Mid-Depth,2015-07-14,
SA,Lower Photic,2015-07-14,
SA,Deep,2015-07-14,
WG,Surface,2015-07-14,
WG,Mid-Depth,2015-07-14,
WG,Lower Photic,2015-07-14,
WG,Deep,2015-07-14,
WP,Surface,2015-07-14,
WP,Mid-Depth,2015-07-14,
WP,Lower Photic,2015-07-14,
WP,Deep,2015-07-14,
SA,Surface,2015-07-15,
SA,Mid-Depth,2015-07-15,
SA,Lower Photic,2015-07-15,
SA,Deep,2015-07-15,
WG,Surface,2015-07-15,
WG,Mid-Depth,2015-07-15,
WG,Lower Photic,2015-07-15,
WG,Deep,2015-07-15,
WP,Surface,2015-07-15,
WP,Mid-Depth,2015-07-15,
WP,Lower Photic,2015-07-15,
WP,Deep,2015-07-15,
SA,Surface,2015-08-10,
SA,Mid-Depth,2015-08-10,
SA,Lower Photic,2015-08-10,
SA,Deep,2015-08-10,
WG,Surface,2015-08-10,
WG,Mid-Depth,2015-08-10,
WG,Lower Photic,2015-08-10,
WG,Deep,2015-08-10,
WP,Surface,2015-08-10,
WP,Mid-Depth,2015-08-10,
WP,Lower Photic,2015-08-10,
WP,Deep,2015-08-10,
SA,Surface,2015-08-11,
SA,Mid-Depth,2015-08-11,
SA,Lower Photic,2015-08-11,
SA,Deep,2015-08-11,
WG,Surface,2015-08-11,
WG,Mid-Depth,2015-08-11,
WG,Lower Photic,2015-08-11,
WG,Deep,2015-08-11,
WP,Surface,2015-08-11,
WP,Mid-Depth,2015-08-11,
WP,Lower Photic,2015-08-11,
WP,Deep,2015-08-11,
SA,Surface,2015-09-09,
SA,Mid-Depth,2015-09-09,
SA,Lower Photic,2015-09-09,
SA,Deep,2015-09-09,
WG,Surface,2015-09-09,
WG,Mid-Depth,2015-09-09,
WG,Lower Photic,2015-09-09,
WG,Deep,2015-09-09,
WP,Surface,2015-09-09,
WP,Mid-Depth,2015-09-09,
WP,Lower Photic,2015-09-09,
WP,Deep,2015-09-09,
SA,Surface,2015-10-06,
SA,Mid-Depth,2015-10-06,
SA,Lower Photic,2015-10-06,
SA,Deep,2015-10-06,
WG,Surface,2015-10-06,
WG,Mid-Depth,2015-10-06,
WG,Lower Photic,2015-10-06,
WG,Deep,2015-10-06,
WP,Surface,2015-10-06,
WP,Mid-Depth,2015-10-06,
WP,Lower Photic,2015-10-06,
WP,Deep,2015-10-06,
SA,Surface,2015-10-07,
SA,Mid-Depth,2015-10-07,
SA,Lower Photic,2015-10-07,
SA,Deep,2015-10-07,
WG,Surface,2015-10-07,
WG,Mid-Depth,2015-10-07,
