,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,1.45726326039622,,,1.28503418,,,,,,,,,,,,,,,,,,,,,,,1.05928739656953,,,,,,,,,,,,,0.998591489541077,,,,,,1.28292991554747,,,,
1.0,,,,0.66,,,,,,,,,,,,,,,,,1.43,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78751067287069,,2.352355957,,,,,,,,,,,,,,,,,,,,,,,,1.04726566553604,,,,,,,,,,,,,,,,0.701195132,0.988712958613025,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07847783932714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8572482594064,,,,2.76312761386689,,,,,,,,,,,,,,
4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55160950594828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,,,,2.99565821648258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4663226247565,,,,,,,,,,,,,,,,,,,,,,,
6.0,,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,,,,,,,,,,,,,,,,,,,,3.40563861399567,,,,,1.74798064617541,,,,,,,,,,,,,,3.2671754556451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,,,,,,,,,,,,,,,,,,,2.37,,,,,,,,,,,,,,2.03,,,,,,,,,1.36,,,,,,,,,1.5701990759561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89776523523759,2.40381798128195,,,,,,,,
8.0,,,,,,,,,,3.51,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42889233549572,,,,,,,,,,,,,,,,,,,,4.14722744317634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,,,,,,,,,,,,,,4.92,,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29534374546665,,,,,,,,,,,,,,,,2.48880429633163,,,,,,,,,,,,,,,,,,,,,,2.2860200269350823,,,,,,,,,2.61302287621284,,,,,,,,,,,,
