,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
0.0,,7.55,,,,,,,,,,,,,,,,,,,,,,,,,7.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.982743578,,,,,,,,,,,,,,,,,,,,,,,,,,,7.17053525483275,,,,,,,,,,7.58146762574038,,,
1.0,,,,,,6.95,,,,,,,,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.63463680398341,,6.68478248873996,6.96782827839253,,,,,,7.92188216444611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,7.36,,,,,,,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99245088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98166116070887,,,,,,,7.60616816462007,,,,,,,,,,,,,,,
3.0,,,,,,6.98,7.26,,,,,,,,,,,,,,,,7.26,,,,,,,7.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,,,,,,,,,8.49,,,,,,,,7.15,,,,,,,8.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23244417676469,,,,,,,,,,,,,,,,,7.41164373903479,,,,,,,,,,,,,,,7.1003516070537,,,,,,,,,,,,7.00195409525901,
5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81673733932404,,,,,,,,,7.20619108982491,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.35173982532388,,,,,,,,,,,,,,,,,,
6.0,,,,,,,,,,,6.93,,,7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.31639459620431,,,,,,7.04227067051314,,,,,,,,,,,,,,,,,,,,7.38669974910502,,,7.00595136393411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45719876064987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4867345704448,,,,,,,,,,,,
8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61490628341066,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36501323859974,,,,,,,,,,,,,,,,,
9.0,,,,,7.53,,,,,,,,,,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.17860621032649,,,,,,,,,,7.26287928281111,,,,
