,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
0.0,,,,,,,,,9.61,,,,,,,,,,,,,,,,,,8.74,,,,8.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,9.92,,,,,,,,,,,,,,,,,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.729308128,,,,,,,,,,,,,,,,,,,,,,8.37119542036585,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,8.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75648462542099,,,,,,,,,,,,,,,,,,8.72358647725252,8.56965139538636,,,,,,,,,,,,,,,,,,,8.55024417272148,,,,,,
3.0,,,,,,,,,,,,,,,,8.77,,,,,,,,,,,,,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,8.67132240337397,,,,8.69274860460768,,,,,,,,,8.77944088,,,,,,8.42502894330317,,,,,,,,,,,,,,,,,,,,,,,8.17700993286718,,,,,,,,,9.49457044273078,,
4.0,,,8.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.18,,,,9.1,,,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.60972281985959,,,,,,,,,,,,,,,,,7.87371201567399,,,,,,,,,,,,,,,,
5.0,,,,,,,,,,,,,8.38,8.66,,,,,,,,,,,,,,,,,,,,,,,,,,,10.34,,,,,,,,,,,,,,,,8.48988854028196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.50017221905019,,
6.0,,,,,8.799999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.92238391163938,,,,,,8.84085118472502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.19323704027057,,7.28144304997901,,,,,,,
7.0,,,,,,,,,,,,,,,,,,,,,,7.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.91211858223379,,8.91149640898535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,,,,,,,,,,,,,,,,,8.62,,,,,,,,,,,8.76,,,,,,,,,,,,,,,,,,,,,,,8.87194993,,,,,,,,,,8.78849381886519,,,,,,,,,,,,,,,,,,8.48995602070327,,,,,,,,8.58850159359909,,,,,,,,,,,,,,,,,,,,,,
9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.72952150578555,,,,,,,,,,8.41181988978955,,,,,,,,,,,,,,,,,,,,,,,8.19588137465091,,,,,,,,,,,,,,,,,
10.0,,,,,,,,,,,8.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.90565820769787,,,,,8.8182530934894,,,,,8.7167769713547,,,,,,,,,,,,8.16369690451321,,,,,8.54071668801705,,,,,,,,,,,,,,,,,,,8.38908427844724,,,,,,,,,,,9.48995003957996,,
11.0,,,,,,,,,,,,,,,,,,,,,8.87,,,,,,,,,,,,,,,,,,,,10.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98102610018916,,,,,,,,,,
12.0,9.2,,,,,,,,,,,,,,,,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.89589201560805,,,,,,,,,,8.68451841420404,,,,,,,8.32728514755741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.73702350047342,,,
13.0,,,,,,,,,,,,,,,,,,,,8.91,,,,,,,,,,,,,,,,,,,,,,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.02695502113438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.16524919083012,,,,
15.0,,,,,,,9.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.58236526388012,,,,,8.365766107306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.35314321221519,,,,,,7.71068119573784,,,,,,7.34967025540158,,,
16.0,,,8.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84,,,8.80285320057741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
