,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
0.0,,,22.52,,,,,,,,,,20.72,,,,,,,,,,,,,,,,,,,,,,,,,,23.54,,,,,,,,,22.7749353605536,,,,,,,,,,,,,23.44760132,,,,,,,,,,22.6874777742493,21.89862061,,,,,,,,,,,,,,,19.7490862867092,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8053688133081,,,,,,,,,,,,,,,,,23.68768311,,,,,,,,,23.64285278,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2253509566571,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7609647277378,,,,,,,,,,,,,,,,,,,,20.9408423779728,,,,23.5119803443489,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.51,,,,,,,,,,,,,,,23.2613461781898,22.5944162,,,23.6575451756477,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4855965620365,,,,,,,,,,,,23.1618131446097,,,,,,,,,,,,,,,,
4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.97,,,,,,,,,,,,,,,,,,,,,,,,,23.875605851843,,,,,,,,,,,,,,,,,,23.4784722270958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6022743454377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9386429497551,,,,23.1449133907365,,,,,,,,,,,,,,,,,
6.0,,,,,,,,,,,,,,,,,,,23.69,,,,,,,,,,,,,,,20.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0018329346014,,,,,,,,,,,,,,23.9207221733882,,,,,,,,,,,,,,21.6983752284622,,,,,,,,,,,,
7.0,,,,,,,,,,,,,,,,,,,,,,21.55,,,,,,,,,,,,20.52,,,,,,23.68,,,,,,,,,,,23.2865415982654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,,,,,,,,,,,,,,20.54,,,,,,,,,,,,,,,,,,,21.67,,,,,,,,,,,,,,,,,,,23.4334928011979,,,,,,,,,,,,,,,,24.001480039784,,,,,,,,,,,,,,,,21.6951108815039,,,,,,,,,,,22.985461055752,,,,,,,,24.0075070231487,,,,,
9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6919378077332,,,,,,,,,,,,,,,,,,,,,
10.0,,,,,,,,,,,,,,,,,,,,,,,,,,23.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
