date,depth_group,mean_chlorophyll_a,std_chlorophyll_a,measurement_count
2014-02-19,Surface,4.042377,0.24659924920584997,10
2014-02-19,Mid-Depth,4.672200411194192,0.505696637104119,10
2014-02-19,Lower Photic,3.4900084411217365,0.35464331125813764,10
2014-02-19,Deep,0.7398299019336847,0.8091480097650526,23
2014-03-26,Surface,2.8564000000000003,1.6629201367083024,10
2014-03-26,Mid-Depth,0.9003333333333334,0.2837917598574049,10
2014-03-26,Lower Photic,1.7382355135351404,0.2030759195756998,10
2014-03-26,Deep,0.5948307280557834,0.2830190548381569,23
2014-04-23,Surface,0.550778,0.1498927303700142,10
2014-04-23,Mid-Depth,0.7449999999999999,0.038369548110737804,10
2014-04-23,Lower Photic,0.8105,0.024545875417267136,10
2014-04-23,Deep,0.18781547820816974,0.24119195385475617,23
2014-04-27,Surface,0.7304583124187003,0.09111846603488293,10
2014-04-27,Mid-Depth,0.9470000000000001,0.35437111745864514,10
2014-04-27,Lower Photic,1.074,0.04141926551202414,10
2014-04-27,Deep,0.2171807265751511,0.25881690805449337,23
2014-06-25,Surface,0.359,0.05363456596884762,10
2014-06-25,Mid-Depth,0.5690000000000001,0.05952590472502987,10
2014-06-25,Lower Photic,0.7990000000000002,0.07202622979011034,10
2014-06-25,Deep,0.13983893136384387,0.09723234952692704,23
2014-07-23,Surface,0.5650000000000001,0.06096447052723961,10
2014-07-23,Mid-Depth,0.7104999999999999,0.014615440845595821,10
2014-07-23,Lower Photic,0.7150000000000001,0.020138409955990973,10
2014-07-23,Deep,0.16278186844190487,0.1725659211751897,23
2014-08-13,Surface,0.47400000000000003,0.09535897091167318,10
2014-08-13,Mid-Depth,1.0684999999999998,0.2890794777296452,10
2014-08-13,Lower Photic,1.2715,0.055978666571392326,10
2014-08-13,Deep,0.20553937127700875,0.2452883730661466,23
2014-09-09,Surface,1.1949999999999998,0.5567215541802643,10
2014-09-09,Mid-Depth,2.1220000000000003,0.02347575581554538,10
2014-09-09,Lower Photic,2.179,0.4411714204503984,10
2014-09-09,Deep,0.32514732799859813,0.19996851082011818,23
2014-09-25,Surface,1.5855000000000001,0.8026914794060735,10
2014-09-25,Mid-Depth,2.908333333333333,0.2618134761548692,10
2014-09-25,Lower Photic,2.6536666666666666,0.7126276363909473,10
2014-09-25,Deep,0.2788226117336939,0.188210733823553,23
2014-10-08,Surface,2.2105000000000006,0.3802517440971033,10
2014-10-08,Mid-Depth,3.189,0.4132319170683099,10
2014-10-08,Lower Photic,3.321125,0.6767375912132494,10
2014-10-08,Deep,0.2549913579398907,0.1455866454193449,23
2014-11-12,Surface,1.8090000000000004,0.3382454729926182,10
2014-11-12,Mid-Depth,2.3025,0.30313638294778583,10
2014-11-12,Lower Photic,2.907,0.05417051268397268,10
2014-11-12,Deep,0.3191942987075757,0.31637374770732046,23
2014-12-09,Surface,2.5694999999999997,0.4617626254064119,10
2014-12-09,Mid-Depth,3.0355000000000003,0.21884101281270132,10
2014-12-09,Lower Photic,3.3795,0.11866034627362994,10
