,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
0.0,,,,,,,,,,,,,,,,,,,,0.57,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00010005150987,,,,,,,,,0.990120293035228,1.00533260496664,,,,,,,,,,,,,0.893554670990126,,,,,1.89374549813342,,,,,0.870920547048223,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,1.93,,,,,1.32349356484361,,,,,,,,,,,,,,,,,0.675822686847995,,,,,,,,,1.01209271512585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,0.96,,,,,,,,,,,,,0.98,,,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65250090555079,,,,,,,,,,1.09127399311071,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09508628257075,,,,,,,,,,,,,,,,1.33400762680441,,,,,,3.19773962498401,,,,,,,,,,,2.90862286548738,,,,,,,,,,,,,,,,,,,,,,,
4.0,,,,0.74,,,,,,2.05,,2.53,,,,,,,,,,1.08,,,,,,,,,,,0.36,,,,,,,,,0.54,,,,,,,,3.4061954859643,,,,,1.10878784477416,,,,,,,,,,,,1.36391101984375,,,,,,,,,1.4165553152735,,,,,,,,,,,,,,,,,,,,,1.16657672530677,,,,,,,,,,,,,,,,,,,,
5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,,,,,,,,,,,,,,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,3.30726218034076,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48771193465999,,,,,,,,,,,,,,,,,,,,1.0894027664939,,,,,,3.02930357957406,
7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,3.45620699136878,,,,,,,,,,,,,,,,,,,,5.34617253349246,,,,,,,1.51132366189397,,,,3.20405412602729,,,,,,,,,,,,,,,,,,,,,,,
8.0,,,,,,,,,,,,,,,,,0.67,,,,,,,,,3.92,,,,,,,,,,,,,,,,,,,,,2.77,,,,,,,,,,,,,,2.25371014455932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29156736335085,,,,,,,,,,,,,,,,,,,,,,,,
9.0,,,,,,,,,,,,,,,,0.39,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48176044064478,,1.04768082162553,,,,,,,,,,3.75477867232185,,,,,1.20505935717445,,,,,,,1.93376386381376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,,,,,,,,,,,,,,,,,,,,2.71,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35852970706702,,,,,,,,,,,,,,5.17585474571054,,,,,,,,,,,,,,,,,,,,,,,,
11.0,,,,,,,,,,,,,,,,,,,,,,1.62,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69955582640515,,,,,,2.74565792263849,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12904158245951,,,,,,,,,,,,,,,,,,3.01953226486225,,2.001011430761,,2.31942588724315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,,,,,,0.72,,,,,,,,,,,0.7,,,,2.23,,,,,,,,,,,,,,,,,,,,,,,1.01,,1.71,,,,,6.21528593258916,,,,,,,,,,2.25955069587172,,,,,,,,,,,,,2.08911207199794,,,,,,,,,,,,,,,,1.61683381564339,,,,,2.19430820756382,,,,,,,,,,,,,,,,,,,,,,
14.0,,,,,,,,,,,,,,,,,,,,,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99926764458948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1391981741284,,,,,,,,,,,,,,,,,,,,,,,,
15.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36983525878275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14915897604241,3.05897961633518
16.0,,,,,,,,,,3.39,,,,6.6,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,,1.16634560266978,,,,,,,,,,,,,,,,,3.16289263073067,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08942266105471,,,,,,,,,,,,,,,,,
17.0,,,,,,,,,,3.46,,,,,3.44,,,,,1.84,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17787627566177,,,,,,3.14689579873577,,,,,,,,,,,,,2.94959191814461,,,1.90714469179676,,1.81724629322801,,,,,,,,,,,,,,,,,,2.079140813,,,,,,,30.1967750676988,,
18.0,,,,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,2.64872981211083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68525157404724,,,
19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,,,,,,,,,,,,,,,,1.35437055247822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41238860305925,,,,2.35076565004992,,,,,,,,,,,,,,
20.0,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34,,7.23363261639013,,,,,,,1.11623750704304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,,,,,,,1.24,,,,,,,,,,,,,,,,,,,,4.6,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,7.13386410051675,,,,,,,,,,,,,,1.61758006945732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,,,,,,,,,,,,3.47,,,,,,,,,2.95,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,2.68982551290886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76558163208958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11725977383098
24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,1.05,,,,,,,,,,,,3.2,,,,,,,,1.63858019196678,,,,,,,,,,,,,,,,,,,,,,,,,,2.23751340010981,,,2.3328427085688,1.89124372707463,,,,,,,3.26827537695684,,,,,,,,,,,,,,,,,,,,,,,27.5430157418551,,
25.0,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7256028011763,,,3.10667441465275,,,,,,,,,,,,,,,,,,,,,,,5.33462737182557,,,,,,,,3.09406337284223,,,,,,,1.8943356219995,,,1.78260101338799,,,,,,,,,1.9696721425164,,,,,,,
26.0,,,,,,,,2.64,,,,,,,,0.8,,,,,,,,,2.92,,,,1.12,,,1.11,,,,,,,,,,,,,,,3.15,5.49413500327901,,2.22370619862264,,,,,,,,,,,,,,,,,,2.45185843724938,,,,,,,,,,,,,,,,,,,1.31468697212866,,,,,,,,,,,,,,,,2.21621251344573,,,,,,,,,,2.88011817633921,2.73776992949848,,,
