,2014-02-14,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
0.0,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,7.52,7.64,7.28,,,,,,,,,,,,,,,,,,,,,6.49599166015839,,,,,,,,,,,,,,,,,,,,,6.87750335665278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88139978081445,,,,,,,,,,,,,,,,,,,7.41511798387011,,,,,,,,,,,,,,,,,,
2.0,,,7.35,,,,,,,,,,,,,,,,,,,,,,,,,7.24,,,,,,,,,,,,,,,,,,,,,,,4.40197900930124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78880105528187,6.92657798931234,,,,,,,,,,,,,,,,,,,,7.26831129974584,,,,
3.0,,7.62,,,,7.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.22357838140581,,6.60583510586432,,7.320639209,,,,,,,7.25139368188074,,
4.0,,,,,,,,,,8.05,,,,,,,,,,,,,,,,,,,8.39,,,,,,,,,7.93,,,,,,,,,,,,,,,,6.75677429291599,,,,,,,,,,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5619926446614,
5.0,,7.59,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.04,,,,,,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.50138484903275,,,,,,,,,,,,
6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9681699191842,,,,,,,,,,,,,,,,,,,,,,7.09949832771838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.39662915985243,,,,,,,
7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.20363307236371,,,,,,,,,,,7.58258763984986,,,,,,,,,6.84454620140942,,,,7.45666283215823,,,,7.37277156750451,,,,,,,,,,,,,,,
8.0,,,,7.12,,,,,,,,,,,,,,,7.43,,,,,,,,,,,,,,7.59,,,,,,,,,,,,,,,,,5.86593246526136,,,,,,7.10531896386634,,,,,,,,,,,,,,6.99215555720797,,,,,,,,,,,,,,,,7.0455950726845,,,,,,,,,,,6.40507929571465,,,,,,,,,,,,,,,,,,,,,,
9.0,,,,,,,,,,,,,,,,,,,,7.26,,,,,,,,,,8.31,,,,,,,,,,,,,,,,,,,,5.86008058085223,,,,,,,,,,,,,,6.68,,,,,6.83020868270506,,,,,,,,,,,,,,,,,,,,,,,,,,,6.83425105078963,,,,7.45434811209422,,,,,,,,,,,,,,,7.26178467051839,,,,
