depth,2018-01-11,2018-02-07,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-10-10,2018-11-14
0.0,58.0,74.3,68.9,22.7,29.1,37.1,28.9,50.24688046242408,55.1424910906871,54.8691873203961,59.27
5.0,52.0,68.3,36.2,24.0,42.0,43.8,34.5,45.24522169230292,51.24230814870602,63.03572212105073,66.97
10.0,50.2,77.4,45.4,28.9,36.8,48.6,30.0,53.84807477691131,56.74256614380754,113.04314509789886,55.87
15.0,48.7,97.7,35.7,24.2,39.8,38.6,29.7,46.94578567414411,52.542369129366385,N/A,62.37
20.0,51.3,137.0,35.5,20.5,45.9,33.3,27.9,47.14585202494896,64.84294610022978,62.027507948130406,65.57
30.0,57.4,68.2,51.5,32.7,25.3,24.9,37.6,45.84542074471746,61.74280068480892,57.591365587280976,69.47
40.0,59.8,71.6,65.3,78.7,63.8,104.0,68.8,74.25484255900565,100.94463948625973,82.39343424112097,118.09
50.0,N/A,N/A,73.5,81.7,83.2,104.0,95.7,130.57352031056988,138.94642199787023,95.39939707179317,150.1
60.0,67.2,98.5,75.4,88.0,87.2,95.4,117.0,129.57318855654566,132.94614054866858,143.2895702855086,150.1
80.0,70.9,156.0,82.6,97.5,82.1,105.0,95.5,50.346913637826496,142.94660963067133,117.07600178958016,141.1
100.0,107.0,75.0,81.3,86.8,85.9,102.0,96.6,128.57285680252141,176.94820450948072,110.01850257913789,112.09
150.0,97.5,94.2,81.4,81.9,82.7,45.1,101.0,120.57020277032757,132.94614054866858,N/A,127.09
200.0,20.8,72.6,80.1,90.4,83.5,100.0,103.0,129.57318855654566,134.94623436506913,117.07600178958016,127.09
250.0,60.3,87.9,90.2,81.4,89.2,107.0,106.0,134.5748473266668,198.9492364898868,129.17457186462406,134.09
300.0,N/A,N/A,96.2,120.0,116.0,136.0,108.0,174.58811748763608,223.9504091948937,144.29778445842894,158.1
310.0,8.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
315.0,N/A,90.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
