,2014-02-14,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.16200610321747,,,,,,,,,,,,8.65364592451925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,8.49,,,,,,,,,8.71,,,8.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85808725869463,,,,,,,,,,,,,,,8.68537765114201,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,8.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.21,,,,,,8.80612414713387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.08504141379962,,,,,,,,,,,,,,,,,,,,,,,,8.67963196497837
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.89,,,,,,,7.93,,,,,,,,,,,,,,,,8.93435648699687,,,,,8.29502436991888,,,,,,,,,,,,,,,8.53214824942897,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16924516830229,,,,,,8.29403569763228,,,,,,8.28469612145642,
4.0,,,,8.7,8.69,,,,,,,,,,8.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.81184471780495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.92797122589086,8.80626088500749,,,8.74896583804935,,,,,,,,,,,,,,,,,,,,,,,,,,8.51065543545664,,,,,
5.0,9.115,,,,,,,,,,,,,8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.32,,9.24,,,,,9.186998460359,,,,,,,,,,,,,,,,,,,8.84351159952829,,8.92625380905758,,,,,,8.7626284229511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,,,,,,,,,,,,,,,,,8.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7825367176196,8.88504541505466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.26442495629229,,,,,,,,,,,,,
7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.66145268474758,,,,,,,,,,,,7.1591776131979,,,,,,,,,,,7.99580575961057,,,,,,,,,,
8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.58,,,,,,,8.3,,,,,,,,8.64,,,,,,,,,,,,,,,,,,,8.88780782251212,,,,,,,,,8.76029535514142,,,,,,,,,,,,,,8.43248255621333,,8.85766991125482,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,,,,,,,8.71,,,,,,,,,,,,,,,,,,,,,,,,8.82,,,,,,,,,,,,,,,,,,,,,8.89008452905014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
