,2014-02-14,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.14,,,,,,,,21.21,,,,,23.58,,23.39,,,,,,20.933036928663,,,,,,,24.0796150824328,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0075474452068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,23.23,,,,,,,,,,22.4,,,,,,,,,,,,21.57,22.94,,,,,,,,,,,,,,,,,23.39,,,,,,,,22.9217221150995,,,,,,,,,,,,,,,,,,,,,,,,,23.7294007495946,,,,,,,,,,,,,,,,,,,,,,,,,23.1475617643266,,,,,,,,,,,,,,
2.0,,,,,,23.69,,,,,,,,,20.7,,22.31,,,,,,,,,21.55,,,,,,,,,,,,,,,,,,,,,,22.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8397857909042,,,,,,,,20.9856214938818,,,,,,,,,24.2989660265178,,
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8319229254745,,,,,,,,,,,,,20.8712349573976,,,,,,,,,,,,,,,,,,,,,,23.1202978105529,,,,,,,,23.2374446086986,,,,,,,,,,,,,,,,,
4.0,,,,,,,,,,,,,,,,20.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.58,,,,,,,,,,,,22.3888210328885,,,,,,,,,,,,,23.7314026775238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1539208326385,,,,,,,,24.6675086935515,,,,,,
5.0,,,,22.33,,,,,,,,,,,,,,,,,,,,,,21.56,,,,,,,,,,,,,,,,,,,,,23.4,,,,20.2878765810852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8665326116502,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,,,,,,,,,,,,,,,,,,,,,,23.94,,,,,,,,,,,,,,,21.96,,,,,,,,,,,,,,,,,,,,,,23.7784289360541,,,,,,,,,,,,,,,,,,,,23.7252518866218,,,,,,,,,24.3636001993695,,,,,,,,,21.1791762032578,,,,,,,,,,,,,,,,,,,,,
7.0,,,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.66,,,,,,,,,,,,,,,,,21.7408315999086,,,,,,,,,,,,,,,,23.7324726500627,,,,,,,,,,,,,,,,,,,,,,23.6772040147971,,,,,,,,,,,,,,,,,,,,,24.6685702075904,,,,,,
8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6301255958432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,,,,,,,,,,,,,21.08,,20.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4244157173459,23.7334132173816,23.8866862727549,,,,,,,,,,,,,,,,,,,,,,,,21.7063807469525,,,,,,,,,,,,,,,,,,,,,,,,
