,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
0.0,,,,,,,,,,,0.52,,,,,,,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.505371094,,,,,,,,,,,,,,,,,,1.29744023742343,,,,0.726319189631562,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.649108887,,,,,,,,,,,,,,,1.27811370102602,,,,,,,,,,,,,,,,,,,,1.12372275325316,,,
2.0,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,1.27562702969137,,,,,,,2.75295415129282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48308585078029,,,2.00483626525543,,,,1.50538219203403,,,,,,,,,,,,,1.80411136917223,,,,,,,,,,,,,,,,,,,,,,,
4.0,,,,0.57,,,,,,,,,,,,,,,,1.09,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8541019885718,,,,,,,,,,,,,,,,3.92467678985598,,,,,,,,,,,,,,,,,0.945979682352407,,,,,,,,,,,,,,,,,,,,,,,,,,1.63081271046737
5.0,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,1.13665079220617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06022207870005,,,,16.4074181840717,,
6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,2.15,,,,,,,,,0.739598085612034,,,,,,,,,,,,,,2.03626182784051,,,,1.55844726392668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,1.776,,,,,,,,,2.21,,6.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,,,,,,,,,,1.932993689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.846620085128,,,,,
8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,,,,,,,,,3.03922360966254,,,,,,,,,,4.72800206934549,,,,,,,,,,,,,,,,,,,,,1.81355297289268,,,,,2.13742009225171,,,,,,,,,,,,,,,,,,,,,2.40136326056095,,,,
9.0,,,,,,,,,,,,,,,,,,,,,1.68,,,,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81112529782213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,,0.44,,,,,,,,,,3.88,,0.6,,,,,,,,,,,,,,,0.53,,,1.84,,,,,,,,1.07,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91199221326841,,,,,,,,,,,,,,,,,,,,,,,,2.9027582754215,,,,,,,,,,,
11.0,,,,,,,,,,,,,,,,,,,,,,,,4.42,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21392685539813,,,,,,,,,,,1.82869789789015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11751239534946
12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,0.66,,,,,,,,,2.01127536310181,,,,,,,,1.84177588626166,,1.19458824889124,,,,,,,,,,,,,,,,,,,2.0235994429668,,,,,,,,,,,,,,,,1.775355154477,,,,,,,,,,,,,
13.0,,,,,0.82,,,,,,,,4.25,,,0.73,,,,,,,,,,,,,,,,,,2.26,,,,,,,,,,,,,,,,,,,,,2.12749343145201,,,,,,,,,,6.15797119482866,,,,,,,2.83935660344383,,,,,1.39115066451083,,,,,,,,,,,,,,,,,,,3.29179064032827,,,,,,,,,,,
14.0,,,,,,,,,,,,,,,,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26485977630973,,,,2.02593615912327,1.0010000311024,,,,,,,,,,,,,,,,,,,,,,2.82051440281776,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,1.92077480109126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95187555826895,,,1.48018059900622,,,,1.65003824234761,,,,,,,,,1.88050108694401,,,,
16.0,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.759399999876234,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93893226252319,,,,3.13575954210305,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.72,,,,,,,,,,,,2.08996604694368,,,,,2.17170820012488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,,,,,,0.9,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1608672895272,,,,,,,,
19.0,,,,,,0.9,,,,,,,,,,,,,,,,,,,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71366380186344,,,,,,,,3.51133941707192,,1.00556860907642,,,,,,,,,,2.06129092809042,,1.65975506905422,,,,,,,,,,,,,,,,,,
20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22319079248395,,,3.32311987176266,,,,,,,,1.46954902998507,,,,,,,,,,,,,,,,,2.73857830775343,,1.12148618489773,,,,,,,,
21.0,,,,,,,,,,3.23,,,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,5.273186731056,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18360802317053,,,,,,,,,,,,,,,,,,,,,,,,,,1.11343548957543,,,,,,,,
22.0,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,,,1.82737824937681,,,,,,,,1.73507573746118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0480523760195,,1.00718455194112,,,,,,,,,,,,,1.68101014053627,,,,,,,,,,,1.96264376373716,,1.11839021382645,,,,,,,5.39345733288863,,,1.272349058014654,,,,,,,,,,,,,,,1.61987108115879,,1.53017470300229,,,,
24.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,0.86,,,,,,,,,,,,,,0.61,,,,,,,,,,2.1034799455563,,,,,,,,,,,,,,,,,,,,,,,,,0.834295437187289,,,1.32122860886594,,2.9216688798209,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14454095912809,,,,,,,,,,,,,,,,,,,
26.0,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.76,,,1.18,,0.62,,,,,,,,,,,,,,,,,,,,,,,,1.68133304173461,,,,,,,,1.57218096868492,,,2.64246382135064,,,,,,,,,,0.920550236628754,,,,,,,,,,,,,,,,,,,,,,,,,,0.971266882130235,,,,,
27.0,,,,0.57,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,,,,,0.6,,0.66,,,,,,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28206511222942,,,,,,,,,,,0.956758565582225,,1.58293748200975,,,,,,,,,,1.33966837017146,,,,,,
29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982622438456455,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.948714830402155,,,,,,,,,,,,,,,1.16385597218032,13.1369425371864,,
30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4779751521860667,,,,,,,,,,,,,,,,,,,,,,,,0.7517967507360249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,,,,,0.335,,,,,,,,,,,,,1.0630000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45563825239241657,,,,,,,,,,,,,,,,,0.7553189629217029,,,,,0.8800257110375048,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,,,,,,,,,,,,,,,,,,0.485,,,,,,,,,,,0.14200000000000002,,,,,,,,,,,,,,,,1.570519094010376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.480201053255867,,,,,,,0.5964711112219198,,,,,,,,,,,0.7786489748379355,0.6373637171062038,,,,,0.5722005863515103
60.0,,,,,,,,,,,,,,,,,,,0.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.478984333041205,,,,,,,,,,,0.5179172007408206,1.166688425156302,,,,,,,,,,,,,,,,,,,0.5030328901707273,,,,,,,,,,,,,,,,
70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.0,,,,,,,,,,,,,,0.182,,,,,,,,,0.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6363188269585521,,,,,,,,,,,,,,,,,,,,,,,
90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40794030275324433,,,,,,,,,,,,,,,,,,,0.4678282106388932,,,,,,,0.5062586163828464,,,,,,0.6453950323214567,,,,,,,,,,,,,,,,,,,,,0.46446845893386224,
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123,,,,,,,,,,,,,,,,,,,,,0.41981801149831144,,0.8225182834201089,,,,,0.43666573264948905,,0.4459119956091362,,0.7530863585837536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48449144402948296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
