,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
0.0,,,,,,,,,,,,6.15,,,,,7.15,,,,,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.52017402007873,7.33051576850727,,,,,,7.35132954929995,,,,,,,,,,7.50263432735654,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.45,,,,,,,,,,,,,,,,,,,,,,,,,6.34,,,,,,,,,,,,,,,7.49347730348013,,7.34843268398973,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,8.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38765170991348,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.31,,7.68,,,,,,,,,,,,5.796999143,,,,,,,,,,,,,,,,,,,7.36245204507639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,,,,,6.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.26413853494507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.51621737572757,,,,,,
5.0,,,,7.13,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,7.78,,,,,,,,,,,,,7.77,,,,,,,,,,,,,,,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34164187423594,,,,,,,,,,,,,,,,,,
6.0,,,,,,,,,7.87,,0.0,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,6.83823726060516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15134813852363,,,,,,,,,,,,,,,,
7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2781387824434,,,,,,,,,,,,7.50316675768017,,,,,,,,,5.69903915329014,,,,,,,,,,
8.0,,,,,,,,,,,,,,,,,,7.89,,,,,,,,,,,7.55,,,,,,,,,,,,,,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,7.12848232281836,,,,,7.26375715874003,,,,,,,,,,,,,,,,,,,7.7467569838631,,,,,,,,,,,7.32031254437282,,,,
9.0,,,,7.15,,7.53,,8.95,,,,,,,,,,,,,,,,,,,,,,,,,7.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32826384277479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46370339838159
10.0,,,,,,,,,,,0.0,,,7.23,,,,,,,,7.25,,,,,,,,,,,,,,,,,,,,7.35,,,,,,,,,,,,6.9569630064803,,,,,,,,,7.2432077816542,,,,,,7.03394179136083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.46816780263392,,,,,,,,,
11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45695374553889,,,,,7.05868392250215,,,,
12.0,,,,,,,,8.13,,,,,,,,,7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
