depth,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11
0.0,40.9,46.4,47.7,26.6,40.6,57.8,32.0,53.047809373691926,63.8428991920295
5.0,40.7,66.9,41.4,25.0,59.6,46.2,28.6,49.24654870839985,56.942575525447594
10.0,44.2,69.9,37.1,28.1,34.0,51.3,30.2,60.35023117806881,64.9429507910498
20.0,63.5,73.6,62.6,21.5,30.8,61.8,27.0,50.44694681322892,59.14267872348821
30.0,73.1,73.7,67.2,23.4,39.1,98.0,24.8,53.24787572449677,46.34207829852467
40.0,69.6,73.8,75.9,70.0,51.0,76.9,83.9,84.35819327465038,99.54457381477934
50.0,N/A,N/A,N/A,93.9,N/A,111.0,106.0,128.57285680252141,146.94679726347243
60.0,73.6,76.5,80.5,85.5,92.6,109.0,112.0,135.57517908069104,135.9462812732694
80.0,N/A,N/A,81.0,92.2,122.0,110.0,97.5,142.57750135886067,135.9462812732694
100.0,N/A,N/A,83.7,89.6,97.1,47.1,97.4,439.67603230405746,135.9462812732694
