,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
0.0,8.54,8.76322874429014,8.23,8.56,9.01,8.89,9.54,10.67,8.5,8.41,8.38,8.65,8.73,8.94,8.98,8.73,8.88,9.16,8.87,8.98,8.34,7.82,8.21,8.85,8.2,8.66,8.71,8.76,8.46,9.93,8.9,9.08,8.56,8.39,8.5,8.7,8.4,9.51,8.56,9.12,10.96,9.07,8.94,8.59,9.38847135311986,9.0253696198092,8.82075243138779,8.972151543322,8.91874801485026,8.75868686977952,8.91222498478344,8.81747289336973,8.96789904093435,8.86028521031557,8.57219902,8.45807947447637,8.5542987812324,8.77470697038317,8.88367674271504,8.91776640388633,8.83398746131305,8.71681623460739,8.91626019388241,8.63239195722146,8.794585032223413,6.944203377,8.798960686,8.83305747135414,8.653616905,8.519710541,7.78600359,8.60063055470809,8.711601325805615,7.89894914033555,8.68856903015485,8.81552018485615,8.869495392,8.814092636,8.88459866098351,8.82283548932459,8.74891925827965,8.72772426363256,8.696881551735247,8.54634388720954,8.70667228749114,7.87884455731866,8.21711747725794,8.74559645810985,8.92937392690359,8.66915413889992,8.24063140516248,8.69252987141442,8.70119893129348,8.80237539386328,8.63111843549242,8.43874441804429,7.96385897937377,8.53745515615661,8.20094045994154,8.146849732687825,8.55401710056749,8.51739796975112,8.1498433212538,8.47257990805249,10.1788059141521,8.23310985411299,9.22281105567506
1.0,8.543999999999999,8.68,8.459999999999999,8.58,9.01,8.015,9.55,10.74,8.49,8.42,8.75,8.65,8.76,8.82,8.93,8.69,8.87,9.05,8.82,8.98,8.28,7.75,7.99,8.69,8.04,8.57,8.63,8.73,8.4,9.86,8.88,8.77,8.46,8.31,8.37,8.33,8.16,9.38,8.18,9.05,10.38,9.1,8.95,8.58,9.35864386082601,8.97688073703468,8.81622458057245,8.96354265116848,8.90826260073755,8.75251097740706,8.89521080011073,8.8044422039502,8.91558819534229,8.86247599348736,8.57219902,8.45743042371086,8.53660733891867,8.75847639751993,8.87285829339018,8.88096568647562,8.83391449327096,8.71710931183056,8.92227888196664,8.61201536199485,8.663703470550395,6.944203377,8.79896068599999,8.83283307396166,8.653616905,8.51971054100001,7.78600359,8.4821309703287,8.72828554098351,7.91645402839545,8.67782471417411,8.79760132282024,8.86949539199999,8.81409263600001,8.88266609988924,8.82974560493464,8.74376941924827,8.63900533177899,8.70733055886224,8.57434048178322,8.64238902371875,7.878119084781545,8.11288593931327,8.6810111781416,8.86274137744972,8.66577086264667,7.96451849584842,8.55239858920978,8.55869026429922,8.73577287705127,8.5267452128792,8.30576996171554,7.88998672915717,8.49337302577602,8.15948731678434,7.91251053765202,8.5623431936663,8.55957334379535,8.11820760065499,8.5048753431542,10.1265743354092,8.0886649413493,8.80961294570002
2.0,8.548,8.67,8.469999999999999,8.63,9.01,7.14,9.59,10.76,8.45,8.37,8.42,8.66,8.765,8.78,9.01,8.69,8.85,8.99,8.8,8.98,8.36,7.82,7.96,8.65,7.96,8.56,8.62,8.74,8.39,9.83,8.86,8.73,8.38,8.27,8.32,8.23,8.14,9.29,8.12,9.0,10.25,9.13,8.97,8.56,9.34247703942781,8.93136725202611,8.80079283211698,8.9391989579178,8.89892481861799,8.7428789879211,8.8863762779059,8.79440623595934,8.85918616108697,8.86063130587914,8.57219901999999,8.45798138668904,8.51355773285152,8.73519189044657,8.86454246739827,8.86643823785704,8.83384248985083,8.71781714625499,8.92470158820315,8.61305689220623,8.51263945309826,6.944203377,8.79896807082229,8.829859802315,8.653616905,8.519710541,7.78600359,8.27322369078166,8.71855110542975,7.94792651899125,8.66221099065537,8.78979053322723,8.869495392,8.814092636,8.88063292984689,8.74457319805552,8.75045618349877,8.58005354505678,8.67767691347407,8.56899339440655,8.58299160343514,7.87739361224443,7.99307472201815,8.64389688195331,8.82155132986764,8.58737655821905,7.76270732734677,8.47953093227862,8.50650006255595,8.68363304277199,8.45659873430416,8.19506541097612,7.79748579958958,8.4118476692034,8.14712013340424,7.60198489547911,8.53743262120821,8.56884847049545,7.92580868042097,8.41703160615876,10.0821323003351,7.95146882753134,8.52323262199276
3.0,8.552,8.67,8.48,8.73,9.01,7.25,9.64,10.81,8.47,8.4,8.4,8.65,8.77,8.78,8.99,8.68,8.85,9.05,8.8,8.98,8.35,7.77,7.95,8.67,7.98,8.56,8.6,8.73,8.41,9.8,8.87,8.754999999999999,8.38,8.29,8.33,8.23,8.13,9.31,8.11,9.0,10.25,9.11,8.96,8.57,9.33988571215485,8.89328467266598,8.77357845881274,8.90110173013314,8.895080117141429,8.73531147208833,8.88344520553043,8.78871334404719,8.83168977678936,8.84856331872114,8.57219902,8.46165847965648,8.49444826284956,8.71084948432864,8.863097086934346,8.85191078923846,8.83256810036752,8.71748864066291,8.91671450827604,8.60369606060944,8.4627909796177,6.94414914793578,8.79845290903272,8.82299721488268,8.65364478438801,8.51963987462035,7.7861613231901,8.07582918227802,8.71745559594353,7.98598933101455,8.63627582330219,8.78197974363422,8.87056175884953,8.814092636,8.8783555213991,8.552805172170864,8.77375964294752,8.56042924853674,8.6829007706369,8.53056834154325,8.5473768946263,7.868594426307415,7.98371196243092,8.64759444578423,8.81526674569362,8.57114904065111,7.67835005767396,8.45570980224564,8.53544743247162,8.65950123857708,8.44088999301101,8.08262215684682,7.68735031766668,8.29501220749003,8.16978291822889,7.47478013349776,8.47116681765833,8.54739193639795,7.66118217812527,8.2261912713816,10.0464378002415,7.82155071852459,8.32789533010395
4.0,8.556000000000001,8.67,8.53,8.83,9.01,7.06,9.68,10.87,8.47,8.44,8.4,8.73,8.79,8.8,9.0,8.69,8.87,9.03,8.8,8.98,8.39,7.78,8.02,8.68,8.0,8.56,8.6,8.76,8.395,9.84,8.86,8.78,8.37,8.26,8.34,8.23,8.12,9.323333333333334,8.15,9.0,10.28,9.13,8.95,8.57,9.32062482919772,8.85084997834935,8.73477880725599,8.85282108906981,8.89123541566487,8.72251739624962,8.87956706666642,8.78618186482059,8.8250895569297,8.82433187916364,8.57219902,8.45383935620972,8.4688785230452,8.69934206734506,8.86165170647042,8.83434697502333,8.83743014053216,8.70021842428904,8.88999859794385,8.61534361714604,8.42255982210363,6.94168497699618,8.79979842584434,8.82194731828881,8.65621897216928,8.5229002700898,7.79637784314703,8.01405099639111,8.70682717363015,8.02002714881534,8.5963600711886,8.78092993362333,8.87526514425676,8.81459494115177,8.87665258891796,8.36103714628621,8.81136649565471,8.53535618392891,8.66947051016511,8.50948903260727,8.53497642487682,7.8597952403704,7.99379050644026,8.65727420185847,8.81192273678289,8.57359820069988,7.63635534135916,8.42444968280322,8.5691619650941,8.63504800364373,8.4473486166763,8.0626222449653,7.58574859242823,8.16330767143277,8.20129106409829,7.48169984102312,8.414158450931264,8.49090792231585,7.47291422933177,8.16702059628859,10.0209194942402,7.69886797413489,8.26918543827552
5.0,8.56,8.69,8.549999999999999,8.84,9.01,7.03,9.68,10.91,8.5,8.47,8.39,8.66,8.77,8.79,9.02,8.7,8.86,9.055,8.78,8.97,8.39,7.78,7.97,8.68,8.03,8.58,8.59,8.8,8.38,9.83,8.88,8.77,8.37,8.26,8.335,8.24,8.12,9.336666666666666,8.15,9.01,10.295,9.12,8.95,8.56,9.30953027415257,8.81624330390591,8.67850415177722,8.80104183698681,8.88534525174447,8.71346019306113,8.8801571288735,8.78479073808976,8.81599559229068,8.80272526395627,8.57219902,8.4324156606752,8.44289879565869,8.68743940222754,8.85146838730577,8.82656135184024,8.86065076380053,8.683641574973626,8.86934254327836,8.47561549592089,8.39901926017506,6.963727617564045,8.80645070652539,8.82151931353101,8.65308434127336,8.53579619953316,7.75972120996842,8.01348492715333,8.694848469335806,8.05439267337753,8.56666784725274,8.7811074908277,8.86992663323888,8.81268414999937,8.87483323106306,8.26484622760755,8.84279196556216,8.49019307156957,8.66607982471193,8.50373183954,8.52257595512734,7.85593565995338,7.93838611166729,8.67015475118855,8.80414908753475,8.53539704041665,7.570715150274,8.355730907098394,8.60287649771658,8.63296232758375,8.43699838686006,8.16291853822734,7.49313507139211,8.08128447341681,8.19710292265515,7.38230244015655,8.3571500842042,8.45424700668086,7.49377640132411,8.12168789372887,10.0007052352705,7.58347593705239,8.31975888512672
6.0,8.562000000000001,8.69,8.59,8.88,9.01,6.76,9.7,10.93,8.57,8.46,8.38,8.63,8.79,8.81,9.0,8.69,8.87,9.08,8.75,8.96,8.4,7.77,7.94,8.68,8.03,8.56,8.59,8.8,8.38,9.83,8.88,8.86,8.38,8.23,8.33,8.23,8.12,9.35,8.16,9.015,10.31,9.09,8.94,8.56,9.28727499615974,8.78663189779917,8.6298242747053,8.76500468265996,8.87945508782407,8.69984098018749,8.87032180275326,8.78252269732194,8.80896455272366,8.79051059529509,8.57219902,8.40118259217264,8.42469587034098,8.66987402181852,8.84404356664699,8.83057907956329,8.876605527783,8.66706472565821,8.85995761835999,8.26984516056405,8.37547869824649,6.98577025813191,8.80807480352502,8.809087683845494,8.60974085863321,8.44592221473689,7.590380788377081,8.01077162202432,8.68286976504146,8.08099317072343,8.55079279221247,8.78913948848887,8.77535799287569,8.79999742817767,8.87412940687424,8.23163199406667,8.84995033335089,8.43860526026954,8.65451457681432,8.49421719810286,8.52767304103426,7.83854883509142,7.87633428666008,8.67319538791808,8.77713898108923,8.5187918871397,7.47466063866269,8.28701213139357,8.63327084269881,8.62180416970142,8.38483753147805,8.16385932241273,7.41419176061632,8.00415789552297,8.17659323366776,7.39817135679598,8.34204856666134,8.42009818356728,7.64789603514672,7.92243823381779,9.98217259271416,7.47532039961738,8.32958771578456
7.0,8.564,8.68,8.62,8.91,9.01,6.93,9.73,10.95,8.52,8.47,8.41,8.62,8.78,8.72,9.0,8.69,8.87,9.03,8.68,8.96,8.41,7.765,7.94,8.69,8.03,8.56,8.58,8.77,8.38,9.83,8.86,8.87,8.37,8.28,8.33,8.24,8.12,9.33,8.16,9.02,10.32,9.1,8.94,8.56,9.26885851079792,8.75849768833049,8.59149084985416,8.73481833321074,8.87528798815837,8.67990380566026,8.84791413267807,8.77877777016116,8.80841622110422,8.78478890025382,8.57219902,8.36599930065256,8.43894435364621,8.64517312591558,8.84424891038575,8.82543891745304,8.86678687249117,8.65474557581437,8.85305403335034,8.20823956451252,8.3281865782597,7.05518598950005,8.78698301807023,8.79665605415998,8.56639737599306,8.13613190979519,7.42104036678574,7.96638114363878,8.662283168526205,8.10303394779344,8.53846033890373,8.781902095387625,8.59124105236533,8.790581513670741,8.8726542679015,8.18201613177486,8.83944818177771,8.37067934338343,8.55031468532067,8.43005011686497,8.53961216986503,7.83276250254585,7.8591420096334,8.56835996127235,8.67818812174322,8.54622205470526,7.45033673762016,8.15118253579061,8.62977643623302,8.58455724073596,8.36340708350558,8.10036310775642,7.3468421777661,7.90764681916349,8.22927857287044,7.37938938798218,8.31064732712897,8.38984236628714,7.66358397372782,7.7342964474799,9.96447033883565,7.37464653162537,8.28398713141688
8.0,8.566,8.68,8.74,8.94,9.01,6.93,9.74,11.0,8.51,8.45,8.37,8.62,8.78,8.72,8.98,8.69,8.88,9.05,8.61,8.95,8.41,7.76,7.92,8.65,8.05,8.59,8.57,8.76,8.38,9.83,8.88,8.87,8.36,8.23,8.32,8.2375,8.11,9.35,8.13,9.02,10.33,9.1,8.94,8.56,9.25100250092527,8.74016424969626,8.57491469198301,8.70793689991447,8.87462931560159,8.66937725556895,8.83600986609035,8.77118178008229,8.80739610134951,8.77892738885224,8.57219902,8.35449537532908,8.45395770761443,8.61372857339579,8.84101325175261,8.81791830518543,8.79039403015813,8.64414560594021,8.85192131360442,7.87207487891282,8.29335855983432,7.09876080609241,8.73644793991021,8.78961997649737,8.46174793948282,7.89610109901951,7.50491309136485,7.94207391142996,8.64169657201095,8.1216372250659,8.52794167337687,8.77466470228638,8.525357176539245,8.78116559916381,8.86323333769011,8.10432573105312,8.82136291754143,8.24776551488698,8.44920657359578,8.37126116590155,8.44243466790902,7.826171854588135,7.87519791868437,8.40403565230374,8.57923726239721,8.46769960104688,7.47807257594657,8.05038667768051,8.6169199029069,8.58207258436002,8.38564543753713,8.06391198926317,7.38018678913222,7.84863356328143,8.28179068076689,7.23742281438441,8.26028568583896,8.33603710251357,7.3908973353288,7.68432237306846,9.94933951742133,7.28167886453612,8.22893513943764
9.0,8.568,8.68,8.74,8.98,9.01,7.19,9.76,11.03,8.51,8.44,8.37,8.6,8.8,8.66,8.97,8.67,8.87,9.01,8.56,8.95,8.4,7.75,7.93,8.61,8.03,8.58,8.57,8.75,8.4,9.83,8.88,8.9,8.35,8.25,8.31,8.235,8.1,9.36,8.12,9.02,10.33,9.1,8.91,8.56,9.20286811430252,8.73196207082347,8.575934685182112,8.69743900588631,8.87630848296018,8.66451236075077,8.83543983187695,8.76389631033708,8.8002070392095,8.77378203741936,8.57221324342917,8.35630206482964,8.434777271226341,8.57929337956028,8.83233481902985,8.82436265838419,8.68896841720591,8.65640625053542,8.84801271220202,7.78086400592825,8.26360290256826,7.12651138247984,8.64863520801185,8.77398385847088,8.30787442350053,7.94006385879524,7.73204964036696,7.94483180587471,8.59350010826732,8.14253944516179,8.49824496017833,8.7692489048587,8.45947330071316,8.7830029947093,8.8161676006664,8.07103165181031,8.71535802954291,8.08086535678102,8.43743115178401,8.29665468707521,8.24783998111196,7.81958120663042,7.85471456652563,8.29749918378516,8.45241121134441,8.31260247993769,7.53026101655998,7.98038664738173,8.53085687818758,8.57958792798408,8.30521973646004,8.04824127555277,7.39452453409164,7.83198535647035,8.2506748889826,7.17794420709834,8.22577948557975,8.26031644824833,7.08327072637794,7.69757842211138,9.93419030195451,7.1963252254162,8.22047445233624
