,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6467391257511,,,,,,,,8.74399641383709,,,,,,,,,,8.79408674795582,,,,,,,8.74128348108601,,,,,,,,,,8.11703638377981,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.57577455045058,,,,,,,,,,,,,,,,,,,,,7.87426778723288,,,,,,,,,,,,,,,,,,,,,
2.0,,,8.459999999999999,,,,,,,,,,8.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.86214248048415,,,,,,,,,,,,,,,,8.7841555909652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,,,,9.01,,,,,,,,,,,,,,8.82,,,,,,7.99,,,,,,,8.76,,,8.34,,,,,,,,,,,,,,8.89347940034155,,,,,,,,,,8.86218737688541,,,,,,,,,,,,,,,,,,,,,8.55486687578899,,,,,,7.86861583609879,,,,,,,,,,,,,,,,,,,,,
4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,9.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.52898129371014,,,,,,,,8.57136031449336,,,,,,,,8.38122092692853,,,,,,
5.0,,,,,,,,,,,,,,,,,,9.06,,,,,,,,,,,,,,,,,8.31,,,9.36,,,10.3,,,,,,,,8.88478614324108,,,,,,,,,,,,,8.67492849178467,,,8.40277025945986,6.94346766724761,,,,,,,8.6987086582191,,,,,,,,,,,,,,,,,,,8.38190617064977,,,,,,,,,,,,,,,
6.0,,,,,,,,10.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.81000801877251,8.62406146277708,,7.57796778480408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,,,,,,,,,,,,,,,,,,,,,,7.75,,,,,,,,,,,,,,,,,,,10.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.65522327416338,,,8.7871999731059,,8.78039533903176,,,,,,,,,,,8.70007213576776,,,,,,,,,,,,,,,,,,
8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.48013658159444,,,,,,,,,7.82475231583839,,,,,,,,8.58303749342097,,,,,,,,,,,,,
9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.23,,,,,,,,,,,8.57408088709563,,,,,,,,,,8.43459028604842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.37,,,,,,,8.22,,,,,,,,,,,8.57973597117499,,,,,,,,,,,,,,,,,,,,,,,7.93903840513244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,,,8.84,,,,,,,,,,,,,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.39594241434633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.89618569705078,,,,7.99513446511128,,,,,,8.06769647594159,,,,,
12.0,,,8.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,,,,,,,,,,,,,,,,,,,,,,,7.91,,,,,,,,,,8.33,,,,8.08,9.34,,,,,,8.56,,,,,,,,,,,,,,,,,,,,,,,,8.69052761811488,,,,,,,,,8.33605946219773,,,,,7.87025830663835,,,,,,,,,,,,,,7.99707796519911,,,,,,,,,,,
14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.86,,,,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23113364160549,,,,,7.26035125834783,,,,,,,,,,,,,,,,7.71909176746985,,,7.84414882543967,,,,,,,,,,,,,,,,6.88044742179316,
15.0,,,,,,7.04,,,,,,,,,,,,,,,,7.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.73926266410562,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94565724862227,,,,,,,,,,,,,,,,,,,,,,,,6.38724727134337,,,,
16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.06,,,,,,8.61327845872261,,,,,8.75339143007768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.84201961897126,,,,,,,,,,,,,,,
17.0,,,,9.17,9.01,,,,8.52,,,,,8.6,,,,,,,,,,,,,,,8.37,,8.89,,,,,,,,,,,,8.89,,,,,,,,,,,,,,,,,,,8.46770222669675,,,,,,8.64150341212926,,,,,,,,,,,,,,,,7.88859555565766,,,,,,,,,,8.52047475015701,,,,,,,,,,,,,
18.0,,,,,,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.31,,,,9.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.94278202596916,,,,,,,
19.0,,,,,,,,,,,,,,,8.86,,,,,,,,,8.52,,,,,8.35,,,,,,,,8.04,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76739136619814,,,,,,,7.06664558155685,,,,,,,,,,7.9617998138938,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,,8.68,,,,,,,,,,,8.73,,,,,,,,,,7.9,,,,,,,,,,,,,,8.03,,,,,,,,,,,,,,,,8.70246124055648,,,,,,,,,,,,,,,,,,,,,,,8.62652513412669,,,7.47243022260297,,,,,,,,,,,,,7.77538698748859,,,,,,,,,,,,,,,8.00601671000618
21.0,,,,,,6.61,,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,10.21,,,,,,,,,,,,,,8.56652109775334,,,,,,,,,,,,,8.59472606006127,,7.57418199457018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78830297864657,,,,,,,,
22.0,,,,9.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.47952533190332,,,,,,,,,,,,,,,,,,,,7.87097406973809,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,,,,,,,,,,,,,,,,,,,,,,,,,7.71,8.25,,,,,,,,,,,,9.23,,,,,,,,,,,,,,,8.66905295638541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,,,,,,,,,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.67329411951009,,,,,,,,,,,,,,,,,,,,,7.53517463509937,,,,,,,,,,,,,,,7.75642445255101,,,,,,,,,,,,,,,,,,,,,,
25.0,,,,,,,,,,,,,,8.51,,,,,,,,,,8.48,,,,,,,,,,8.17,,,,,,,,,,8.55,,,,,,,,8.48443193926399,,,,,,8.27507351702427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.13881609669702,,,,6.89155776883646,
