,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
0.0,,,,,,,25.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4181807330002,,,,,,,,,,,,,,,,,,,,,,,24.9050142331942,,22.8663063969679,
1.0,,,,,,24.11,,,,,,,,,,,,,,,,,,,,,24.41,,,,,,,,,,,,,,,24.41,,,,,,,,,23.7073975801687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1059223854824,24.6388510856884,,,,,,,,,,,,,,,
2.0,,,,,23.7,,,,,21.18,,,,,,,,24.86,,,,,,,,,24.28,,,,,,,,,21.55,,,,,,,,,20.7638602004824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1134617357377,,,,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,,,,,,,,24.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4125724952558,,,,,,,,,,,,,,,,,,,,,,,,,,24.0753668191493,,,,,,,
4.0,,,,,,,,,,,,,,,,,,,,,23.5,,,,,,,,,,,,,,,,21.99,,,,,,,,,,,,,23.2786056401914,,,,,,,,,,,,,24.1757557379175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3157451440073,,,,,,,,,,,,,,
5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,,,,,,,23.99,,,,23.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9466922420398,,,,,,,,,,,,,,,,,,,,,,,,,,24.0592533205852,,,,,
6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.91,,,,,,,,20.5216030926212,,,,,,,,,,21.7677170324525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5791925079074,,,
7.0,21.6,,,,,,,,,21.14,20.41,20.63,20.83,22.46,,,,,,,,,,,,,,,23.64,,,,,,,,,,,,,,,,,,,,,,23.5583668144826,,,,,,,,,,,,,,,,,,,22.8859244498365,21.9493373455356,,,,,,,,,,,,,,,,22.6435679685036,,,,,,,,,,,,,,,,,,,,
8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2017133189085,,
9.0,,,,,,,,,,,,,,,,,,,,,,,21.54,,,,,24.17,,,,,,,,,,,,,,,,,,,,20.459899636783,,,,,23.1225168108026,,21.5864519222451,,,,,,,,,,,,,,,,,21.1577451483984,,,,,,,,,,,21.7139043448309,,,20.8939873387141,,,,,,,,,21.7040212641017,,,,,,,,,,,,
