location,depth,2014-02-14,2014-02-18,2014-02-19,2014-02-26,2014-03-26,2014-04-22,2014-04-23,2014-04-27,2014-05-19,2014-06-24,2014-06-25,2014-07-22,2014-07-23,2014-08-12,2014-08-13,2014-09-08,2014-09-09,2014-09-25,2014-10-07,2014-10-08,2014-11-11,2014-11-12,2014-12-08,2014-12-09,2015-01-13,2015-01-14,2015-02-10,2015-02-11,2015-03-10,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-07-15,2015-08-10,2015-08-11,2015-09-09,2015-10-06,2015-10-07,2015-11-11,2015-11-12,2015-12-08,2016-01-19,2016-01-20,2016-02-16,2016-02-17,2016-03-01,2016-03-08,2016-03-09,2016-04-12,2016-04-13,2016-05-17,2016-05-18,2016-06-14,2016-06-15,2016-07-12,2016-07-13,2016-08-09,2016-08-10,2016-09-06,2016-09-07,2016-10-11,2016-10-12,2016-11-08,2016-11-09,2016-12-05,2017-02-07,2017-02-08,2017-03-13,2017-03-14,2017-04-18,2017-04-19,2017-05-16,2017-05-17,2017-06-13,2017-06-21,2017-07-11,2017-07-12,2017-08-08,2017-08-09,2017-09-12,2017-09-13,2017-10-12,2017-10-13,2017-11-07,2017-11-08,2017-12-13,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-03-15,2018-04-10,2018-04-12,2018-05-15,2018-05-16,2018-06-12,2018-06-13,2018-07-17,2018-07-18,2018-08-14,2018-08-16,2018-09-11,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
SA,Surface,6.076306779274138,6.0982870490526855,6.104347826086956,6.154960248876598,7.0,5.1,5.227597765363129,5.375616438356165,5.3,5.5,5.477926421404682,5.3,5.295081967213115,5.1,5.204299583911236,6.5,6.327272727272728,5.577900552486188,5.05,5.171610517666393,5.8,5.645874001774624,4.0,4.184497444633731,5.5,5.416421404682274,5.29,5.296652719665272,5.2,5.301949152542373,7.1,6.120790629575403,5.1,5.4,5.444720496894411,6.3,6.213056680161943,5.75,6.05,6.029131175468484,6.0,5.9953288490284,6.228705636743214,6.7,6.523404255319148,6.0,5.7551181102362206,3.6,4.360509554140127,4.403692539562924,5.1,5.162544169611308,7.5,7.365694682675815,7.2,7.098326359832637,5.3,5.4861771058315325,6.562237762237762,6.590199809705043,7.5,7.365072202166064,6.25,6.23704974271012,5.1,5.258116883116884,6.5,7.1,6.959083469721767,4.8,5.024999999999999,7.0,6.992307692307693,8.5,8.255230125523012,6.0,6.133025404157044,5.1,5.196652719665272,5.8,5.788983050847458,6.4,6.454340836012862,7.8,7.615189873417721,6.2,6.321126760563381,6.6,6.615174506828529,5.8821482602118005,5.268325277224907,5.013955479452054,4.1,4.369657057654075,6.141813989239047,6.251524390243903,8.475,8.270863309352517,6.5,6.582838983050847,5.824999999999999,5.906603773584904,6.6,6.6505934718100885,7.825,7.688204592901879,7.251,6.881845965770171,5.925,6.0,6.9,6.05,6.306475047378395,6.25,5.65,4.625,8.175,7.05,5.9415552006388515,5.75,5.43860929696504,5.344914070141121,6.1,3.5,4.9,6.1,6.325,6.8375,4.2,5.45,4.83,6.275,4.75,4.525,6.025,5.616929879974731,5.8,6.4,5.625,5.175,5.2,6.125,6.8,7.05,4.55,5.225,5.536890243902439,5.75,5.7125,6.775,6.925000000000001,6.025,6.625,6.2,6.375,7.2125,5.1125,7.237500000000001,7.5625,5.833333333333333,5.975,5.15,6.1125,5.55,6.0,5.275
SA,Mid-Depth,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
SA,Lower Photic,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
SA,Deep,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
WG,Surface,5.909544282029234,5.37447297815255,5.0,6.393250747543784,9.1,10.704316546762588,11.0,10.631901840490798,9.930797652684198,8.855319148936172,9.0,6.928150134048257,6.6,8.620028208744712,9.0,6.018750000000001,5.9,5.1,5.226898047722344,5.2,6.167629046369204,6.2,6.550346020761247,6.5,7.688118811881188,8.0,4.397489539748954,4.0,6.612676056338028,6.5,12.0,9.336039603960396,6.8,10.046592844974446,10.375,7.953357817418679,7.9,6.0,7.378929765886288,7.55,6.079233226837061,6.0,6.655802861685213,6.857801418439716,7.1,5.1895442359249335,5.2,4.503846153846154,3.6643896976483763,3.5,4.168867268936761,4.0,7.61864406779661,8.0,5.208786610878661,5.0,5.412903225806451,5.35,5.604109589041096,5.6178321678321685,6.172143489813994,6.2,6.232627118644068,6.2,6.675,6.75,6.1,5.470967741935484,5.5,4.922284122562674,4.6,10.231683168316833,10.4,12.004116638078902,12.4,7.743612334801763,6.8,5.99672131147541,5.9,6.3610634648370485,6.3,7.8350877192982455,8.1,5.244351464435147,5.0,5.941218637992832,6.0,6.154200988467875,6.2,5.68779268447032,6.244499199211532,5.792148760330578,4.919821971341728,4.25,9.241939546599497,9.8,9.038850174216027,9.2,6.29073756432247,5.95,8.577156943303205,8.75,8.377218934911243,8.225,9.18344155844156,9.5,7.837948627726953,5.5,6.25,6.73,8.75,8.336393660482917,8.18,7.76875188606269,6.9,6.975,7.9,9.05,7.825,5.825,5.575,6.824999999999999,7.58,5.775,6.975,5.9,6.525,6.65,8.3,6.6875,6.0,6.15,6.55,6.6,5.35,5.7,6.0,6.4,7.25,7.35,7.125,6.25,6.55,6.716830747531735,6.275,8.0175,7.7,6.425,6.9625,8.2875,7.362500000000001,7.575,8.8,6.9,7.625,8.125,7.592500000000001,9.6,10.35,7.6,5.949999999999999,7.025,6.15,5.375,6.7,6.25
WG,Mid-Depth,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
WG,Lower Photic,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
WG,Deep,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
WP,Surface,7.0210225921522005,7.017577052181874,7.016470588235293,7.0,7.1,7.0,7.006246575342466,6.776470588235293,6.020516157015832,4.0,4.245275840202917,6.711891891891892,7.0,5.6,5.671098265895955,5.0,5.006060606060607,4.837569060773481,4.5,4.579704190632703,5.5,5.522178988326849,6.140750670241287,6.1734000377572205,7.8938303341902305,8.0,7.598206278026906,7.585055643879173,7.0,7.084442404772832,8.0,6.552122986822841,3.9,7.5,7.360337178349601,8.0,7.8228744939271255,5.5,6.6,6.436182572614107,4.8312349914236705,4.6,6.73,7.0,6.899476744186047,5.6,5.614754098360655,5.286203787195672,4.8,4.938380015140045,6.6259999999999994,6.676037287515993,9.1,8.712903225806452,5.0,5.258995815899582,5.3,5.540485829959514,9.001315789473685,9.55,4.981389365351629,4.6,6.005932203389831,6.0,7.134375,7.3,5.95,6.238945712037766,6.3,5.641782729805015,5.3,10.945315161839865,11.4,8.9,8.775593952483803,4.5,5.140184757505773,4.5,4.612970711297072,6.3,6.183050847457627,6.1,6.085852090032153,5.7,5.836708860759494,7.4,7.2478873239436625,6.5,6.5206373292867985,6.22428139183056,6.356603773584906,6.083999999999999,4.55,5.1781298299845435,9.45,8.967934347477982,8.35,8.082332761578044,3.3,3.752118644067796,6.300000000000001,6.208662322729016,5.896696119861699,5.892646005016123,5.508606879220984,5.51192056413979,5.564754098360655,5.667925086666104,6.7574575920562685,6.45,7.9,6.525,3.95,5.0,4.45,4.725,6.525,5.679445727482679,7.075,5.55,6.05,6.131818181818183,5.431818181818182,4.828636363636363,4.179455044432827,4.425,4.1875,3.3875,6.8,6.5875,5.9025,5.949999999999999,6.3,5.425000000000001,4.7125,3.3125,4.525,4.5,3.625,7.2,6.9625,6.7875,7.3,10.1125,5.525,7.175000000000001,4.825,4.05,4.225,6.525,4.325,2.325,4.9,5.825,7.9,7.575,7.25,10.4,7.75,6.12,4.6,4.4375,4.65,4.0,5.85,6.362500000000001
WP,Mid-Depth,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface,only measured at surface
