location,depth_group,14/02/2014,18/02/2014,19/02/2014,26/02/2014,26/03/2014,22/04/2014,23/04/2014,27/04/2014,19/05/2014,24/06/2014,25/06/2014,22/07/2014,23/07/2014,12/08/2014,13/08/2014,08/09/2014,09/09/2014,25/09/2014,07/10/2014,08/10/2014,11/11/2014,12/11/2014,08/12/2014,09/12/2014,13/01/2015,14/01/2015,10/02/2015,11/02/2015,10/03/2015,11/03/2015,14/04/2015,05/05/2015,09/06/2015,14/07/2015,15/07/2015,10/08/2015,11/08/2015,09/09/2015,06/10/2015,07/10/2015,11/11/2015,12/11/2015,08/12/2015,19/01/2016,20/01/2016,16/02/2016,17/02/2016,01/03/2016,08/03/2016,09/03/2016,12/04/2016,13/04/2016,17/05/2016,18/05/2016,14/06/2016,15/06/2016,12/07/2016,13/07/2016,09/08/2016,10/08/2016,06/09/2016,07/09/2016,11/10/2016,12/10/2016,08/11/2016,09/11/2016,05/12/2016,07/02/2017,08/02/2017,13/03/2017,14/03/2017,18/04/2017,19/04/2017,16/05/2017,17/05/2017,13/06/2017,21/06/2017,11/07/2017,12/07/2017,08/08/2017,09/08/2017,12/09/2017,13/09/2017,12/10/2017,13/10/2017,07/11/2017,08/11/2017,13/12/2017,14/12/2017,11/01/2018,07/02/2018,28/02/2018,13/03/2018,15/03/2018,10/04/2018,12/04/2018,15/05/2018,16/05/2018,12/06/2018,13/06/2018,17/07/2018,18/07/2018,14/08/2018,16/08/2018,11/09/2018,12/09/2018,24/09/2018,10/10/2018,14/11/2018,12/12/2018,12/02/2019,12/03/2019,09/04/2019,14/05/2019,12/06/2019,12/07/2019,13/08/2019,10/09/2019,23/01/2020,11/02/2020,10/03/2020,14/04/2020,12/05/2020,09/06/2020,14/07/2020,11/08/2020,08/09/2020,13/10/2020,10/11/2020,08/12/2020,19/01/2021,16/02/2021,16/03/2021,13/04/2021,11/05/2021,08/06/2021,13/07/2021,10/08/2021,07/09/2021,12/10/2021,09/11/2021,07/12/2021,18/01/2022,08/02/2022,08/03/2022,05/04/2022,10/05/2022,14/06/2022,12/07/2022,09/08/2022,06/09/2022,18/10/2022,08/11/2022,06/12/2022,17/01/2023,14/02/2023,14/03/2023,11/04/2023,09/05/2023,13/06/2023,18/07/2023,16/08/2023,05/09/2023,18/10/2023,14/11/2023,05/12/2023
SA,Surface,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,304.54545454545456,304.8181818181818,320.72727272727275,318.45454545454544,245.0,292.81930432687363,244.9671114441927,288.7254535621221,243.85326456724272,241.58638864691895,243.2555823461579,247.0,244.0,243.0,243.0,242.0,239.6930749039501,242.3596598783253,242.34262948207171,230.89614360400228,246.24532798262615,247.7688747146387,247.82630171108596,246.0,245.27272727272728,243.0,243.6293192315414,242.11952484457044,242.0,242.05321323958756,245.0,244.55397206860064,247.65185632691163,237.84569266395627,249.32284750331087,248.0,245.2722866120322,245.8221427890079,243.1506148729351,243.93881120647472,242.0,242.28594942153572,245.0,247.5475787331871,248.0,249.0,262.8516334787248,249.9384977612899,249.0,248.40949259867423,247.0,234.350997737658,300.0,242.4784521820731,245.68955716247083
SA,Mid-Depth,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,304.3,305.4,320.9,318.4,245.0,293.3428045823422,245.5646885918992,288.62898864250946,245.6169866737783,242.03484981071773,243.5377080689707,246.9980831293627,243.9330889443179,243.4849199289249,243.00459203435463,242.179377837235,240.940618210382,242.3199819180495,245.0,243.6060296005552,247.0,247.5414806888335,248.02303619599,246.5377458801266,246.8,243.0,243.7802933243872,242.3045734449503,242.02701357489792,242.50647903853343,244.99610209629608,247.0,247.514249631628,248.0,249.0272690967136,248.6615007648701,246.0,246.0,246.0,243.65083937382428,242.414847371046,242.6662861590615,245.0,246.9992019818781,248.0,249.0,250.0,249.8073060429702,248.74966138954133,248.3510850649074,247.1452055408748,245.9223483815569,300.0,244.64825887631255,246.0
SA,Lower Photic,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,306.3,306.44444444444446,324.8,324.6,248.6165757611948,294.82751572313373,246.63695538180417,292.60333085986,246.8593519058977,242.752180133778,245.6888529530388,249.09193967611083,244.78910498656396,246.0958133175287,246.3759134587825,245.83865600496128,241.7843088136358,242.8893490047197,245.0,245.6552499195246,247.66259239048208,248.8880498592216,250.0618012780344,249.75255508618253,251.3,248.5764940483733,246.8771982349418,244.4389306302749,248.37263154584724,242.9932484003604,245.9863565133437,247.7740289870127,248.9168036278314,248.77022848998368,251.4782507610626,251.2120769119001,248.67823632136975,248.7624145913663,246.7834101530378,246.831145191752,243.1055199227923,244.83074123670707,245.0,248.66547745571117,248.1053771199995,249.6348067812084,250.402966052358,252.35373784769408,253.4611658700622,252.4835984220988,251.74687522677215,250.7838977824233,300.0,245.1392214803433,245.9979301834914
SA,Deep,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,306.7894736842105,309.0,324.7894736842105,326.0,250.173594525848,297.2905320634353,250.42601928856604,293.76786924785347,248.08482626237924,251.7377161805698,250.704903376392,250.6968245646057,251.5216184757324,251.85146469830468,252.0918045881555,253.48071607582892,253.11879845263456,252.50055038799147,246.35054177687084,246.99935284085663,249.36582762802848,249.90250831671423,251.91623301943287,251.0,251.75,251.6831005940141,252.1753535675823,252.6296101754882,253.3973978607243,250.95304997650615,246.94680979982277,248.9151877203645,249.17058643734623,250.5590246346716,250.4392260702856,252.80645907345905,252.0347174167016,251.34811720217203,252.5681984804073,253.63133041226575,252.6208695568122,252.8659085857037,246.24419764812765,248.0,249.16618455862545,251.88921580955372,253.0635637763853,252.3393313367698,254.42570907841636,253.81594116032124,254.1937671227062,255.1472690570348,300.0,251.04339084488325,250.2854033238613
WG,Surface,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,283.8934426229509,304.09090909090907,319.0,318.0,245.0,308.5687229437229,291.8892916899051,245.0,245.00000000000009,240.82213126964055,242.515168744139,247.0,244.0,244.0,243.0,243.2224428997021,238.13406550275064,242.0,243.0,245.0,246.0,247.0,248.0,247.0,245.0,244.0,243.67262354570136,242.0,240.99999227938756,242.0,244.0,246.0,247.0,248.0,248.82271084954763,245.7601397169511,246.0,245.0,246.0,245.04503822433796,242.0,241.0,244.0,246.0,247.0,248.0,249.0,250.0,249.0,248.4246575342466,247.0,238.61459291314569,300.0,244.0,237.8850480631336
WG,Mid-Depth,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,303.1,304.0,319.7,318.3333333333333,245.0,306.5742770167428,307.62498656636217,245.0,245.0,246.0,245.9692750743932,246.9664673637375,244.0,244.0,243.0,240.3180131639434,240.0,242.0,243.0,245.0,246.0,247.0,247.42945767263768,247.0074573108323,246.0,243.9941798183069,243.9951291256451,242.03922806082284,241.75899752015025,241.9924977030645,244.03948374327152,246.0,247.0,248.0,249.00003810034133,247.3561637790352,246.0,244.99772762258448,246.0,243.9942444984518,242.0,241.0,244.0,246.0,247.57847482860956,248.0,249.0,250.0,249.0,248.42426515315088,246.9990452060004,246.0057750821948,300.0,244.0,244.5490650912257
WG,Lower Photic,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,304.0,304.8,320.6,320.6,246.49526235546145,307.4054794520548,308.8507254164428,245.0,244.98901870394064,246.0,246.0,249.6409042248938,247.1315323780925,245.0789520412697,244.6477368108887,242.4124500393696,241.4978631177915,242.0,243.0588306574556,245.0,246.3347403961247,247.0,247.6506164360631,247.973678052187,247.7,247.9501918322763,246.5970883587545,244.96590561063348,242.96244448568945,242.6590825708974,245.00321590834,246.0775542282739,247.0,248.0,248.2298540734651,248.9648617935736,247.86748224816264,247.135505505675,246.650508824197,246.3092175755272,241.9978358169901,247.40334757282017,244.0,246.31751163408495,248.0,248.4556753014513,249.0,249.7720319494455,249.70987218242908,249.4632823275529,249.0725410086871,247.6845152384325,300.0,244.0,245.0
WG,Deep,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,303.53968253968253,304.13793103448273,319.3965517241379,319.5272727272727,245.9359159848405,306.6785478935534,308.1350069412142,245.6369219289608,245.83430137155923,246.0,246.58908691497737,247.0,246.99944759700668,247.3239525764025,247.77937621450465,247.44212286438648,248.08852634308388,247.41191564603704,247.0270751043784,246.7008057278348,246.48498441046013,247.2972106838463,248.0,248.6295393607968,248.0,248.0,248.0925174431528,248.4419257282619,249.14379894617647,248.86658784672932,247.90604448661065,247.67758268554863,247.42835231660817,247.8156604348816,248.17285777039797,248.8789504469284,248.99353746600545,249.20069817786035,249.13087236939256,249.5650701064099,248.9868390086906,249.23863055060923,248.2832322279832,247.43689972856228,248.31682171535368,249.0,249.0,249.08971757119323,250.0,249.5546391075069,259.3846593530592,250.55160670261765,300.0,249.5594235393569,249.3456951555176
WP,Surface,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,303.0,253.1106463645953,320.0,318.0,245.0,245.32478019378289,245.5607719094909,245.0,241.66506408640828,246.0,243.43352408628368,242.6706008508513,243.53413551298408,242.8410497809712,242.17349405104736,242.0,233.6417290817519,237.2837486629692,242.6198360428393,244.847708400742,243.98829349347852,247.16241834003677,247.0,246.69306884069027,246.0,243.0,244.0,242.0,241.2736910957459,245.2673266293745,244.0,246.04547798700253,245.6727280216708,237.3821061018299,249.35056167409445,248.0,245.4532730007941,245.58226378518347,245.2166981899984,243.45658531076944,241.21537892171557,240.73288141530665,244.0,246.55389071723548,248.0,248.29843545525645,249.0,248.44574343718315,234.27381923407688,239.5606732091749,237.76795737484065,235.320443147992,300.0,244.0,231.5404669235745
WP,Mid-Depth,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,303.0,304.0,320.0,318.2,245.0,245.1195693641457,244.99423709427535,245.0,245.0,246.0,243.54266451707463,244.07858044473397,243.66870095902357,242.99452954048135,242.7589002632787,242.0,237.7643771888101,240.2845745151277,243.0,245.0,244.999288005716,245.7969189952854,247.0,247.00258013246548,246.6,243.2081904902001,243.5346512094674,243.8581853980897,241.0,241.35986532652976,244.0,246.15360127775563,247.0,247.15948346207145,248.53686044201496,248.67740559682335,245.9971533139309,245.0803084057918,245.7858571332177,242.3767439192356,240.3790148182051,241.3334357450552,244.0,246.0,248.0,248.0,249.0,249.0,245.6592145514058,246.75954652253108,246.1915449606958,246.0835285486333,300.0,244.0,245.0
