location,depth_group,14/02/2014,18/02/2014,19/02/2014,26/02/2014,26/03/2014,22/04/2014,23/04/2014,27/04/2014,19/05/2014,24/06/2014,25/06/2014,22/07/2014,23/07/2014,12/08/2014,13/08/2014,08/09/2014,09/09/2014,25/09/2014,07/10/2014,08/10/2014,11/11/2014,12/11/2014,08/12/2014,09/12/2014,13/01/2015,14/01/2015,10/02/2015,11/02/2015,10/03/2015,11/03/2015,14/04/2015,05/05/2015,09/06/2015,14/07/2015,15/07/2015,10/08/2015,11/08/2015,09/09/2015,06/10/2015,07/10/2015,11/11/2015,12/11/2015,08/12/2015,19/01/2016,20/01/2016,16/02/2016,17/02/2016,01/03/2016,08/03/2016,09/03/2016,12/04/2016,13/04/2016,17/05/2016,18/05/2016,14/06/2016,15/06/2016,12/07/2016,13/07/2016,09/08/2016,10/08/2016,06/09/2016,07/09/2016,11/10/2016,12/10/2016,08/11/2016,09/11/2016,05/12/2016,07/02/2017,08/02/2017,13/03/2017,14/03/2017,18/04/2017,19/04/2017,16/05/2017,17/05/2017,13/06/2017,21/06/2017,11/07/2017,12/07/2017,08/08/2017,09/08/2017,12/09/2017,13/09/2017,12/10/2017,13/10/2017,07/11/2017,08/11/2017,13/12/2017,14/12/2017,11/01/2018,07/02/2018,28/02/2018,13/03/2018,15/03/2018,10/04/2018,12/04/2018,15/05/2018,16/05/2018,12/06/2018,13/06/2018,17/07/2018,18/07/2018,14/08/2018,16/08/2018,11/09/2018,12/09/2018,24/09/2018,10/10/2018,14/11/2018,12/12/2018,12/02/2019,12/03/2019,09/04/2019,14/05/2019,12/06/2019,12/07/2019,13/08/2019,10/09/2019,23/01/2020,11/02/2020,10/03/2020,14/04/2020,12/05/2020,09/06/2020,14/07/2020,11/08/2020,08/09/2020,13/10/2020,10/11/2020,08/12/2020,19/01/2021,16/02/2021,16/03/2021,13/04/2021,11/05/2021,08/06/2021,13/07/2021,10/08/2021,07/09/2021,12/10/2021,09/11/2021,07/12/2021,18/01/2022,08/02/2022,08/03/2022,05/04/2022,10/05/2022,14/06/2022,12/07/2022,09/08/2022,06/09/2022,18/10/2022,08/11/2022,06/12/2022,17/01/2023,14/02/2023,14/03/2023,11/04/2023,09/05/2023,13/06/2023,18/07/2023,16/08/2023,05/09/2023,18/10/2023,14/11/2023,05/12/2023
SA,Surface,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,0.7047647296436519,0.5489318328994862,0.4156597073032183,0.4115326919307049,0.4107773665685194,0.4263305864296798,0.3968968074334477,0.3022218859526872,0.3168386824132883,0.3661612295370596,0.4559664047901259,0.4726455109090909,0.4780252948877958,0.4365550315115859,0.5434084270112868,0.523903886356165,0.399212179381865,2.0594273555262594,0.8675559856353608,0.5094632120398165,0.4125015457037972,0.7168679284076134,0.7803271376319834,0.4590923789643979,0.3837049923475157,0.4111213209185538,0.6494199138547446,0.3449543629180757,0.5346329669117897,0.6106287432700142,0.6367578642534415,0.6582305907120704,0.6101386980850546,0.3560124713420513,0.2603733944652289,0.5676375027653355,0.4739530311579479,0.582766045016322,0.3835936485403431,1.010816213620228,0.6294752623351375,0.4970137967956976,0.4829145558444116,0.6482281426022387,0.5266537098141705,0.6103782617434005,0.5852523870158429,0.5272966547763989,0.4189927769338372,0.5888620456196704,0.5914443015294182,0.6193733650167945,0.50546926431317,0.3354142379557792,0.4211356988234644,0.4349056529286122,0.5276476490268198,0.497533635228913,0.4111246710891406,0.6534989079400755,0.56701208792519,0.4591375678676728,0.6263752710502011,0.4647364486999067,0.5331233086453323,0.5000989562882723,0.4655526437403941,0.4962057416612755,0.4483810173733318,0.4374461304896377,0.4838404082015595,0.5455934946576421,0.6704632055445312,0.5525617194994593,0.492350170281999,0.5956855647754685,0.5595741561232718
SA,Mid-Depth,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,0.858504760516204,0.5643689276403354,0.6050216247404137,0.6435044066144348,0.6313723338305671,0.4993930753471683,0.5437425141875334,0.4184083858469459,0.4278314434515856,0.4203703788220122,0.5160615447298784,0.54545231,0.543986326447628,0.559926950755864,0.5605310344695102,0.4754602177659854,0.659011614943316,0.576650154730433,0.5816176361755153,0.5381819097231924,0.9162420364831002,0.6571038719535147,0.5128230913560248,0.4849281492258145,0.4355733072466982,0.5021525232118638,0.6045004444490085,0.4655870060798259,0.6996614427813984,0.5408058060116625,0.8102149891418475,0.5621257837267204,0.5650324138469632,0.5532060439402947,0.2939937715601097,0.5830342762485797,0.5183864715258023,0.4511076123213685,0.5462012842955353,0.6613402092499449,0.658177246125209,0.5314161248291189,0.4351333683685084,0.5097020793195779,0.5284575776877849,0.7157975627043525,0.5627120036595863,0.6429817164577295,0.5131926609551907,0.6960331746280521,0.6764535643130667,0.6435914874641904,0.6772087483045344,0.374596067671084,0.4587983784957076,0.4639228012023819,0.5140565445200715,0.5416645341154211,0.4565019790732965,0.5645444229908999,0.5154262761709606,0.5626157178364319,0.5715860888433162,0.4744548310927623,0.5770800537950925,0.5049516364433785,0.820159061407654,0.5633863210384371,0.4558984571160388,0.5738267274533577,0.6503721005943051,0.6689645343828318,0.6652875732088172,0.6803832182066717,0.5238376529417673,0.5977096172138074,0.5757930703559218
SA,Lower Photic,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,1.050115703046331,0.709900551722971,0.6671691247709833,0.697957972631016,0.688074220801754,0.6067424455257064,0.5088144830224568,0.471507902538379,0.4900025141617845,0.3912638134738385,0.657800457313185,0.783966606,0.7509812153224656,0.3568480152949745,0.4044689811101339,0.3811301455773846,0.6051199826358009,0.5497408372823247,0.6716964823629193,0.609548240367779,0.8182948813774591,0.6828969434614637,0.7671598628663101,0.5541609492922448,0.4780000266465081,0.4862465256894877,0.5167685155359278,0.530189750227658,0.8160048864531999,0.5860948489951416,0.7665435633641307,0.5229662959956465,0.5415006516549926,0.4542215556160882,0.3529239004127687,0.506849983867122,0.6764318390056016,0.4385856926235453,0.5431322468911628,0.5611233659210842,0.6926052535906309,0.6786737594665212,0.5569733462588411,0.6112249133851776,0.5711181635533216,0.4220381933237861,0.4131388825543732,0.5105642550832532,0.5022062417271603,0.7532514558829756,0.5439424363450507,0.7918437897946595,0.582761398140293,0.4467051849519142,0.5708495537760349,0.5487609074846241,0.4031782564467967,0.5380204349738387,0.5330785213179391,0.5098393360609752,0.604053851829865,0.4531295538277698,0.5305307442737174,0.4359123640622718,0.5823315954109625,0.6193019082547223,0.705603545602022,0.4977882130404554,0.4678665002691657,0.4047130403365042,0.3910337804658885,0.6195446266566497,0.5885738801231495,0.6534719855763694,0.5062962969216567,0.6307198711574973,0.6935569631642649
SA,Deep,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,1.4028153144074185,1.178720228831528,1.1896567267416849,1.041469289615369,1.088581325960152,1.1826107134458204,0.8120114665655389,2.0114245136490765,1.9366241613245776,0.8084695529928961,1.2726598232031734,0.5751619745000001,0.6256752641783025,0.4219637308339304,0.4325171332939724,0.436799982102584,0.8523873608510362,0.3891713064738504,1.0312852335530378,0.5212495861760814,0.9472494417360922,1.415361036066211,2.067913222976053,1.6767308440016202,1.4859607089977611,0.882710471068473,0.539809556811838,0.4848526065159866,0.4007935539027747,1.1414835028370942,1.058755949739434,0.4945363402040995,0.5304756631711145,0.5631786682445629,0.1748631293904398,0.4379215282599679,0.5291609617302289,0.4724036172914623,0.4199152862301074,0.4966067678034,0.7117529248691284,0.9248508645897602,0.9625088591607218,0.783402517456192,1.2177240039064918,0.5866614729043238,0.6062402137619695,0.6786276669874259,0.6793935677189495,0.580030684444473,0.6651034809836476,0.5548431676337051,1.165561305172652,0.6460169512017617,1.0096426209095215,0.8991018639120587,0.5287383821056592,0.4667450395458583,0.4701865591245779,0.4719468605771056,0.5442712288286502,0.338167263083696,0.4226735518151209,0.4879786119032241,0.41833829320289,0.8902981206614364,0.88824270614208,0.6664090134409489,0.6131342316787655,0.5284464919474888,0.4025834835695294,0.5611186805736549,0.5539127477073826,0.4534757594680735,0.5746997272437222,0.5443465973514597,0.99097658348494
WG,Surface,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,0.3781271914304668,0.3152950895794417,0.6956095410698238,0.4680116163279865,0.4246419508996242,1.2692180512257418,0.2692473685810778,0.3335123204054516,0.332543914110542,0.3931496989743142,0.3005707445364406,0.2399833541571538,0.2239298650215922,0.4631318971438808,0.3428959483776743,0.4182166125183537,0.49945768293283,2.505238228054205,0.6977506540723187,0.4793204110752905,0.6560292676582351,0.5648289074457578,0.7163918687406889,0.5307432651407913,0.2966363812997588,0.262886464824704,0.3230247735718002,0.2744815480203097,0.3540580254080201,0.3706717717286999,0.4239503082318406,0.468290434581894,0.5291598776546215,0.3699827112576496,0.2190442589422144,0.4745799926274481,0.4244496413947776,0.5290833287839944,0.4299020257844688,0.4157910943293123,0.3571218258897315,0.2957422161128259,0.4746368153142276,0.5391412386171267,0.4542393253362997,0.6832128925546974,0.5844879925863383,0.6020378846249589,0.4608633604588245,0.4038752018721352,0.4703910065736535,0.4763181381545507,0.3759823324380906,0.2882663469659059,0.2236366917130508,0.2620643636694139,0.3972834412736011,0.569079641801591,0.4665861109002678,0.4080508576087208,0.4443707128930303,0.3841916792318081,0.6760429917502541,0.3906440998240601,0.3611381489872703,0.3509368104066512,0.3765361340896351,0.3850127121818181,0.185554963696098,0.3765195539872505,0.2774867928690595,0.55221784476679,0.433394691791619,0.4745593716777209,0.2730088024916989,0.2322270955078225,0.4111549446640405
WG,Mid-Depth,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,0.3841335691237765,0.2813132890460091,0.6397437157116653,0.579732991182765,0.5722262806016161,0.7828548385741129,0.2489420523483497,0.3417552050428647,0.3424366820538153,0.3630190804230598,0.4288852523364845,0.2397397224905964,0.2331514877392523,0.3133687808151685,0.2613085759353183,0.3564509290093927,0.4674734466319759,1.162537588746947,0.6374816080493184,0.3628055763677365,0.6292637920924816,0.2246385675073315,0.4092303716325655,0.434993779065122,0.3760797228488251,0.4132261504920003,0.3352214924325434,0.3372183648086732,0.4251025388801815,0.3839684085666832,0.6823855310357428,0.4650371979109312,0.6049117462027052,0.3892061601348665,0.2524951861410655,0.4849681903547992,0.461597043957772,0.4736853897431677,0.4675445219147359,0.4357522325787962,0.352812239386722,0.3137162591748171,0.4604478228351626,0.503028793691729,0.3769749102099181,0.7248482074420333,0.6617445337195982,0.6743040745081073,0.4951305342711424,0.509880048517834,0.4173131464881446,0.4619581235454687,0.3833633635851504,0.3100724236087215,0.2333111707973637,0.2721163441433769,0.3957366956640471,0.576029342081974,0.4648112199971089,0.4382456439535618,0.474413106966459,0.5884445397998268,0.6714617192817899,0.3975323035137406,0.4151518420408269,0.3956331617987257,0.3690686603526805,0.4222795730960197,0.2292197424929885,0.4920903994386781,0.3500295895806324,0.5518010591048823,0.479194034454227,0.553512950819877,0.3715065579730121,0.5161064324334836,0.3876811143698174
WG,Lower Photic,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,0.3975730825762092,0.2923862215597979,0.4185267084309353,0.3845686187044471,0.3823635816507444,0.393871338900451,0.2053575905739894,0.2821278378808543,0.2809441170184915,0.3433378908879481,0.2273460284718438,0.2422864690394979,0.2354992402970225,0.2455497335181404,0.2504202440397857,0.3482175861295326,0.335585644826542,0.1924383260467841,0.5211624591081658,0.3482816131137966,0.6788583555613126,0.2725640159094989,0.2714015905564448,0.2419711746831199,0.2212075079970898,0.1892537983034262,0.3091049932656419,0.2949611025545087,0.4411283314713756,0.3836985277507641,0.523708676078799,0.4481325159914055,0.3324820907684095,0.3101050229549624,0.2383853763530093,0.519984647668403,0.3822655163823306,0.4712452526440664,0.5495431830458115,0.3959335961370685,0.3423495399306454,0.3191634619881298,0.322619826615436,0.2988320244441699,0.2647001575575559,0.2529898522657832,0.2991078651166512,0.6271983207704876,0.3945898824355317,0.5028609963087516,0.4905902161708251,0.4505700477419707,0.3774558938378778,0.4052473734295215,0.2386020796543194,0.2786360760746744,0.280669270519717,0.6378922642193792,0.3813886749323475,0.4202660143365032,0.3891941020012355,0.789429472062567,0.8137402695899647,0.4318965671733245,0.5449375201469872,0.337280817841213,0.2961225329745809,0.3055553697,0.2409690577042248,0.3146913622106888,0.2936765674321191,0.4859148427164428,0.7480387061466349,0.5454467742164888,0.3295364937022344,0.4767549626685056,0.3883172601845322
WG,Deep,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,0.1400118222120729,0.2722212394499548,0.2294199973443254,0.2569509072796111,0.2604446591678382,0.1069028728593161,0.1351571401495585,0.322151132256901,0.323006735094831,0.1168069815741372,0.4271549796011347,0.1714259520975745,0.1608763276189153,0.1382596993345156,0.1396542622715552,0.1113718498319072,0.0888433344136482,0.0848108757893611,0.1129696010882772,0.0867896217615695,0.1229263274290102,0.1571662807650572,0.1345140535389418,0.1541874246139838,0.0898750703144921,0.3911732260903984,0.2869428506313428,0.1440739776930223,0.152739379239671,0.1698435853987482,0.1529813441797339,0.2421594102388504,0.1092915886120143,0.0812547467313567,0.0397459656275953,0.1110335834292584,0.1280685342855426,0.1411004709482879,0.2061556491611038,0.1459791476868263,0.1176116058066917,0.0850955563441087,0.0919203909121875,0.1219988872144994,0.0652884401980986,0.0942157183657164,0.1454372380384105,0.2492461777859404,0.0856777295573179,0.0965375550589325,0.137955371793886,0.1132395676554614,0.0900713171502501,0.0762411723174503,0.0796797733344742,0.1080130913258109,0.0905017106776756,0.2252478492636666,0.3830476764800264,0.2476637768801019,0.1656425811040799,0.1656025079074118,0.2559886860877001,0.2214950382867064,0.1614470769345377,0.1283922431093732,0.1786429701667149,0.180600188221374,0.0857729719162558,0.0773527277531283,0.0855543112211939,0.1540713918504183,0.1418221352788938,0.121730504332129,0.1065017314517519,0.1572958344970011,0.1208928444603591
WP,Surface,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,0.625748533631545,0.4724336434630062,0.5289791915206724,0.6091939076058908,0.5838390280905953,0.3262661991148135,1.0716068541457515,0.122630310655493,0.1443938575712155,1.3262434334143842,0.3495883246617454,0.3993933664335001,0.4089592930678135,0.4383362770620005,0.4370067257092911,0.626846926851801,0.8777600135253586,0.399986603221604,0.4301902722181918,0.7345633391438262,0.4616524757877594,0.5429686979031833,0.5008872021242328,0.90972984468301,0.3430909486858262,0.5793463144906553,0.5509389413620431,0.5357490286878771,0.6685588572858465,0.4339433636757715,0.8112998334992718,0.4746234031582579,0.5777532179456445,0.8284086780108926,0.6045238906630055,0.6574301932522852,1.0908004842088157,0.8746110482018168,1.41299878138929,0.5031291141826012,0.4829986651584796,0.420483685193052,0.6276606219988558,0.5059543547740823,0.536012865764111,0.9807948085665262,1.09695026057869,0.8163728633526947,0.8169730984475515,1.2785750653290942,0.4752333765618193,0.5067576887176731,0.4319599196296737,0.3511428189801929,0.258470928649872,0.2818325100118889,0.5371733703581011,0.0212751782623485,0.7315400223665989,0.8999141204913087,0.5438883098356212,1.1713123530108354,1.617513014353258,0.295272450821108,0.5255371893308017,0.3763220554449482,0.4170258284358832,0.5023138152857466,0.2426726320907474,0.619933569878443,0.3872603133042411,0.7992223235849383,0.6448118961566733,1.1230100813508397,0.4139437785469838,0.5492811492578775,0.4820442312651272
WP,Mid-Depth,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,0.4333889878239431,0.2374621907750357,0.4396135735702685,0.4322878489200675,0.4290445643286759,0.4160739412974147,4.614550247607614,0.3508549552246972,0.3498710854724266,6.409665446950273,0.3196397935213796,0.4175268967288848,0.3987967650952512,0.402302456398853,0.3943186471426848,0.9451795105425076,3.302437297517886,0.4169009814214848,0.4975985625116371,1.659131213709953,0.4993714431790952,0.4638533996494914,0.2808643266353844,0.4399916681964049,1.020602510119598,2.850215845784493,0.4824078834731107,0.6081303144812684,0.7177118538697739,0.4308953152805609,1.5459925594867407,0.4135305501995002,0.6220622609577608,1.3496854128814717,0.6348016098277196,0.7169440189944848,1.5075889839567205,1.0027682481864233,2.165765663291549,0.9933766225372558,0.5103664697224745,0.3950929306862994,0.581898269346029,0.4580110050737349,0.4680627509709731,1.2857891482375208,1.994944007959716,0.8100064935814387,2.4309524123896398,1.434387644933278,0.6409063209716555,0.6018566199349707,0.3661172479300884,0.3271515525486866,0.2632922281696122,0.4160486644807499,0.5105308264159527,0.9209071169602718,0.6565815901759604,0.5180402661109358,0.5428450679194642,2.090997958190468,1.072012355851529,1.0726102594768585,0.5450211317925304,0.4210572426773146,0.4041338714738491,0.4561483303960925,0.3037878784378677,0.6281337586950043,1.1722748911529357,1.212233906882478,1.147129465173874,1.917140964499295,0.4699023529081313,0.6276099337550767,0.4528518928333594
