location,depth_group,date,temp,chlorophyll_a,ph,turbidity,dissolved_oxygen,total_dissolved_solids,biochemical_oxygen_demand,secchi,nitrate,phosphate,Ammonium,nitrogen,phosphorus
SA,0-10 m,11/01/2018,20.52023804,1.696450114,8.676007784,0.707747683,1.630856186,276.3871421,0.349774678,6.623698823,10.55987777,1.700277926,5.541461247,51.05,25.84620506
SA,0-10 m,07/02/2018,20.33826735,2.102454636,8.89105028,0.552153827,6.588030781,276.3871421,0.743154642,5.361849412,19.63763177,9.666089065,0.995498712,41.675,23.7666219
SA,0-10 m,13/03/2018,20.69084031,2.505139287,8.921379204,0.571171213,6.615650826,276.3871421,2.2,4.1,1.721403596,17.6319002,1.190314603,32.3,21.68703875
SA,0-10 m,10/04/2018,21.5113993,2.87748944,8.775691838,0.428991139,6.949879534,276.3871421,2.8,7.55,0.84793116,19.14662444,3.133094592,35.65,19.60745559
SA,0-10 m,15/05/2018,22.71095547,1.989092254,8.840345333,0.292084261,7.315734075,242.1066413,2.2,7.025,2.91928507,18.83083694,7.669755271,44,17.52787243
SA,0-10 m,12/06/2018,23.26055297,2.328827109,8.918405216,0.365962623,7.080478982,256.0088839,0.8,6.5,13.39,13.65128131,7.918970244,35.85,15.44828927
SA,0-10 m,17/07/2018,22.59701799,2.513865501,8.880654589,0.471556438,6.969427111,269.9111265,3.1,5.825,0,11.3129615,4.21875,35.85,19.94181283
SA,0-10 m,14/08/2018,23.27504729,1.529208257,8.920381115,0.434617513,7.063523945,283.8133691,3.1,6.6,0,13.13662703,4.422505801,59.75003213,24.43533639
SA,0-10 m,11/09/2018,23.56241388,2.154392242,8.838192569,0.522043992,7.156022971,240,3.806207836,7.825,0.780774909,14.41372696,4.76274475,31.01448871,12.2176682
SA,0-10 m,24/09/2018,23.65690986,1.949981529,9.021412891,0.518197034,7.673712424,297.4578827,4.512415673,6.875,0,0,7.753872375,2.278945293,0
SA,0-10 m,14/11/2018,22.65985441,2.714807095,8.85264826,0.514350076,6.845965565,225,2,5.925,7.57,6.595,10.745,28.48042673,32.17
SA,0-10 m,12/12/2018,21.48715446,1.810013347,8.676075216,0.611713794,7.237982782,201.2,2.1,6,0,0,13.34977273,54.68190817,27.88934783
SA,0-10 m,12/02/2019,20.70249019,3.162290259,8.497697246,0.709077512,7.63,252.9,2.2,6.9,14,12.2,15.95454545,0,23.60869565
SA,0-10 m,12/03/2019,21.21877372,4.514567171,8.708772872,0.672002472,7.488,304.6,2.5,6.05,11.6,10.3,6.955555556,0,15.86956522
SA,0-10 m,09/04/2019,21.52861238,3.341801617,8.753406545,0.634927431,7.605,304.9,2.5,6.93,4.4,8,7.542857143,0,13.625
SA,0-10 m,14/05/2019,23.30046824,1.760399615,8.716161318,0.380444294,7.410947675,284.9333333,4.2,6.25,1.872727273,10.5,14.7826087,0,14.18181818
SA,0-10 m,12/06/2019,23.62479373,1.336600742,8.81140297,0.414957305,7.246239339,264.9666667,2.5,5.65,1.061538462,3.40625,20.02702703,0,17.59090909
SA,0-10 m,12/07/2019,23.44526641,2.348391235,8.783167603,0.657448253,6.945812312,245,3.4,4.625,3.41025641,9.9,5.209302326,21.07249154,18.63636364
SA,0-10 m,13/08/2019,23.85895613,1.300874127,8.807352946,0.34398524,7.182337049,280.6927619,3.9,5.8375,3.363636364,14.8,13.47826087,0,13.60869565
SA,0-10 m,10/09/2019,23.77249476,1.707013521,8.903791597,0.531225642,7.233249345,244.9638226,0.8,7.05,0,0,6.739130435,0,0
SA,0-10 m,11/02/2020,21.33902148,1.890767829,8.714403032,0.618164367,7.648947033,243.6932082,3.4,5.75,11.23529412,11,0,0,12.90909091
SA,0-10 m,12/05/2020,23.53035793,2.074522138,8.711675064,0.339207368,7.420083736,247,3.6,6.1,3.2918375,2.524645161,18.73913725,0,15.58333333
SA,0-10 m,09/06/2020,23.28527304,2.768513302,8.626713765,0.452840771,7.420047205,244,3.1,5.5,2.588304094,4.5654,11.45839627,28.26120559,11.40909091
SA,0-10 m,14/07/2020,23.73168301,3.360208299,8.605098356,0.566474175,7.464983796,243,4.2,4.9,1.764614379,14.8919,9.695127273,1.146570281,10.07142857
SA,0-10 m,11/08/2020,24.00258445,1.674829308,8.697487095,0.477792412,6.979406405,243,2.2,6.1,2.199748503,10.6526,18.032,0,19.09259259
SA,0-10 m,08/09/2020,23.56781587,1.482193204,8.616837645,0.486840568,7.003987218,242,2.8,6.325,5.799586207,11.64492581,17.28782222,0,4.638297872
SA,0-10 m,13/10/2020,23.6845226,1.362731185,8.632666992,0.38176812,7.022828493,239.6650822,3.1,6.8375,2.6279375,7.3916,7.496820513,0,5.136363636
SA,0-10 m,10/11/2020,22.68513225,1.854445439,8.456654151,0.503968876,7.389346681,242.2948632,3.1,4.2,1.829413333,4.497931034,7.540166667,0,12.72
SA,0-10 m,08/12/2020,21.89535406,2.346159693,8.149125623,0.626169631,6.66343494,243.4204056,2.2,5.45,3.87703876,12.22875,24.75375,36.3801716,4.818181818
SA,0-10 m,19/01/2021,21.31809329,2.684077607,8.102161822,0.497584687,7.066336863,229.7943286,2.3,4.83,0,2.519863636,33.20464,26.54944431,5.813953488
SA,0-10 m,16/02/2021,21.04430227,3.379432069,8.412557159,0.482661366,7.026148467,246.1698608,1.7,6.275,19.44078481,6.463767857,7.2864,16.71871702,7.413043478
SA,0-10 m,16/03/2021,21.21687268,3.135489515,8.617984164,0.658519329,7.037071882,247.8457622,2,4.75,25.97869565,22.9357,24.28754957,54.20217273,7.854166667
SA,0-10 m,13/04/2021,21.49837767,3.146443226,8.617276118,0.528073708,7.409080996,247.8586698,1.7,4.525,2.701584416,21.74,30.04465789,36.84232573,11.34782609
SA,0-10 m,11/05/2021,22.71575841,1.430658736,8.659522915,0.600089707,7.417648661,246,2.1,6.025,0.501056604,10.4352,18.54969258,42.03733883,22.82230769
SA,0-10 m,08/06/2021,23.97214504,1.406487398,8.701769713,0.585581369,7.473341919,245.3,2.5,4.8125,25.50773684,10.05287586,7.054727273,0,13.44444444
SA,0-10 m,13/07/2021,23.63708883,1.979374414,8.790574089,0.522053795,7.36676985,243,2,5.8,8.672567568,9.670551724,10.28322581,0,21.06602254
SA,0-10 m,10/08/2021,23.47237432,1.137308623,8.818670057,0.417419965,7.397959564,240.5289594,3.4,6.4,6.565233333,19.566,19.71630769,0,14.26086957
SA,0-10 m,07/09/2021,23.64865212,1.69370758,8.460061441,0.579258968,7.399537558,242.0271953,2.5,5.625,12.09773333,26.61396774,17.57741176,0,11.77272727
SA,0-10 m,12/10/2021,23.91843202,2.283187061,8.439161918,0.5841693,7.477838734,242,2.2,5.175,17.704,20.40754839,30.74575,5.480375172,8.307692308
SA,0-10 m,09/11/2021,23.21460975,2.46220077,8.523957968,0.617013399,6.992147713,242.0585346,2,5.2,28.73543979,29.7838,32.15558621,9.715382596,11.13636364
SA,0-10 m,07/12/2021,21.73407955,2.641214478,8.485185921,0.507068538,7.093130618,245,1.1,6.125,13.47471111,15.25306452,25.09550909,14.61774063,8.818181818
SA,0-10 m,18/01/2022,20.97944742,2.216398457,8.443497406,0.330792362,6.76468717,247,0.6,6.8,16.13787692,20.24975806,35.83908788,39.96889351,29.92
SA,0-10 m,08/02/2022,20.89531005,2.453386321,8.601195845,0.420820825,6.942781885,247.717042,3.1,7.05,12.73698534,25.24645161,20.75791431,58.1482156,10.76190476
SA,0-10 m,08/03/2022,20.79481648,2.616242697,8.394046018,0.478793017,7.546786116,236.8302619,1.4,4.55,9.33609375,15.74597143,5.676740741,38.42665657,13.65217391
SA,0-10 m,05/04/2022,22.04143081,2.121317361,8.186896191,0.536765209,7.589467175,249.3551323,2.2,5.225,9.631489732,24.06928571,2.993239437,21.00273791,13.38214286
SA,0-10 m,10/05/2022,23.60113244,1.694491209,8.508604717,0.497533635,7.673712424,248,2,5.775,9.926885714,32.3926,16.4323871,0,12.39285714
SA,0-10 m,14/06/2022,23.14905808,1.905614483,8.686991704,0.408644426,7.342566271,245.1995153,1.4,5.75,12.12120455,10.68258621,11.592,0,13.57142857
SA,0-10 m,12/07/2022,23.14589008,1.612001429,8.623072322,0.661916253,7.412561998,245.8043571,2.8,5.7125,17.81328395,27.32493103,13.02861538,5.947578111,13.92
SA,0-10 m,09/08/2022,23.15486613,1.895803955,8.679319411,0.576091908,7.091904845,246,2.8,6.775,10.20997727,11.89305882,5.888,0,10.92307692
SA,0-10 m,06/09/2022,23.60389643,1.748483719,8.735566499,0.458029241,7.58967292,243.9326923,2.3,6.925,46.0035104,12.41230527,24.53695043,0,11.28571429
SA,0-10 m,18/10/2022,22.98700161,2.96997189,8.618268005,0.613248274,7.282552036,242,3.4,6.025,13.72810169,12.93155172,23.03789314,8.186765109,13.45454545
SA,0-10 m,08/11/2022,23.0296862,2.414392746,8.473295127,0.465015669,7.074862201,242.3145444,3.9,6.625,18.55085558,34.2405,8.071466667,23.35038609,18
SA,0-10 m,06/12/2022,21.72060968,1.953923496,8.473870871,0.526665259,6.991379134,245,2.2,6.2,23.37360947,29.7987931,17.0438615,42.6361941,11.77272727
SA,0-10 m,17/01/2023,20.93843957,2.404316626,8.057423214,0.500261693,6.907896067,247.2500874,2.5,6.375,28.19636335,34.12840313,26.01625633,61.92200211,13.95833333
SA,0-10 m,14/02/2023,20.8306116,2.319906262,8.144170135,0.458140431,6.587865041,248,1.7,7.2125,33.01911724,32.8274,15.48902564,37.39655913,14.86956522
SA,0-10 m,14/03/2023,21.40490335,4.790844511,8.230917056,0.545758487,7.673712424,249,4.1,5.1125,37.84187112,33.41042727,4.757714286,35.3000095,10.13333333
SA,0-10 m,11/04/2023,22.01185843,1.948239141,8.083014916,0.443246261,7.12905906,250,0.6,7.2375,25.14499806,33.99345455,12.376,33.20345988,12.86363636
SA,0-10 m,09/05/2023,23.48376528,1.287146305,8.280855765,0.42291327,7.673712424,249.9323475,3.1,7.5625,12.448125,13.044,0,0,16.36666667
SA,0-10 m,13/06/2023,24.34261402,1.619732059,8.478696615,0.48989284,7.669910373,249,2.8,5.833333333,9.388484848,13.85925,0,0,10.04347826
SA,0-10 m,18/07/2023,24.0155304,2.203525877,8.24205215,0.544055403,7.142385959,248,3.233631583,5.975,0,0,28.88831899,5.742500519,0
SA,0-10 m,16/08/2023,24.16439282,2.361199288,8.005407685,0.676411793,7.316590431,247,3.667263165,5.15,0,0,32.5364548,14.8087829,0
SA,0-10 m,05/09/2023,24.18380477,2.097211804,8.507137021,0.54546511,7.451776143,233.2895775,4.100894748,6.1125,0,0,21.29023512,0,0
SA,0-10 m,18/10/2023,24.08513029,2.271422328,8.327666499,0.571249266,7.166338597,300,3.728915294,5.55,0,0,0,0,0
SA,0-10 m,14/11/2023,22.8981749,2.445632852,8.148195976,0.597033422,7.015025945,242.3262974,3.35693584,6,0,0,16.45822436,24.06796745,0
SA,0-10 m,05/12/2023,22.41830809,2.845376782,8.285028244,0.563849851,6.751127747,245.6585129,3.513336167,5.275,0,0,8.284795865,45.59485071,0
WG,0-10 m,11/01/2018,20.5025402,1.696450114,8.676007784,0.379124134,1.630856186,276.3871421,0.349774678,9.513495268,21.20463621,15.61940098,5.800848022,55,23.48946537
WG,0-10 m,07/02/2018,20.61464858,3.609093196,8.80604004,0.318831929,6.137795346,276.3871421,0.530936944,9.251005165,10.6023181,29.24392553,2.780436433,56.74864258,24.84952171
WG,0-10 m,28/02/2018,20.72675697,3.343309092,8.911778058,0.693023951,6.082968994,276.3871421,0.529303746,7.841623474,0,0,0,54.64932129,26.20957805
WG,0-10 m,15/03/2018,20.93175282,2.363091338,8.964204625,0.423995579,6.780581413,276.3871421,2.96617607,8.294415649,8.949677692,16.92976806,0.508037772,52.55,27.56963438
WG,0-10 m,12/04/2018,21.74121944,1.382873584,8.812434307,0.269361939,6.732023783,286.2464493,2.5,8.747207825,2.08139588,18.92169203,4.792257385,23.35,28.92969072
WG,0-10 m,16/05/2018,22.92111457,1.370073319,8.834800177,0.285980738,7.242183498,241.5790197,2.2,9.2,6.714503987,15.88145291,9.137639741,35.55,30.28974705
WG,0-10 m,13/06/2018,23.58063616,0.862630737,8.89492206,0.302599537,7.107179309,202.1505911,1.7,5.95,3.274,14.34626308,11.37957268,40.45,18.89859855
WG,0-10 m,18/07/2018,22.38932946,1.103682995,8.787404465,0.224587246,6.66351473,243.5907774,3.6,8.75,0,14.90614164,4.28884291,31.7,35.11904762
WG,0-10 m,16/08/2018,23.3568157,0.716428459,8.931597093,0.352986312,7.071328381,285.0309637,3.4,8.225,0,15.00217603,4.011045223,47.74605108,22.43912349
WG,0-10 m,12/09/2018,23.83047057,0.982821994,8.872369894,0.508046593,7.111558458,236,2,9.5,0,8.400007662,0.947971801,53.19239962,25.97027251
WG,0-10 m,24/09/2018,23.85313504,2.100122294,9.138806955,0.607878602,7.673712424,229,1.4,7.5,0,0,2.855358276,0,0
WG,0-10 m,10/10/2018,23.02549205,2.344304056,9.090432555,0.707710611,6.916278506,222,0.8,5.5,4.229964327,5.58661856,4.76274475,27.01688739,31.64211598
WG,0-10 m,14/11/2018,22.82577535,2.588485818,8.985271202,0.487912239,6.958515133,222,2.5,6.25,8.44,5.255,9.36,54.03377478,20.335
WG,0-10 m,12/12/2018,21.59587351,2.051809134,8.303065721,0.655698479,6.390152017,201.9,2.2,6.73,0,0,16.10846815,49.11509484,34.3422978
WG,0-10 m,12/02/2019,20.66481975,2.963568066,8.571286854,0.588207951,7.385440942,280.8649284,2.1,8.75,8,23.7,25.95454545,0,25.56521739
WG,0-10 m,12/03/2019,21.48788778,3.096689599,8.902478247,0.715911971,7.507,273.6919427,3.1,7.475,22.26666667,7.8,12.95555556,0,12.82608696
WG,0-10 m,09/04/2019,22.11172467,2.750867243,8.798153418,0.521943182,7.652,266.518957,3.1,8.18,2.066666667,16,15.54285714,0,14.04166667
