location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus,nitrogen
WG,0-10m,28/02/2018,20.72675697,3.343309092,8.911778058,6.082968994,7.841623474,0.529303746,276.3871421,0.693023951,0,0,0,26.20957805,54.64932129
WG,10-30m,28/02/2018,20.46692465,3.170197302,8.755374535,5.802817902,8.652657241,0.402698762,276.3871421,0.546742485,0,38.69993712,0,49.91849091,42.6
WG,30m+,28/02/2018,20.26080699,0.671395298,8.53024287,2.062445044,10.15932095,0.408654003,276.3871421,0.229947922,53.36812149,33.0821443,0,46.34595309,137.0946272
WP,0-10m,28/02/2018,20.61521865,2.8063386,8.699494197,6.496717193,5.125703628,0.651111049,276.3871421,0.707641512,0,0,0,26.05236674,63.63918039
WP,10-30m,28/02/2018,20.2920524,1.678314313,8.529916088,5.669220795,10.09944391,0.468100997,276.3871421,0.389262681,20.58584134,31.7662998,0,42.94764882,60.8
WP,30m+,28/02/2018,20.42421972,0.664611334,8.49876673,3.133120993,11.31403832,0.439773196,276.3871421,0.254234704,68.57517583,33.93210957,0,45.01144199,137.1579927
SA,0-10m,13/03/2018,20.69084031,2.505139287,8.921379204,6.615650826,4.1,2.2,276.3871421,0.571171213,1.721403596,17.6319002,1.190314603,21.68703875,32.3
SA,10-30m,13/03/2018,20.40535945,3.074020443,8.719573274,5.585868652,7.074836048,0.477300472,276.3871421,0.663026471,1.773405568,15.99359187,2.909906487,33.03764905,32.6
SA,30m+,13/03/2018,20.40348786,1.819312794,8.415249975,3.714523076,2.177071058,1.292154724,276.3871421,1.023224953,37.98411201,32.22064581,3.728759765,63.42664767,90.13333333
WP,0-10m,13/03/2018,20.80626475,2.086559551,8.833505673,6.328672047,4.55,1.7,276.3871421,0.622114263,7.54562445,18.80212044,1.927282554,26.30274381,44.55
WP,10-30m,13/03/2018,20.36492391,2.923719022,8.615259463,5.910290244,10.29235918,0.836058175,276.3871421,0.394363535,13.05783347,30.27027875,0.94465862,38.47876103,49.85
WP,30m+,13/03/2018,20.40161626,0.713191339,8.489978854,3.211980565,9.06281437,1.153605709,276.3871421,0.516130821,30.5928984,34.15540993,1.490560805,49.67759015,77.66
WG,0-10m,15/03/2018,20.93175282,2.363091338,8.964204625,6.780581413,8.294415649,2.96617607,276.3871421,0.423995579,8.949677692,16.92976806,0.508037772,27.56963438,52.55
WG,10-30m,15/03/2018,20.66318378,2.478090524,8.798315283,5.826762304,8.735926479,0.744546274,276.3871421,0.420846179,3.177458809,17.86594425,1.360173722,45.68592828,38.86666667
WG,30m+,15/03/2018,20.25650919,0.655685418,8.501387716,2.278239473,10.94084568,0.908665833,276.3871421,0.17779867,41.58611527,33.54689541,2.394910233,47.12736173,125.9059704
