location,date,depth_group,depth,temp,chlorophyll_a,ph,turbidity,dissolved_oxygen,total_dissolved_solids,biochemical_oxygen_demand,secchi,nitrate,phosphate,ammonium,phosphorus,nitrogen
SA,2014-02-18,0-10m,5.310769230769231,20.8225,3.256,9.3075,3.0,7.68,300.0,,,,11.0,,,
SA,2014-02-18,10-30m,19.366363636363637,20.542727272727273,6.512,8.952727272727273,3.0,6.895,300.0,,,,12.3,,,
SA,2014-02-18,30m+,45.0,20.425,,8.385000000000002,3.0,6.37,300.0,,,,48.300000000000004,,,
SA,2014-03-26,0-10m,5.009090909090909,22.38181818181818,0.44399999999999995,8.5425,1.0,7.45090909090909,226.72727272727272,1.0,7.0,,125.95,,,
SA,2014-03-26,10-30m,20.5,21.7,5.328,8.1,1.83,6.3795,228.85,,,,150.3,,,
SA,2014-03-26,30m+,45.0,20.95,,7.765000000000001,2.0,3.98,229.0,,,,185.0,,,
SA,2014-04-22,0-10m,5.009090909090909,22.28909090909091,1.3509090909090908,8.726363636363637,2.0,6.976363636363636,300.0,2.2,5.1,,69.5,,,
SA,2014-04-22,10-30m,20.5,21.9065,2.0215,8.4515,2.0,6.1685,300.0,,,,79.0,,,
SA,2014-04-22,30m+,40.5,20.6415,0.557,8.0025,2.0,2.959,300.0,,,,100.5,,,
SA,2014-05-19,0-10m,4.633333333333334,22.90833333333333,1.0358333333333334,8.9175,,7.154166666666666,300.0,,5.3,,,,,
SA,2014-05-19,10-30m,20.5,22.464,1.206,8.9105,,6.805,300.0,,,,,,,
SA,2014-05-19,30m+,44.5,20.84714285714286,0.44035714285714284,8.307142857142857,,3.7289285714285714,300.0,,,,,,,
SA,2014-06-24,0-10m,5.05,23.530909090909088,1.4118181818181819,8.775454545454545,,7.429090909090909,300.0,,5.5,,,,,
SA,2014-06-24,10-30m,20.5,22.825499999999998,1.3045,8.9155,,6.6905,300.0,,,,,,,
SA,2014-06-24,30m+,44.5,20.899642857142858,0.37678571428571433,7.864642857142856,,2.802857142857143,300.0,,,,,,,
SA,2014-07-22,0-10m,5.009090909090909,23.35181818181818,0.6418181818181818,9.114545454545455,,6.965454545454546,300.0,,5.3,,,,,
SA,2014-07-22,10-30m,20.5,23.0905,1.207,9.2675,,6.605500000000001,300.0,,,,,,,
SA,2014-07-22,30m+,44.5,20.923214285714288,0.42214285714285715,8.318214285714285,,2.7435714285714283,300.0,,,,,,,
SA,2014-08-12,0-10m,5.009090909090909,23.21090909090909,1.0763636363636364,9.01,,7.294545454545454,300.0,,5.1,,,,,
SA,2014-08-12,10-30m,20.5,22.7745,1.418,9.01,,6.858,300.0,,,,,,,
SA,2014-08-12,30m+,42.5,21.107499999999998,0.5241666666666667,9.01,,2.7862500000000003,300.0,,,,,,,
