location,date,depth_group,depth,temp,chlorophyll_a,ph,turbidity,dissolved_oxygen,total_dissolved_solids,biochemical_oxygen_demand,secchi,nitrate,phosphate,ammonium,phosphorus,nitrogen
WG,2014-02-14,0-10m,3.51875,21.16625,,9.02625,,7.615,,,,,,,,
WG,2014-02-14,10-30m,16.0,20.525,,9.085,,6.91,,,,,,,,
WG,2014-02-14,30m+,57.0,20.43777777777778,,8.785555555555554,,5.1033333333333335,,,,,,,,
SA,2014-02-18,0-10m,5.310769230769231,20.8225,3.256,9.3075,3.0,7.68,300.0,,,,11.0,,,
SA,2014-02-18,10-30m,19.36636363636364,20.542727272727276,6.512,8.952727272727273,3.0,6.895,300.0,,,,12.3,,,
SA,2014-02-18,30m+,45.0,20.425,,8.385000000000002,3.0,6.37,300.0,,,,48.3,,,
WG,2014-02-19,0-10m,4.994545454545454,20.7,4.00379,9.452727272727271,2.0,7.598181818181818,300.0,0.6,5.0,,64.15,,,
WG,2014-02-19,10-30m,20.387,20.6095,5.46462,9.2515,2.0,6.719499999999999,300.0,,,,92.45,,,
WG,2014-02-19,30m+,62.080000000000005,20.426,,8.942,1.3333333333333333,5.446666666666666,300.0,,,330.0,92.83333333333331,,,
WP,2014-02-26,0-10m,5.009090909090909,21.745454545454542,1.0905,,2.0,7.8945454545454545,,0.6,7.0,,0.0,,,
WP,2014-02-26,10-30m,20.5,20.725,5.328,,2.0,5.867,,,,,0.0,,,
WP,2014-02-26,30m+,50.0,20.75,,,1.0,4.69,,,,,15.65,,,
SA,2014-03-26,0-10m,5.009090909090909,22.38181818181818,0.4439999999999999,8.5425,1.0,7.45090909090909,226.72727272727272,1.0,7.0,,125.95,,,
SA,2014-03-26,10-30m,20.5,21.7,5.328,8.1,1.83,6.3795,228.85,,,,150.3,,,
SA,2014-03-26,30m+,45.0,20.95,,7.765000000000001,2.0,3.98,229.0,,,,185.0,,,
WG,2014-03-26,0-10m,5.3500000000000005,22.39090909090909,2.8564000000000003,8.665,1.0,7.3109090909090915,226.63636363636363,1.0,9.1,,146.6,,,
WG,2014-03-26,10-30m,20.823809523809523,21.61,2.072,8.542,1.0,6.333,226.15,,,,142.3,,,
WG,2014-03-26,30m+,50.0,20.45,,8.274999999999999,1.0,4.234999999999999,231.0,,,,211.1,,,
WP,2014-03-26,0-10m,5.183333333333334,23.133333333333336,0.296,8.556666666666667,1.5,7.322500000000001,226.83333333333331,,7.1,,148.3,,,
WP,2014-03-26,10-30m,20.53809523809524,22.03809523809524,1.184,8.52,1.5,7.0214285714285705,225.95238095238096,,,,162.8,,,
WP,2014-03-26,30m+,45.0,21.05,,8.175,1.0,4.835,227.0,,,,620.0,,,
SA,2014-04-22,0-10m,5.009090909090909,22.28909090909091,1.3509090909090908,8.726363636363637,2.0,6.976363636363636,300.0,2.2,5.1,,69.5,,,
SA,2014-04-22,10-30m,20.5,21.9065,2.0215,8.4515,2.0,6.1685,300.0,,,,79.0,,,
SA,2014-04-22,30m+,40.5,20.6415,0.557,8.0025,2.0,2.959,300.0,,,,100.5,,,
WP,2014-04-22,0-10m,5.009090909090909,22.737,0.3661818181818182,8.68,1.5,7.011,300.0,3.1,7.0,,147.5,,,
WP,2014-04-22,10-30m,20.5,21.994,0.7415,8.663,2.0,7.06,300.0,,,,162.0,,,
WP,2014-04-22,30m+,41.5,20.80818181818182,0.8309090909090909,8.285,1.0,4.978181818181818,300.0,,,,172.5,,,
WG,2014-04-23,0-10m,5.009090909090909,22.36,0.5616163636363637,8.73,2.0,7.148000000000001,300.0,2.5,11.0,,252.5,,,
WG,2014-04-23,10-30m,20.5,22.137,0.786,8.659,2.0,7.044499999999999,300.0,,,,270.8,,,
WG,2014-04-23,30m+,41.5,20.69681818181818,0.7472727272727273,8.248181818181818,1.0,4.420909090909091,300.0,,,,271.0,,,
WG,2014-04-27,0-10m,5.5,22.716,0.762,8.697999999999999,,7.143000000000001,300.0,,,,,,,
WG,2014-04-27,10-30m,20.5,22.2435,1.0275,8.639,,6.8795,300.0,,,,,,,
WG,2014-04-27,30m+,87.5,20.460263157894737,0.2908771929824561,8.09780701754386,,2.8669298245614034,300.0,,,,,,,
SA,2014-05-19,0-10m,4.633333333333334,22.90833333333333,1.0358333333333334,8.9175,,7.154166666666666,300.0,,5.3,,,,,
SA,2014-05-19,10-30m,20.5,22.464,1.206,8.9105,,6.805,300.0,,,,,,,
SA,2014-05-19,30m+,44.5,20.84714285714286,0.4403571428571428,8.307142857142857,,3.7289285714285714,300.0,,,,,,,
WG,2014-05-20,30m+,,,,,,,,,9.0,,,,,
SA,2014-06-24,0-10m,5.05,23.530909090909088,1.411818181818182,8.775454545454545,,7.429090909090909,300.0,,5.5,,,,,
SA,2014-06-24,10-30m,20.5,22.8255,1.3045,8.9155,,6.6905,300.0,,,,,,,
SA,2014-06-24,30m+,44.5,20.899642857142855,0.3767857142857143,7.864642857142856,,2.802857142857143,300.0,,,,,,,
WP,2014-06-24,0-10m,5.009090909090909,24.076363636363634,0.62,8.562727272727273,4.5,7.079090909090909,300.0,3.1,4.0,,33.3,,,
WP,2014-06-24,10-30m,20.5,22.9785,0.712,8.678,9.0,6.659999999999999,300.0,,,,44.6,,,
WP,2014-06-24,30m+,65.0,20.638840579710145,0.255735294117647,7.82231884057971,,2.5518840579710145,300.0,,,,,,,
WG,2014-06-25,0-10m,5.009090909090909,23.675454545454546,0.3681818181818181,9.046363636363637,3.0,7.200909090909092,300.0,1.7,9.0,,106.3,,,
WG,2014-06-25,10-30m,20.5,23.111,0.702,9.194,3.0,6.999,300.0,,,,119.6,,,
WG,2014-06-25,30m+,104.5,20.471351351351352,0.1578378378378378,8.14439189189189,,2.215675675675676,300.0,,,,,,,
SA,2014-07-22,0-10m,5.009090909090909,23.35181818181818,0.6418181818181818,9.114545454545455,,6.965454545454546,300.0,,5.3,,,,,
SA,2014-07-22,10-30m,20.5,23.0905,1.207,9.2675,,6.605500000000001,300.0,,,,,,,
SA,2014-07-22,30m+,44.5,20.923214285714288,0.4221428571428571,8.318214285714285,,2.7435714285714283,300.0,,,,,,,
WG,2014-07-23,0-10m,5.009090909090909,23.24363636363637,0.5754545454545454,8.537272727272727,1.0,6.883636363636364,300.0,2.2,6.6,,1.75,,,
WG,2014-07-23,10-30m,20.5,23.1475,0.715,8.9485,1.0,6.849500000000001,300.0,,,,4.7,,,
WG,2014-07-23,30m+,92.0,20.520081300813008,0.2126016260162601,7.745365853658536,,2.4170731707317072,300.0,,,,,,,
WP,2014-07-23,0-10m,5.009090909090909,23.375454545454545,0.48,8.80909090909091,1.0,6.740909090909091,300.0,2.0,7.0,,1.7,,,
WP,2014-07-23,10-30m,20.5,22.846,0.8065,9.063,1.0,6.2865,300.0,,,,15.5,,,
