location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus
SA,Surface,2014-02-18,20.816331114433734,3.2544075661787337,9.285470688503809,7.60904752055894,6.098287049,1.463503876,,,,,,
SA,Mid-Depth,2014-02-18,20.603,4.886576399017274,9.093333333333334,7.266,,,,,,,,
SA,Lower Photic,2014-02-18,20.48,3.507490110101724,8.80875,6.8180000000000005,,,,,,,,
SA,Deep,2014-02-18,20.441551738464373,3.158719954306929,8.484700718079319,6.439069707308709,,,,,,,,
SA,Surface,2014-03-26,22.4,0.5750857142857143,8.553,7.465999999999999,7.0,1.0,,,,,,
SA,Mid-Depth,2014-03-26,21.97,3.129142857142857,8.398,7.033,,,,,,,,
SA,Lower Photic,2014-03-26,21.520000000000003,2.6554043834081824,7.970499999999999,5.949,,,,,,,,
SA,Deep,2014-03-26,21.01063808710936,0.8387350037130111,7.779073999520548,4.264765373738981,,,,,,,,
SA,Surface,2014-04-22,22.303,1.34,8.728,6.988,5.1,2.2,,,,,,
SA,Mid-Depth,2014-04-22,22.048,1.855,8.647,6.726999999999999,,,,,,,,
SA,Lower Photic,2014-04-22,21.842,2.182,8.331,5.93,,,,,,,,
SA,Deep,2014-04-22,20.66855098477049,0.5917575158163477,8.000584567736249,2.991327750740296,,,,,,,,
SA,Surface,2014-05-19,22.9155,1.0155,8.92,7.149499999999999,5.3,1.7841813,,,,,,
SA,Mid-Depth,2014-05-19,22.599,1.433,8.997,7.039,,,,,,,,
SA,Lower Photic,2014-05-19,22.4,1.073,8.860000000000001,6.697,,,,,,,,
SA,Deep,2014-05-19,20.99924242424242,0.4975757575757576,8.328409090909092,4.114545454545454,,,,,,,,
SA,Surface,2014-06-24,23.541,1.371,8.754,7.42,5.5,1.703334232,,,,,,
SA,Mid-Depth,2014-06-24,23.133,1.363,9.084,7.303,,,,,,,,
SA,Lower Photic,2014-06-24,22.654000000000003,1.326,8.817,6.265,,,,,,,,
SA,Deep,2014-06-24,21.05348484848485,0.4631818181818181,7.906742424242423,3.2624242424242422,,,,,,,,
SA,Surface,2014-07-22,23.356,0.6140000000000001,9.098,6.968999999999999,5.3,1.567861745,,,,,,
SA,Mid-Depth,2014-07-22,23.296,1.215,9.376,6.919,,,,,,,,
SA,Lower Photic,2014-07-22,22.997,1.209,9.204,6.4590000000000005,,,,,,,,
SA,Deep,2014-07-22,21.07992424242424,0.4874999999999999,8.390530303030303,3.060378787878788,,,,,,,,
SA,Surface,2014-08-12,23.23,1.048,9.010000000000002,7.287999999999999,5.1,1.497876002,,,,,,
SA,Mid-Depth,2014-08-12,22.876,1.393,9.010000000000002,7.108,,,,,,,,
SA,Lower Photic,2014-08-12,22.722,1.438,9.010000000000002,6.7,,,,,,,,
SA,Deep,2014-08-12,21.24153783549198,0.6010520953957537,8.986852167271845,3.1313010598131386,,,,,,,,
SA,Surface,2014-09-08,23.408,1.311,8.22907692307692,8.089,6.5,1.460983607,,,,,,
SA,Mid-Depth,2014-09-08,23.258,1.6329999999999998,7.260923076923078,7.796000000000001,,,,,,,,
SA,Lower Photic,2014-09-08,22.981,1.012,9.321000000000002,7.256,,,,,,,,
SA,Deep,2014-09-08,21.29742424242424,0.5309848484848486,7.415909090909091,3.0979545454545456,,,,,,,,
SA,Surface,2014-10-07,23.492,2.416,7.710000000000001,8.476,5.05,1.7,,,,,,
SA,Mid-Depth,2014-10-07,23.29,3.455,10.271,8.123,,,,,,,,
SA,Lower Photic,2014-10-07,23.025,1.847,9.731000000000002,7.344999999999999,,,,,,,,
SA,Deep,2014-10-07,21.42108675155601,0.4542977025062711,8.680652558504152,3.045806948316232,,,,,,,,
SA,Surface,2014-11-11,22.344,3.05,9.517,7.858,5.8,0.6,,,,,,
SA,Mid-Depth,2014-11-11,22.249,3.532,9.562,7.644,,,,,,,,
SA,Lower Photic,2014-11-11,22.201,2.274,9.599,7.152000000000001,,,,,,,,
SA,Deep,2014-11-11,21.467100365661487,1.5454633273469782,8.542768855818862,4.6644136947709205,,,,,,,,
SA,Surface,2014-12-08,21.139,2.8155,8.495,6.933,4.0,1.036129032,,,,,,
SA,Mid-Depth,2014-12-08,21.133,3.351,8.515,6.929,,,,,,,,
SA,Lower Photic,2014-12-08,21.131,3.567,8.479000000000001,6.961,,,,,,,,
SA,Deep,2014-12-08,21.12462121212121,3.967727272727273,8.427575757575756,6.9556818181818185,,,,,,,,
SA,Surface,2015-01-13,20.436,3.1979999999999995,8.510000000000002,7.27223406870409,5.5,1.180347795,,,,,,
SA,Mid-Depth,2015-01-13,20.357,4.276000000000001,8.509,6.941262519495123,,,,,,,,
SA,Lower Photic,2015-01-13,20.237,4.405,8.470000000000002,5.994193200628852,,,,,,,,
SA,Deep,2015-01-13,20.19439393939394,4.475227272727272,8.429166666666667,3.644518914539619,,,,,,,,
SA,Surface,2015-02-10,20.545,3.136,8.278,6.416999999999999,5.29,1.236374838,,,,,,
SA,Mid-Depth,2015-02-10,20.323,2.059,8.142999999999999,4.615,,,,,,,,
SA,Lower Photic,2015-02-10,20.225,1.593,8.139,4.786,,,,,,,,
