location,depth_group,date,feature,original_value,replacement_value,prev_value,next_value
WP,0-10m,2021-07-09,ammonium,107.8063277,12.81927193,13.67087719,11.96766667
SA,0-10m,2023-10-18,chlorophyll_a,19.30642264,1.617692723,1.287146305,1.948239141
SA,10-30m,2023-10-18,chlorophyll_a,30.21456981,2.208163758,2.097105521,2.319221995
WP,0-10m,2023-10-18,chlorophyll_a,17.47551148,0.9209166795,1.264264512,0.577568847
WP,10-30m,2023-10-18,chlorophyll_a,22.6170726,1.3714236895,1.508291137,1.234556242
WP,30m+,2023-10-18,chlorophyll_a,7.596744743,1.1191504540000001,1.041213879,1.197087029
WG,0-10m,2023-10-18,chlorophyll_a,20.00315197,0.894389888,0.998190725,0.790589051
WG,10-30m,2023-10-18,chlorophyll_a,26.95136561,1.357553963,1.605379348,1.109728578
WG,30m+,2023-10-18,chlorophyll_a,6.653466656,1.0783041585,0.959080841,1.197527476
WG,30m+,2019-12-02,dissolved_oxygen,5.008885093,2.480725729,1.937367672,3.024083786
SA,0-10m,2018-07-02,phosphate,111.3977854,14.164396445,17.01583139,11.3129615
WG,0-10m,2017-12-14,temp,25.165,22.202878485,23.679,20.72675697
WG,10-30m,2017-12-14,temp,25.24,21.52996233,22.593,20.46692466
WG,30m+,2017-12-14,temp,24.10147402,20.365027565,20.47599241,20.25406272
SA,0-10m,2018-09-24,turbidity,2.059427356,0.431442809,0.436555032,0.426330586
WG,0-10m,2018-09-24,turbidity,2.505238228,0.520323301,0.342895948,0.697750654
