month_year,Year,Month (num),Month,Day,date,Location,Municipality,X,Y,Altitude,Time,Temperature,Ambient T,Temp change,pH,depth,Total_Dissolved_Solids,Sediments,O2,O2,Salinity,Conductivity,Flow,flow,phosphate,Nitrates,Turbidity,Fecal_Coliforms,BOD,Total_Nitrogen,Total_Phosphorus,ICA,Quality,Colour
2,2015,2,Feb,4,04/02/2015,Río La Catarata,Panajachel,428286,1631202,0,,17,,,8.11,120,108.7,0,8.02,101.1,0.11,228,10.98,0.01,,,,,,,,,,
2,2015,2,Feb,4,04/02/2015,Rio San Buenaventura,Panajachel,428435,1631162,1596,,20.2,,,8.61,35,102,0,8.95,119.4,0.1,214.2,2.35,0.002,,,,,,,,,,
2,2015,2,Feb,4,04/02/2015,Río San Francisco,Panajachel,430805,1631438,1637,,21.4,,,7.97,19,87.6,0.3,7.37,100.8,0.9,184,103.52,0.103,,,,,,,,,,
2,2015,2,Feb,6,06/02/2015,Río Quiscab,Sololá,426160,1630385,0,,19.2,,,8.13,29,73,0.2,7.82,101.1,0.07,234.3,645.79,0.645,,,,,,,,,,
2,2015,2,Feb,6,06/02/2015,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,17.1,,,7.92,50,55.4,0.2,7.91,98.8,0.05,117.4,43.7,0.043,,,,,,,,,,
3,2015,3,Mar,4,04/03/2015,Río La Catarata,Panajachel,428286,1631202,0,,18,,,8.33,120,117.8,0.1,8.27,105.9,0.12,247,2.17,0.002,,,,,,,,,,
3,2015,3,Mar,4,04/03/2015,Rio San Buenaventura,Panajachel,428435,1631162,1596,,21.1,,,9,105,110.7,0.1,11.16,151.3,0.11,232,1.1,0.001,,,,,,,,,,
3,2015,3,Mar,4,04/03/2015,Río San Francisco,Panajachel,430805,1631438,1637,,20.5,,,8.18,13,90.6,0.3,7.77,104.6,0.09,190.7,95.51,0.095,,,,,,,,,,
3,2015,3,Mar,5,05/03/2015,Río Quiscab,Sololá,426160,1630385,0,,18.3,,,8.1,35,75.3,0.2,7.87,100.6,0.07,135.5,618.77,0.618,,,,,,,,,,
3,2015,3,Mar,5,05/03/2015,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,18,,,7.98,10,54.1,0.5,7.8,99,0.05,97.4,48.69,0.048,,,,,,,,,,
4,2015,4,Abr,9,09/04/2015,Río San Francisco,Panajachel,430805,1631438,1637,,26.2,,,8.25,20,93,0.1,6.86,103.4,0.09,199.8,78.99,0.078,,,,,,,,,,
4,2015,4,Abr,10,10/04/2015,Río La Catarata,Panajachel,428286,1631202,0,,18.9,,,8.35,> 120.00,117.2,0.1,7.76,100.9,0.12,246,4.14,0.004,,,,,,,,,,
4,2015,4,Abr,10,10/04/2015,Río Quiscab,Sololá,426160,1630385,0,,19.1,,,8.11,47.2,77.2,0.2,7.77,100.8,0.08,162.8,257.24,0.257,,,,,,,,,,
4,2015,4,Abr,10,10/04/2015,Rio San Buenaventura,Panajachel,428435,1631162,1596,,21.8,,,8.93,> 120.0,100.4,0,8.36,115.2,0.1,211,1.53,0.001,,,,,,,,,,
4,2015,4,Abr,10,10/04/2015,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,18.8,,,7.86,65,54.4,0.1,7.68,99.1,0.05,115.2,67.94,0.015,,,,,,,,,,
