location,depth,MSE,MAPE,MAE,R2,EVS,hyper_param
TDS,0-10m,1.4787,105.994,0.99,-0.25,-0.25,66
turbidity,0-10m,0.9873,10.223,0.72,0.19,0.19,152
nitrate,0-10m,133.3148,nan,9.86,-0.05,0.17,174
phosphate,0-10m,73.1355,nan,6.58,0.31,0.33,40
ammonium,0-10m,133.7495,nan,8.65,-0.59,-0.09,182
phosphorus,0-10m,105.3032,nan,7.15,-0.03,0.13,92
TDS,10-30m,0.4004,34.278,0.5,0.7,0.71,10
turbidity,10-30m,1.0012,16.201,0.83,0.76,0.8,80
nitrate,10-30m,127.0172,nan,7.13,-0.02,0.18,28
phosphate,10-30m,202.2727,nan,11.62,-0.12,0.19,144
ammonium,10-30m,64.8998,nan,6.11,-0.25,-0.24,162
phosphorus,10-30m,241.7011,nan,13.12,0.09,0.44,144
TDS,30m+,1.2125,nan,1.02,-0.27,-0.22,132
turbidity,30m+,1.7349,14.59,1.11,-0.31,-0.31,82
nitrate,30m+,432.8404,27.007,17.15,0.22,0.24,170
phosphate,30m+,1129.9086,39.315,30.25,-0.24,0.08,96
ammonium,30m+,823.9693,nan,26.99,-1.1,0.26,98
phosphorus,30m+,457.4753,8.696,16.81,0.12,0.25,190
