location,depth,MSE,MAPE,MAE,R2,EVS,hyper_param
temp,0-10m,0.8019,3.238,0.74,0.4,0.43,70
Chl-a,0-10m,0.4146,28.327,0.46,0.37,0.38,60
pH,0-10m,0.2973,4.848,0.39,-0.65,0.13,12
DO,0-10m,0.2,5.24,0.37,-0.86,-0.85,34
secchi,0-10m,1.8189,13.72,0.99,-0.4,-0.38,82
BDO,0-10m,0.8266,82.496,0.69,-0.16,-0.11,14
temp,10-30m,0.9111,3.704,0.83,0.05,0.09,64
Chl-a,10-30m,1.7182,32.349,0.8,0.12,0.12,78
pH,10-30m,0.3717,6.505,0.52,-1.07,0.14,30
DO,10-30m,0.15,4.886,0.32,-1.29,-1.09,64
secchi,10-30m,1.3499,11.256,0.79,-0.04,-0.04,68
BDO,10-30m,0.7324,73.003,0.66,-0.02,-0.02,20
temp,30m+,0.0195,0.517,0.11,-0.56,-0.18,18
Chl-a,30m+,0.239,28.161,0.34,-0.6,0.06,64
pH,30m+,1.029,13.177,0.93,-3.12,-0.03,72
DO,30m+,0.2804,19.789,0.46,0.11,0.12,12
secchi,30m+,1.7284,13.544,1.01,-0.33,-0.19,36
BDO,30m+,0.8035,75.813,0.7,-0.12,-0.11,26
