location,depth,MSE,MAPE,MAE,R2,EVS,hyper_param
temp,0-10m,0.91,3.57,0.81,0.32,0.34,22
Chl-a,0-10m,7.7,38.38,0.99,0.2,0.2,38
pH,0-10m,0.29,4.71,0.38,-0.6,0.11,134
DO,0-10m,0.09,3.38,0.24,0.19,0.19,108
secchi,0-10m,1.61,12.21,0.88,-0.24,-0.21,62
BDO,0-10m,0.84,82.05,0.7,-0.17,-0.15,196
temp,10-30m,1.12,3.82,0.84,-0.17,-0.15,184
Chl-a,10-30m,18.03,31.83,1.47,-0.0,0.04,108
pH,10-30m,0.38,6.61,0.53,-1.13,0.06,130
DO,10-30m,0.08,3.41,0.22,-0.3,-0.27,96
secchi,10-30m,1.29,11.03,0.78,0.0,0.01,142
BDO,10-30m,0.73,74.8,0.67,-0.01,-0.01,96
temp,30m+,0.23,1.34,0.28,-17.02,-14.92,34
Chl-a,30m+,1.15,24.3,0.43,-0.14,0.01,12
pH,30m+,1.07,13.53,0.95,-3.28,-0.01,190
DO,30m+,0.29,20.72,0.47,0.08,0.14,106
secchi,30m+,1.89,14.1,1.06,-0.46,-0.21,82
BDO,30m+,0.78,71.4,0.69,-0.09,-0.09,112
