Sitio,Depth Group,Fecha,Profuidad (m),Temp. (°C),Chl a (µg/l),Ph (Unidad),Turbidity (NTU),DO (mg/L),TDS (mg/l),DBO (mg/l),Sechi  (m),NO3 (µg/L),PO4 (µg/L),NH4 (µg/L),PT (µg/l),NT (µg/l)
SA,0-10 m,2014-02-18 00:00:00,4.92,21.1375,29.48805122,9.37,17.71675826,8.0425,275,2.041079284,6.522632498,4.549351525,0,0,46.48586487,53.2443078
SA,0-10 m,2014-03-26 00:00:00,4.51,22.4,25.58702652,9.519,38.17975036,7.466,226.7,2.215457763,6.011120253,45.95637781,12.13,15.43586999,17.7018388,31.30094701
SA,0-10 m,2014-04-22 00:00:00,4.51,22.303,1.34,8.728,29.81395886,6.988,300,2.771386194,6.142294081,31.63515458,6.6,15.43586999,17.7018388,34.95120728
SA,0-10 m,2014-05-19 00:00:00,4.145454545,22.92636364,0.985454545,8.909090909,36.13325085,7.147272727,300,3.256536328,6.028706704,0,0,9.128621527,0,29.79299135
SA,0-10 m,2014-06-24 00:00:00,4.6,23.62818182,4.143889377,8.860909091,37.79155437,7.479090909,272.7272727,3.459855002,5.943516245,12.19430731,0,8.575635288,0,24.03789556
SA,0-10 m,2014-07-22 00:00:00,4.51,23.356,0.614,9.098,36.87858116,6.969,300,3.476725955,5.920481272,0,0,10.80602034,0,29.02435569
SA,0-10 m,2014-08-12 00:00:00,4.51,23.23,1.048,8.566,37.39991982,7.288,300,3.464907436,5.977487472,0,0,13.47893512,0,30.24395642
SA,0-10 m,2014-09-08 00:00:00,4.51,23.408,1.311,9.468,39.25740536,8.057,300,3.572353027,6.213201576,0,0,6.597208088,0,11.47132765
SA,0-10 m,2014-10-07 00:00:00,4.51,23.492,8.182556629,7.71,36.90730429,8.07,300,3.452340076,5.99708871,0,2.833,15.85357715,0,21.15415548
SA,0-10 m,2014-11-11 00:00:00,4.51,22.344,8.651556629,9.783,33.34430374,7.858,300,2.699236515,6.202410787,39.82314122,7.83,15.43586999,17.7018388,14.739414
SA,0-10 m,2014-12-08 00:00:00,4.51,21.139,5.687278315,8.495,31.3813866,6.933,300,2.392114459,6.200322273,0,0,15.43586999,1.581117091,47.9739961
SA,0-10 m,2015-01-13 00:00:00,4.51,20.436,2.441,8.51,7.511239229,0,300,2.099921222,6.431849675,69.41252998,86.51558693,5.15112162,89.30589304,76.87496822
SA,0-10 m,2015-02-10 00:00:00,4.51,20.545,3.136,8.278,27.51749551,6.417,300,1.992941677,6.438660689,1.835368368,0,5.381766671,16.2792997,47.31296748
SA,0-10 m,2015-03-10 00:00:00,4.51,20.569,5.801278315,8.599,29.4303587,7.138,300,1.948616519,6.421102054,0,0,5.927244742,7.356444334,45.98142305
SA,0-10 m,2015-04-14 00:00:00,4.51,22.049,0.776,8.673,32.38150546,7.633,300,2.631112894,6.494193033,0,0,0,5.102598551,24.82004711
SA,0-10 m,2015-06-09 00:00:00,4.51,23.843,0.711,8.737,39.4469647,7.373,300,3.764026455,5.842442499,0,0,16.0221292,0,25.34751431
SA,0-10 m,2015-07-14 00:00:00,4.51,22.84,1.252,8.614,35.87532188,7.168,300,3.248241508,6.069991339,0,0,8.802985964,0,30.08094518
SA,0-10 m,2015-08-10 00:00:00,4.51,23.6,1.357,8.817,39.87569249,7.479,300,3.575451966,5.931756848,0,0,0.091435121,0,10.94734289
SA,0-10 m,2015-09-09 00:00:00,4.51,23.729,1.594,8.97,41.94469601,7.817,300,3.656463954,5.794489072,0,0,5.81722447,0,12.26261057
SA,0-10 m,2015-10-06 00:00:00,4.51,23.903,1.836,8.957,42.31083373,7.973,300,3.733110918,5.752983933,0,0,3.121432003,0,5.947244038
SA,0-10 m,2015-11-11 00:00:00,4.51,23.53,31.87278315,8.906,42.31083373,7.259,224.4,2.896992991,5.438912448,0,0,1.939309637,0,25.99749223
SA,0-10 m,2016-01-19 00:00:00,4.51,21.549,1.856,7.981,30.73612145,7.324,300,2.473448489,6.564777573,0,0,0,2.469352773,26.88551801
SA,0-10 m,2016-02-16 00:00:00,4.51,20.9,5.773278315,8.143,28.2989457,6.663,300,2.152105066,6.491598162,8.310393118,0,1.997023924,5.582711573,38.19829109
SA,0-10 m,2016-03-01 00:00:00,4.51,21.147,6.400278315,8.652,35.83658048,8.027,300,2.341291936,6.060623756,0,0,15.43586999,0,39.4363516
SA,0-10 m,2016-04-12 00:00:00,4.51,22.469,1.759,8.64,37.89610365,8.03,300,3.023423995,6.081000179,0,0,10.26101178,0,30.08118078
SA,0-10 m,2016-05-17 00:00:00,4.51,23.731,0.797,8.4,39.37201358,7.881,300,3.598500351,6.164673322,0,0,3.205503594,5.968014407,10.0494165
SA,0-10 m,2016-06-14 00:00:00,4.51,23.969,0.479,8.747,40.21599091,7.832,300,3.716886367,6.054138599,0,0,3.224096599,2.127881153,8.857395936
SA,0-10 m,2016-07-12 00:00:00,4.51,23.888,0.886,8.743,40.32436313,7.536,300,3.782150121,5.834228223,0,0,12.96660068,0,21.16180858
SA,0-10 m,2016-08-09 00:00:00,4.51,23.555,0.792,8.651,39.50212817,7.849,300,3.562088884,6.045047397,0,0,0.457731944,0,13.17508931
SA,0-10 m,2016-09-06 00:00:00,4.51,23.697,0.497,9.908,39.82299978,7.577,300,3.386950854,5.938776553,0,0,0,5.884887644,8.848343282
SA,0-10 m,2016-10-11 00:00:00,4.51,23.465,0.639,8.922,37.79273931,7.355,300,3.495006818,6.025815278,0,0,0.211885719,0,16.72701773
SA,0-10 m,2016-11-08 00:00:00,4.51,22.714,1.47,9.003,37.62839698,7.607,300,3.131681441,5.981977899,0,0,10.47203783,0,30.07978079
SA,0-10 m,2016-12-05 00:00:00,4.51,21.665,1.312,8.446,32.29999303,7.794,300,2.480890063,6.502550558,0,0,0,0,26.96032924
SA,0-10 m,2017-02-07 00:00:00,4.51,20.512,1.383,8.514,23.12141584,6.282,300,1.807189139,6.805847508,20.64605589,0,0,34.95021659,40.69895701
SA,0-10 m,2017-03-13 00:00:00,4.51,20.99,1.843,8.084,30.65340552,7.699,300,2.279235004,6.504982776,0,0,11.33853459,0.89210465,49.87032571
SA,0-10 m,2017-04-18 00:00:00,4.51,21.621,0.859,8.207,31.01288002,7.9,300,2.445462492,6.660763083,0,0,0,5.270825958,28.05538507
SA,0-10 m,2017-05-16 00:00:00,4.51,22.95,0.729,8.174,35.46331322,7.943,300,3.094352215,6.49514988,0,0,0,17.7018388,17.40632377
SA,0-10 m,2017-06-13 00:00:00,4.51,23.515,1.377,9.528,42.1683327,8.068,300,3.431664711,5.804772319,0,0,0.846573451,0,9.46832352
SA,0-10 m,2017-07-11 00:00:00,4.51,23.498,0.777,8.205,40.40466469,8.07,300,3.617955714,6.029256191,0,0,14.73902159,0,25.29389049
SA,0-10 m,2017-08-08 00:00:00,4.51,23.689,1.068,9.098,41.74023937,8.046,300,3.612115124,5.851269348,0,0,4.941565366,0,13.43808457
SA,0-10 m,2017-09-12 00:00:00,4.51,23.688,1.312,9.93,41.54615279,7.271,300,3.419873193,5.652924078,0,0,0,0,5.51705749
SA,0-10 m,2017-10-12 00:00:00,4.51,23.228,0.596,9.143,32.08454452,5.93,300,3.249887136,6.185403079,0,0,0,12.46607296,21.1409637
SA,0-10 m,2017-11-07 00:00:00,4.51,22.895,1.135,8.918,36.94784441,7.529,300,3.162101699,6.102088415,0,0,0,0,19.22731134
SA,0-10 m,2017-12-13 00:00:00,4.51,24.5,1.907,8.52,33.15412657,3.883,210,1.385676789,5.886020969,226.8516809,0,0,6.590472703,57.50431335
SA,0-10 m,2018-01-11 00:00:00,4.5,20.52023804,8.752287026,9.370496046,0.707747683,6.560410735,946.8761222,1.644855013,5.778324715,2.319272418,0.340055585,1.108292249,5.169241012,21.4390203
SA,0-10 m,2018-02-07 00:00:00,4.5,20.33826735,7.878703238,8.89105028,0.552153827,5.263232191,1014.077455,1.440602622,5.829214086,11.21894772,30.67353842,0.199099742,8.220585398,35.54860443
